# name	page	lib	header	print
AddParameterBytes	ee503840(v=winembedded.60)	-	-	RTFSUPP_API void AddParameterBytes( HPACKET hPacket, BYTE *pData, DWORD cbData );
AddParameterDWORD	ee503863(v=winembedded.60)	-	-	RTFSUPP_API void AddParameterDWORD( HPACKET hPacket, DWORD dwData );
AddParameterString	ee503752(v=winembedded.60)	-	-	RTFSUPP_API void AddParameterString( HPACKET hPacket, WCHAR *szData );
AddParameterWORD	ee503862(v=winembedded.60)	-	-	RTFSUPP_API void AddParameterWORD( HPACKET hPacket, WORD wData );
AddVectoredExceptionHandler	ee488606(v=winembedded.60)	-	winbase.h	PVOID AddVectoredExceptionHandler( ULONG FirstHandler, PVECTORED_EXCEPTION_HANDLER VectoredHandler );
BP_GetPartitionInfo	aa516965(v=msdn.10)	Bootpart.lib	Bootpart.h	PPARTENTRY BP_GetPartitionInfo(HANDLE hPartition, );
BP_Init	aa516966(v=msdn.10)	Bootpart.lib	Bootpart.h	BOOL BP_Init(LPBYTE pMemory, DWORD dwSize,LPCTSTR lpActiveReg,PPCI_REG_INFO pRegIn,PPCI_REG_INFO pRegOut);
BP_LowLevelFormat	aa516967(v=msdn.10)	Bootpart.lib	Bootpart.h	BOOL BP_LowLevelFormat(DWORD dwStartBlock,DWORD dwNumBlocks,DWORD dwFlags);
BP_OpenPartition	aa516968(v=msdn.10)	Bootpart.lib	Bootpart.h	HANDLE BP_OpenPartition(DWORD dwStartSector, DWORD dwNumSectors,DWORD dwPartType,BOOL fActive,DWORD dwCreationFlags);
BP_ReadData	aa516969(v=msdn.10)	Bootpart.lib	Bootpart.h	BOOL BP_ReadData(HANDLE hPartition, LPBYTE pbBuffer,DWORD dwLength);
BP_SetDataPointer	aa516970(v=msdn.10)	Bootpart.lib	Bootpart.h	BOOL BP_SetDataPointer(HANDLE hPartition, DWORD dwAddress);
BP_WriteData	aa516971(v=msdn.10)	Bootpart.lib	Bootpart.h	BOOL BP_WriteData(HANDLE hPartition, LPBYTE pbBuffer,DWORD dwLength);
BSPIntrActiveIrq	aa447215(v=msdn.10)	-	Oal_intr.h	UINT32 BSPIntrActiveIrq( UINT32 irq);
BSPIntrDisableIrq	aa447216(v=msdn.10)	-	Oal_intr.h	UINT32 BSPIntrDisableIrq( UINT32 irq);
BSPIntrDoneIrq	aa447217(v=msdn.10)	-	Oal_intr.h	UINT32 BSPIntrDoneIrq( UINT32 irq);
BSPIntrEnableIrq	aa447218(v=msdn.10)	-	Oal_intr.h	UINT32 BSPIntrEnableIrq( UINT32 irq);
BSPIntrInit	aa447219(v=msdn.10)	-	Oal_intr.h	BOOL BSPIntrInit();
BSPIntrRequestIrqs	aa447220(v=msdn.10)	-	Oal_intr.h	BOOL BSPIntrRequestIrqs( DEVICE_LOCATION *pDevLoc, UINT32 *pCount, UINT32 *pIrqs);
BthNotifyEvent	ee495355(v=winembedded.60)	-	-	HANDLE BthNotifyEvent( PBTEVENT pbtEvent, DWORD dwEventClass );
BusChildIoControl	ee482917(v=winembedded.60)	-	ceddk.h	BOOL BusChildIoControl( HANDLE hBusAccess, DWORD dwIoControlCode, LPVOID lpBuffer, DWORD nBufferSize ) ;
CAM_Close	ee485410(v=winembedded.60)	-	-	BOOL CAM_Close( DWORD Context );
CAM_Init	ee481911(v=winembedded.60)	-	-	DWORD CAM_Init( VOID* pContext );
CAM_Open	ee482517(v=winembedded.60)	-	-	DWORD CAM_Open( DWORD Context, DWORD Access, DWORD ShareMode );
CeAllocAsynchronousBuffer	ee488604(v=winembedded.60)	-	pkfuncs.h	HRESULT CeAllocAsynchronousBuffer( PVOID * ppDestAsyncMarshalled, PVOID pSrcSyncMarshalled, DWORD cbSrc, DWORD ArgumentDescriptor );
CeAllocDuplicateBuffer	ee488789(v=winembedded.60)	-	pkfuncs.h	HRESULT CeAllocDuplicateBuffer( PVOID * ppDestDuplicate, PVOID pSrcMarshalled, DWORD cbSrc, DWORD ArgumentDescriptor );
CeCallUserProc	ee482964(v=winembedded.60)	-	pkfuncs.h	BOOL CeCallUserProc( LPCWSTR pszDllName, LPCWSTR pszFuncName, LPVOID lpInBuffer, DWORD nInBufferSize, LPVOID lpOutBuffer, DWORD nOutBufferSize, LPDWORD lpBytesReturned );
CeDriverDuplicateCallerHandle	ee486213(v=winembedded.60)	-	ceddk.h	HANDLE CeDriverDuplicateCallerHandle( HANDLE DirectCallerHandle, DWORD dwDesiredAccess, BOOL bInheritHandle, DWORD dwOptions );
CeDriverMapCallbackFunction	ee484627(v=winembedded.60)	-	ceddk.h	HANDLE CeDriverMapCallbackFunction( LPNOTIFY_CALLBACK_ROUTINE lpCallback );
CeDriverPerformCallback	ee482211(v=winembedded.60)	-	ceddk.h	BOOL CeDriverPerformCallback( HANDLE hCallback, DWORD dwIoControlCode, LPVOID lpInBuf, DWORD nInBufSize, LPVOID lpOutBuf, DWORD nOutBufSize, LPDWORD lpBytesReturned, LPOVERLAPPED lpOverlapped );
CeFlushAsynchronousBuffer	ee488374(v=winembedded.60)	-	pkfuncs.h	HRESULT CeFlushAsynchronousBuffer( PVOID pDestAsyncMarshalled, PVOID pSrcSyncMarshalled, PVOID pSrcUnmarshalled, DWORD cbSrc, DWORD ArgumentDescriptor );
CeFreeAsynchronousBuffer	ee488607(v=winembedded.60)	-	pkfuncs.h	HRESULT CeFreeAsynchronousBuffer( PVOID pDestAsyncMarshalled, PVOID pSrcSyncMarshalled, DWORD cbSrc, DWORD ArgumentDescriptor );
CeFreeDuplicateBuffer	ee488644(v=winembedded.60)	-	pkfuncs.h	HRESULT CeFreeDuplicateBuffer( PVOID pDestDuplicate, PVOID pSrcMarshalled, DWORD cbSrc, DWORD ArgumentDescriptor );
CeGetDiskFreeSpaceEx	ee496420(v=winembedded.60)	-	rapi.h	int CeGetDiskFreeSpaceEx( LPCTSTR _lpDirectoryName, PULARGE_INTEGER lpFreeBytesAvailable, PULARGE_INTEGER lpTotalNumberOfBytes, PULARGE_INTEGER lpTotalNumberOfFreeBytes );
CeGetRawTime	ee488174(v=winembedded.60)	-	pkfuncs.h	BOOL CeGetRawTime( ULONGLONG * pui64Millsec );
CeGetRawTimeOffset	ee488363(v=winembedded.60)	-	pkfuncs.h	BOOL CeGetRawTimeOffset( LONGLONG * pi64Offset );
CeImpersonateCurrentProcess	ee482962(v=winembedded.60)	-	pkfuncs.h	BOOL CeImpersonateCurrentProcess ( void );
CeRegGetInfo	ee490230(v=winembedded.60)	-	winreg.h	LONG CeRegGetInfo( __in HKEY hKey, __inout PCE_REGISTRY_INFO pInfo
CeRemoteHeapCreate	ee487990(v=winembedded.60)	-	pkfuncs.h	HANDLE CeRemoteHeapCreate ( DWORD dwProcessId, DWORD dwFlags );
CeRemoteHeapTranslatePointer	ee487998(v=winembedded.60)	-	pkfuncs.h	LPVOID CeRemoteHeapTranslatePointer( HANDLE hHeap, DWORD dwFlags, LPVOID ptr );
CeSyncStop	ee496864(v=winembedded.60)	-	rapi.h	HRESULT CeSyncStop();
CertInit	ee498713(v=winembedded.60)	-	cecertmod.h	DWORD CertInit();
CertifyModule	ms903995(v=msdn.10)	Loadauth.lib	-	BOOL CertifyModule(PBYTEpbBlock,DWORDcbBlock );
CertifyModuleFinal	ms903996(v=msdn.10)	Loadauth.lib	-	BOOL CertifyModuleFinal(PBYTE* ppbSignData,PDWORD pcbSignData );
CertifyModuleInit	ms903997(v=msdn.10)	Loadauth.lib	-	BOOL CertifyModuleInit (void);
CheckControlC	aa462538(v=msdn.10)	-	WDbgExts_CE.h	ULONG CheckControlC( VOID);
CleanupTestThread	aa462553(v=msdn.10)	-	-	UINT CleanupTestThread( HANDLE hThread, DWORD dwThreadId, int index);
CloseDmpTxt	ee481394(v=winembedded.60)	-	DwDumpTxt.h	HRESULT CloseDmpTxt( HANDLE hDmpFile );
CloseGestureInfoHandle	ee504292(v=winembedded.60)	-	pwinuser.h	BOOL CloseGestureInfoHandle ( HGESTUREINFO hGestureInfo );
CoInternetCreateSecurityManager	ee491853(v=winembedded.60)	-	urlmon.h	HRESULT CoInternetCreateSecurityManager( IServiceProvider* pSP, IInternetSecurityManager** ppSM, DWORD dwReserved );
ConnMgrEnumDestinations	ee496934(v=winembedded.60)	-	connmgr.h	HRESULT WINAPI ConnMgrEnumDestinations( int Index, CONNMGR_DESTINATION_INFO *pDestInfo );
ConnMgrQueryDetailedStatus	ee497106(v=winembedded.60)	-	connmgr_status.h	HRESULT WINAPI ConnMgrQueryDetailedStatus( CONNMGR_CONNECTION_DETAILED_STATUS *pStatusBuffer, DWORD *pcbBufferSize );
ConnMgrRegisterScheduledConnection	ee498068(v=winembedded.60)	-	connmgr.h	HRESULT WINAPI ConnMgrRegisterScheduledConnection( SCHEDULEDCONNECTIONINFO *pSCI );
ConnectionDialog	ms908147(v=msdn.10)	Netui.lib	Netui.h	BOOL ConnectionDialog(HWND hParent,PADDCONNECT_DLGPARAMS pDlgParams);
ContrastControl	ee486954(v=winembedded.60)	-	gpe.h	BOOL ContrastControl( ULONG cmd, ULONG * pValue );
CreateAPIHandle	ee483024(v=winembedded.60)	-	pkfuncs.h	HANDLE CreateAPIHandle( HANDLE hASet, LPVOID pvData );
CreateAPISet	ee482963(v=winembedded.60)	-	pkfuncs.h	HANDLE CreateAPISet( char acName[4], USHORT cFunctions, const PFNVOID *ppfnMethods, const ULONGLONG *pu64Sig );
CreateCommand	ee503868(v=winembedded.60)	-	-	RTFSUPP_API HRESULT CreateCommand( HPACKET *pHPacket );
CreatePhysicsEngine	ee501743(v=winembedded.60)	-	physicsengine.h	HRESULT CreatePhysicsEngine( __in const PHYSICSENGINEINIT* pEngineInit, __out HPHYSICSENGINE* phResult );
CreateTileProxy	ee487646(v=winembedded.60)	-	TileProxy.h	HRESULT CreateTileProxy( HWND hParentWnd, HWND hHtmlWnd, WNDPROC pfnWndProc, LPVOID pCreateParam, HANDLE* phTileProxy);
CreateTransport	aa462558(v=msdn.10)	-	Trans.h	CTransport* CreateTransport();
CustomTrackPopupMenu	ee505492(v=winembedded.60)	-	-	BOOL CustomTrackPopupMenu( HMENU hmenu, UNIT uFlags, Int x, Int y, HWND hWnd, LPTPMPARAMS lpTpm, BOOL fSelectFirst, BOOL *pfCustomTracked );
D3DMXCheckTextureRequirements	ee490484(v=winembedded.60)	-	d3dmx.h	HRESULT WINAPI D3DMXCheckTextureRequirements( LPDIRECT3DMOBILEDEVICE pDevice, UINT* pWidth, UINT* pHeight, UINT* pNumMipLevels, DWORD Usage, D3DMFORMAT* pFormat, D3DMPOOL Pool );
D3DMXCreateTexture	ee491275(v=winembedded.60)	-	d3dmx.h	HRESULT WINAPI D3DMXCreateTexture( LPDIRECT3DMOBILEDEVICE pDevice, UINT Width, UINT Height, UINT MipLevels, DWORD Usage, D3DMFORMAT Format, D3DMPOOL Pool, LPDIRECT3DMOBILETEXTURE* ppTexture );
D3DMXLoadSurfaceFromFileInMemory	ee490052(v=winembedded.60)	-	d3dmx.h	HRESULT WINAPI D3DMXLoadSurfaceFromFileInMemory( LPDIRECT3DMOBILESURFACE pDestSurface, CONST PALETTEENTRY* pDestPalette, CONST RECT* pDestRect, LPCVOID pSrcData, UINT SrcDataSize, CONST RECT* pSrcRect, DWORD Filter, D3DMCOLOR ColorKey, D3DMXIMAGE_INFO* pSrcInfo );
D3DMXLoadSurfaceFromSurface	ee490854(v=winembedded.60)	-	d3dmx.h	HRESULT WINAPI D3DMXLoadSurfaceFromSurface( LPDIRECT3DMOBILESURFACE pDestSurface, CONST PALETTEENTRY* pDestPalette, CONST RECT* pDestRect, LPDIRECT3DMOBILESURFACE pSrcSurface, CONST PALETTEENTRY* pSrcPalette, CONST RECT* pSrcRect, DWORD Filter, D3DMCOLOR ColorKey );
