name	kind	page	lib	print
AM_FILESINK_FLAGS	typedef-enum	ee492940		typedef enum { AM_FILE_OVERWRITE = 0x00000001, } AM_FILESINK_FLAGS;
AM_FILESINK_FLAGS	typedef-enum	ee492940		typedef enum { AM_FILE_OVERWRITE = 0x00000001, } AM_FILESINK_FLAGS;
AM_VIDEO_RENDERER_MODE	typedef-enum	ee495997		typedef enum { AM_VIDEO_RENDERER_MODE_DDRAW, AM_VIDEO_RENDERER_MODE_GDI } AM_VIDEO_RENDERER_MODE;
AM_VIDEO_RENDERER_MODE	typedef-enum	ee495997		typedef enum { AM_VIDEO_RENDERER_MODE_DDRAW, AM_VIDEO_RENDERER_MODE_GDI } AM_VIDEO_RENDERER_MODE;
AUTOSIZE_DLLADDRGAP	const	ee478772		AUTOSIZE_DLLADDRGAP = 5000
AUTOSIZE_DLLADDRGAP	const	ee478772		AUTOSIZE_DLLADDRGAP = 5000
AUTOSIZE_DLLADDRGAP	const	ms924909		AUTOSIZE_DLLADDRGAP = 5000
AUTOSIZE_DLLADDRGAP	const	ms924909		AUTOSIZE_DLLADDRGAP = 5000
AUTOSIZE_ROMGAP	const	ee478708		AUTOSIZE_ROMGAP = 2000
AUTOSIZE_ROMGAP	const	ee478708		AUTOSIZE_ROMGAP = 2000
AUTOSIZE_ROMGAP	const	ms924912		AUTOSIZE_ROMGAP = 2000
AUTOSIZE_ROMGAP	const	ms924912		AUTOSIZE_ROMGAP = 2000
AbortPipeTransfers	proto	wceddkAbortPipeTransfers.htm		 BOOL AbortPipeTransfers( USB_PIPE hPipe , DWORD dwFlags );
AddParameterBytes	proto	ee503840		 Syntax RTFSUPP_API void AddParameterBytes( HPACKET hPacket, BYTE *pData, DWORD cbData );
AddParameterBytes	proto	ee503840		 Syntax RTFSUPP_API void AddParameterBytes( HPACKET hPacket, BYTE *pData, DWORD cbData );
AddParameterDWORD	proto	ee503863		 Syntax RTFSUPP_API void AddParameterDWORD( HPACKET hPacket, DWORD dwData );
AddParameterDWORD	proto	ee503863		 Syntax RTFSUPP_API void AddParameterDWORD( HPACKET hPacket, DWORD dwData );
AddParameterString	proto	ee503752		 Syntax RTFSUPP_API void AddParameterString( HPACKET hPacket, WCHAR *szData );
AddParameterString	proto	ee503752		 Syntax RTFSUPP_API void AddParameterString( HPACKET hPacket, WCHAR *szData );
AddParameterWORD	proto	ee503862		 Syntax RTFSUPP_API void AddParameterWORD( HPACKET hPacket, WORD wData );
AddParameterWORD	proto	ee503862		 Syntax RTFSUPP_API void AddParameterWORD( HPACKET hPacket, WORD wData );
AsynchronousBuffer_t	proto	ee487986	coredll.lib	 Methods Method AsynchronousBuffer_t();
AsynchronousBuffer_t	proto	ee487986	coredll.lib	 Methods Method AsynchronousBuffer_t();
BP_GetPartitionInfo	proto	aa516965	Bootpart.lib	 PPARTENTRY BP_GetPartitionInfo(HANDLE hPartition, );
BP_GetPartitionInfo	proto	aa516965	Bootpart.lib	 PPARTENTRY BP_GetPartitionInfo(HANDLE hPartition, );
BP_GetPartitionInfo	proto	ee489819	Bootpart.lib	 Syntax PPARTENTRY BP_GetPartitionInfo( HANDLE hPartition, );
BP_Init	proto	aa516966	Bootpart.lib	 BOOL BP_Init(LPBYTE pMemory, DWORD dwSize,LPCTSTR lpActiveReg,PPCI_REG_INFO pRegIn,PPCI_REG_INFO pRegOut);
BP_Init	proto	aa516966	Bootpart.lib	 BOOL BP_Init(LPBYTE pMemory, DWORD dwSize,LPCTSTR lpActiveReg,PPCI_REG_INFO pRegIn,PPCI_REG_INFO pRegOut);
BP_Init	proto	ee489535	Bootpart.lib	 Syntax BOOL BP_Init( LPBYTE pMemory, DWORD dwSize, LPCTSTR lpActiveReg, PPCI_REG_INFO pRegIn, PPCI_REG_INFO pRegOut );
BP_KIND	typedef-enum	aa462530		typedef enum _BP_KIND { bptAlgo, bptHW, bptSW} BP_KIND;
BP_KIND	typedef-enum	aa462530		typedef enum _BP_KIND { bptAlgo, bptHW, bptSW} BP_KIND;
BP_KIND	typedef-enum	ee480989		typedef enum _BP_KIND { bptAlgo, bptHW, bptSW } BP_KIND;
BP_KIND	typedef-enum	ee480989		typedef enum _BP_KIND { bptAlgo, bptHW, bptSW } BP_KIND;
BP_LowLevelFormat	proto	aa516967	Bootpart.lib	 BOOL BP_LowLevelFormat(DWORD dwStartBlock,DWORD dwNumBlocks,DWORD dwFlags);
BP_LowLevelFormat	proto	aa516967	Bootpart.lib	 BOOL BP_LowLevelFormat(DWORD dwStartBlock,DWORD dwNumBlocks,DWORD dwFlags);
BP_LowLevelFormat	proto	ee490571	Bootpart.lib	 Syntax BOOL BP_LowLevelFormat( DWORD dwStartBlock, DWORD dwNumBlocks, DWORD dwFlags );
BP_OpenPartition	proto	aa516968	Bootpart.lib	 HANDLE BP_OpenPartition(DWORD dwStartSector, DWORD dwNumSectors,DWORD dwPartType,BOOL fActive,DWORD dwCreationFlags);
BP_OpenPartition	proto	aa516968	Bootpart.lib	 HANDLE BP_OpenPartition(DWORD dwStartSector, DWORD dwNumSectors,DWORD dwPartType,BOOL fActive,DWORD dwCreationFlags);
BP_OpenPartition	proto	ee490346	Bootpart.lib	 Syntax HANDLE BP_OpenPartition( DWORD dwStartSector, DWORD dwNumSectors, DWORD dwPartType, BOOL fActive, DWORD dwCreationFlags );
