name	min_ce	versions	header	lib	in_include
_SH3CacheLines	2.10	2.10 and later			0
_SH3DSP	3.0	3.0 and later			0
_SH3FQCR_Fast	2.10	2.10 and later			0
_SH3FQCR_Slow	2.10	2.10 and later			0
_SH3InitialSR	2.10	2.10 and later			0
_SH4CacheLines	3.0	3.0 and later			0
AbnormalTermination	1.0	1.0 and later	Excpt.h	Coredll.lib	1
AbortDoc	2.0	2.0 and later	Wingdi.h	Mgprint.lib	1
AbortPipeTransfers	2.10	2.10 and later			0
AbortTransfer	2.10	2.10 and later			1
ACCEL	1.0	1.0 and later	Winuser.h		1
accept	1.0	1.0 and later	Winsock.h		1
ACM_Close	1.0	1.0 and later			1
ACM_Deinit	1.0	1.0 and later			1
ACM_Init	1.0	1.0 and later		Acmdwrap.lib	1
ACM_IOControl	1.0	1.0 and later		Acmdwrap.lib	1
ACM_Open	1.0	1.0 and later		Acmdwrap.lib	1
ACM_PowerDown	1.0	1.0 and later		Acmdwrap.lib	1
ACM_PowerUp	1.0	1.0 and later		Acmdwrap.lib	1
ACM_Read	1.0	1.0 and later		Acmdwrap.lib	1
ACM_Seek	1.0	1.0 and later		Acmdwrap.lib	1
ACM_Write	1.0	1.0 and later		Acmdwrap.lib	1
ACMDM_DRIVER_ABOUT	1.0	1.0 and later			1
ACMDM_DRIVER_DETAILS	1.0	1.0 and later			1
ACMDM_DRIVER_NOTIFY	3.0	3.0 and later			1
ACMDM_FILTER_DETAILS	1.0	1.0 and later			1
ACMDM_FILTERTAG_DETAILS	1.0	1.0 and later			1
ACMDM_FORMAT_DETAILS	1.0	1.0 and later			1
ACMDM_FORMAT_SUGGEST	1.0	1.0 and later			1
ACMDM_FORMATTAG_DETAILS	1.0	1.0 and later			1
ACMDM_HARDWARE_WAVE_CAPS_INPUT	1.0	1.0 and later			1
ACMDM_HARDWARE_WAVE_CAPS_OUTPUT	1.0	1.0 and later			1
ACMDM_STREAM_CLOSE	1.0	1.0 and later			1
ACMDM_STREAM_CONVERT	1.0	1.0 and later			1
ACMDM_STREAM_OPEN	1.0	1.0 and later			1
ACMDM_STREAM_PREPARE	1.0	1.0 and later			1
ACMDM_STREAM_RESET	1.0	1.0 and later			1
ACMDM_STREAM_SIZE	1.0	1.0 and later			1
ACMDM_STREAM_UNPREPARE	1.0	1.0 and later			1
ACMDRV_MESSAGE_PARAMS	1.0	1.0 and later			1
ACMDRVFORMATSUGGEST	1.0	1.0 and later	Msacmdrv.h		1
ACMDRVOPENDESC	1.0	1.0 and later	Msacmdrv.h		1
ACMDRVSTREAMHEADER	1.0	1.0 and later	Msacmdrv.h		1
ACMDRVSTREAMINSTANCE	1.0	1.0 and later	Msacmdrv.h		1
ACMDRVSTREAMSIZE	1.0	1.0 and later	Msacmdrv.h		1
AcquireCredentialsHandle	2.10	2.10 and later	Sspi.h	Schannel.lib	1
ActivateDevice	2.11	2.11 and later	Winbase.h	Coredll.lib	1
ActivateDevice	2.11	2.11 and later			1
AdapterIPProperties	2.10	2.10 and later	Netui.h		0
ADDCONNECT_DLGPARAMS	2.10	2.10 and later	Netui.h		0
AddFontResource	2.0	2.0 and later	Wingdi.h	Mgrast.lib Mgtt.lib	1
AddHeader	3.0	3.0 and later	Httpfilt.h	Httpfilt.lib	1
AddIPAddress	3.0	3.0 and later	Iphlpapi.h	Iphlpapi.lib	1
AddPropSheetPageProc	1.0	1.0 and later			1
AdjustWindowRectEx	1.0	1.0 and later	Winuser.h		1
ALG_ID	3.0	3.0 or later	Wincrypt.h		1
AllocMem	3.0	3.0 and later	Httpfilt.h	Httpfilt.lib	1
AppendMenu	1.0	1.0 and later	Winuser.h		1
ApplyControlToken	2.10	2.10 and later	Sspi.h	Schannel.lib	1
aPropID	2.0	2.0 and later. Versions prior to 2.12 require the MSMQ add-on pack.	Mq.h		1
aPropVar	2.0	2.0 and later. Versions prior to 2.12 require the MSMQ add-on pack.	Mq.h		1
ARGUMENT_PRESENT	2.0	2.0 and later	Ndis.h		0
ARRAYDESC	2.0	2.0 and later	Oaidl.h		1
AsnAny	3.0	3.0 and later	Snmp.h		1
AsnCounter64	3.0	3.0 and later	Snmp.h		1
AsnObjectIdentifier	3.0	3.0 and later	Snmp.h		1
AsnOctetString	3.0	3.0 and later	Snmp.h		1
ASSERT	2.0	2.0 and later	Ndis.h		1
ASSERT	2.10	2.10 and later	Dbgapi.h		1
ASSERTMSG	2.0	2.0 and later	Ndis.h		1
ASSERTMSG	2.10	2.10 and later	Dbgapi.h		1
aStatus	2.0	2.0 and later. Versions prior to 2.12 require the MSMQ add-on pack.	Mq.h		1
BATTERY_STATUS	1.0	1.0 and later	Battery.h		0
BatteryDrvrGetLevels	2.0	2.0 and later	Battery.h		1
BatteryDrvrGetStatus	1.0	1.0 and later	Battery.h	Acmdwrap.lib	0
BatteryDrvrGetStatus	2.10	2.10 and later	Battery.h		0
BatteryDrvrSupportsChangeNotification	1.0	1.0 and later	Battery.h	Acmdwrap.lib	1
BatteryGetLifeTimeInfo	2.10	2.10 and later	Pwinuser.h		1
BeginDeferWindowPos	2.10	2.10 and later	Winuser.h		1
BeginPaint	1.0	1.0 and later	Winuser.h	Coredll.lib, Winmgr.lib	1
bind	1.0	1.0 and later	Winsock.h		1
BIND_FLAGS	2.0	2.0 and later	Objidl.idl		1
BIND_OPTS	2.0	2.0 and later	Objidl.h		1
BIND_OPTS2	2.0	2.0 and later	Objidl.h		1
BINDPTR	2.0	2.0 and later	Oaidl.h		1
BitBlt	2.0	2.0 and later	Wingdi.h	Mgblt.lib	1
BITMAP	1.9	1.9 and later	Wingdi.h		1
BITMAPCOREHEADER	2.0	2.0 and later	Wingdi.h		1
BITMAPCOREINFO	2.0	2.0 and later	Wingdi.h		1
BITMAPFILEHEADER	2.0	2.0 and later	Wingdi.h		1
BITMAPINFO	1.0	1.0 and later	Wingdi.h		1
BITMAPINFOHEADER	1.0	1.0 and later	Wingdi.h		1
BLOB	3.0	3.0 or later	Wincrypt.h		1
