id	title	min_ce	versions	header	lib	os
_WCESDK_HREPLOBJ	HREPLOBJ	2.0	2.0 and later	Cesync.h		Windows CE OS
_wcepb_ADDCONNECT_DLGPARAMS	ADDCONNECT_DLGPARAMS	2.10	2.10 and later	Netui.h		Windows CE OS
_wcepb_ASSERT	ASSERT	2.10	2.10 and later	Dbgapi.h		Windows CE OS
_wcepb_ASSERTMSG	ASSERTMSG	2.10	2.10 and later	Dbgapi.h		Windows CE OS
_wcepb_AdapterIPProperties	AdapterIPProperties	2.10	2.10 and later	Netui.h		Windows CE OS
_wcepb_BatteryDrvrGetStatus	BatteryDrvrGetStatus	2.10	2.10 and later	Battery.h		Windows CE OS
_wcepb_BatteryGetLifeTimeInfo	BatteryGetLifeTimeInfo	2.10	2.10 and later	Pwinuser.h		Windows CE OS
_wcepb_CEL_CRITSEC_ENTER	CEL_CRITSEC_ENTER	3.0	3.0 and later	Celog.h		Windows CE OS
_wcepb_CEL_CRITSEC_LEAVE	CEL_CRITSEC_LEAVE	3.0	3.0 and later	Celog.h		Windows CE OS
_wcepb_CEL_DATA_LOSS	CEL_DATA_LOSS	3.0	3.0 and later	Celog.h		Windows CE OS
_wcepb_CEL_EVENT_CLOSE	CEL_EVENT_CLOSE	3.0	3.0 and later	Celog.h		Windows CE OS
_wcepb_CEL_EVENT_CREATE	CEL_EVENT_CREATE	3.0	3.0 and later	Celog.h		Windows CE OS
_wcepb_CEL_EVENT_DELETE	CEL_EVENT_DELETE	3.0	3.0 and later	Celog.h		Windows CE OS
_wcepb_CEL_EVENT_PULSE	CEL_EVENT_PULSE	3.0	3.0 and later	Celog.h		Windows CE OS
_wcepb_CEL_EVENT_RESET	CEL_EVENT_RESET	3.0	3.0 and later	Celog.h		Windows CE OS
_wcepb_CEL_EVENT_SET	CEL_EVENT_SET	3.0	3.0 and later	Celog.h		Windows CE OS
_wcepb_CEL_HEADER	CEL_HEADER	3.0	3.0 and later	Celog.h		Windows CE OS
_wcepb_CEL_HEAP_ALLOC	CEL_HEAP_ALLOC	3.0	3.0 and later	Celog.h		Windows CE OS
_wcepb_CEL_HEAP_CREATE	CEL_HEAP_CREATE	3.0	3.0 and later	Celog.h		Windows CE OS
_wcepb_CEL_HEAP_DESTROY	CEL_HEAP_DESTROY	3.0	3.0 and later	Celog.h		Windows CE OS
_wcepb_CEL_HEAP_FREE	CEL_HEAP_FREE	3.0	3.0 and later	Celog.h		Windows CE OS
_wcepb_CEL_HEAP_REALLOC	CEL_HEAP_REALLOC	3.0	3.0 and later	Celog.h		Windows CE OS
_wcepb_CEL_INTERRUPTS	CEL_INTERRUPTS	3.0	3.0 and later	Celog.h		Windows CE OS
_wcepb_CEL_INT_DATA	CEL_INT_DATA	3.0	3.0 and later	Celog.h		Windows CE OS
_wcepb_CEL_LOG_MARKER	CEL_LOG_MARKER	3.0	3.0 and later	Celog.h		Windows CE OS
_wcepb_CEL_MODULE_FREE	CEL_MODULE_FREE	3.0	3.0 and later	Celog.h		Windows CE OS
_wcepb_CEL_MODULE_LOAD	CEL_MODULE_LOAD	3.0	3.0 and later	Celog.h		Windows CE OS
_wcepb_CEL_MUTEX_CLOSE	CEL_MUTEX_CLOSE	3.0	3.0 and later	Celog.h		Windows CE OS
_wcepb_CEL_MUTEX_CREATE	CEL_MUTEX_CREATE	3.0	3.0 and later	Celog.h		Windows CE OS
_wcepb_CEL_MUTEX_DELETE	CEL_MUTEX_DELETE	3.0	3.0 and later	Celog.h		Windows CE OS
_wcepb_CEL_MUTEX_RELEASE	CEL_MUTEX_RELEASE	3.0	3.0 and later	Celog.h		Windows CE OS
_wcepb_CEL_PROCESS_CLOSE	CEL_PROCESS_CLOSE	3.0	3.0 and later	Celog.h		Windows CE OS
_wcepb_CEL_PROCESS_CREATE	CEL_PROCESS_CREATE	3.0	3.0 and later	Celog.h		Windows CE OS
_wcepb_CEL_PROCESS_DELETE	CEL_PROCESS_DELETE	3.0	3.0 and later	Celog.h		Windows CE OS
_wcepb_CEL_PROCESS_TERMINATE	CEL_PROCESS_TERMINATE	3.0	3.0 and later	Celog.h		Windows CE OS
_wcepb_CEL_SEM_CLOSE	CEL_SEM_CLOSE	3.0	3.0 and later	Celog.h		Windows CE OS
_wcepb_CEL_SEM_CREATE	CEL_SEM_CREATE	3.0	3.0 and later	Celog.h		Windows CE OS
_wcepb_CEL_SEM_DELETE	CEL_SEM_DELETE	3.0	3.0 and later	Celog.h		Windows CE OS
_wcepb_CEL_SEM_RELEASE	CEL_SEM_RELEASE	3.0	3.0 and later	Celog.h		Windows CE OS
_wcepb_CEL_SLEEP	CEL_SLEEP	3.0	3.0 and later	Celog.h		Windows CE OS
_wcepb_CEL_SYSTEM_INVERT	CEL_SYSTEM_INVERT	3.0	3.0 and later	Celog.h		Windows CE OS
_wcepb_CEL_SYSTEM_PAGE	CEL_SYSTEM_PAGE	3.0	3.0 and later	Celog.h		Windows CE OS
_wcepb_CEL_SYSTEM_TLB	CEL_SYSTEM_TLB	3.0	3.0 and later	Celog.h		Windows CE OS
_wcepb_CEL_THREAD_CLOSE	CEL_THREAD_CLOSE	3.0	3.0 and later	Celog.h		Windows CE OS
_wcepb_CEL_THREAD_CREATE	CEL_THREAD_CREATE	3.0	3.0 and later	Celog.h		Windows CE OS
_wcepb_CEL_THREAD_DELETE	CEL_THREAD_DELETE	3.0	3.0 and later	Celog.h		Windows CE OS
_wcepb_CEL_THREAD_MIGRATE	CEL_THREAD_MIGRATE	3.0	3.0 and later	Celog.h		Windows CE OS
