id	title	kind	namespace	assembly	platforms	cf_supported
01bz0eb1	Notification.OnBalloonChanged Method  (Microsoft.WindowsCE.Forms)		Microsoft.WindowsCE.Forms	Microsoft.WindowsCE.Forms	Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platform. For a list of the supported versions, 	3.5,2.0
07at0eck	Message.Inequality Operator (Microsoft.WindowsCE.Forms)		Microsoft.WindowsCE.Forms	Microsoft.WindowsCE.Forms	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5,2.0,1.0
07yfzwz9	InputPanel.VisibleDesktop Property  (Microsoft.WindowsCE.Forms)		Microsoft.WindowsCE.Forms	Microsoft.WindowsCE.Forms	Windows CE, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platform. For a list of the supporte	3.5,2.0,1.0
0b21bs93	DocumentListEventArgs Constructor  (Microsoft.WindowsCE.Forms)		Microsoft.WindowsCE.Forms	Microsoft.WindowsCE.Forms	Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platform. For a list of the supported versions, 	3.5,2.0
0b21za7f	InputPanel.InputMethodCollection Members (Microsoft.WindowsCE.Forms)					-
0e6kf5w8	InputPanel.CurrentInputMethod Property  (Microsoft.WindowsCE.Forms)		Microsoft.WindowsCE.Forms	Microsoft.WindowsCE.Forms	Windows CE, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platform. For a list of the supporte	3.5,2.0
0s2d60ft	DocumentList.OnDeletingDocument Method  (Microsoft.WindowsCE.Forms)		Microsoft.WindowsCE.Forms	Microsoft.WindowsCE.Forms	Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platform. For a list of the supported versions, 	3.5,2.0
12z4yah4	DocumentList Constructor  (Microsoft.WindowsCE.Forms)		Microsoft.WindowsCE.Forms	Microsoft.WindowsCE.Forms	Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platform. For a list of the supported versions, 	3.5,2.0
18x9s937	Message.HWnd Property  (Microsoft.WindowsCE.Forms)		Microsoft.WindowsCE.Forms	Microsoft.WindowsCE.Forms	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5,2.0,1.0
1b06c6hz	BalloonChangedEventHandler Delegate (Microsoft.WindowsCE.Forms)		Microsoft.WindowsCE.Forms	Microsoft.WindowsCE.Forms	Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platform. For a list of the supported versions, 	3.5,2.0
1b41aaeb	InputPanel.InputMethodCollection.RemoveAt Method  (Microsoft.WindowsCE.Forms)		Microsoft.WindowsCE.Forms	Microsoft.WindowsCE.Forms	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5,2.0
1cx6ds02	DocumentListEventArgs Class (Microsoft.WindowsCE.Forms)		Microsoft.WindowsCE.Forms	Microsoft.WindowsCE.Forms	Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platform. For a list of the supported versions, 	3.5,2.0
1t41wek6	LogFont Members (Microsoft.WindowsCE.Forms)					-
1ta2c12a	InputMethod Class (Microsoft.WindowsCE.Forms)		Microsoft.WindowsCE.Forms	Microsoft.WindowsCE.Forms	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5,2.0
1y4s0819	InputPanel Class (Microsoft.WindowsCE.Forms)		Microsoft.WindowsCE.Forms	Microsoft.WindowsCE.Forms	Windows CE, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platform. For a list of the supporte	3.5,2.0,1.0
24efkd6y	Message.Equality Operator (Microsoft.WindowsCE.Forms)		Microsoft.WindowsCE.Forms	Microsoft.WindowsCE.Forms	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5,2.0,1.0
2aayefwd	BalloonChangedEventArgs Members (Microsoft.WindowsCE.Forms)					-
2kb77ww0	InputPanel.InputMethodCollection Class (Microsoft.WindowsCE.Forms)		Microsoft.WindowsCE.Forms	Microsoft.WindowsCE.Forms	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5,2.0
30zz8f96	MessageWindow.SendMessage Method  (Microsoft.WindowsCE.Forms)		Microsoft.WindowsCE.Forms	Microsoft.WindowsCE.Forms	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5,2.0,1.0
3tfatxt3	InputPanel.InputMethodCollection.IsReadOnly Property  (Microsoft.WindowsCE.Forms)		Microsoft.WindowsCE.Forms	Microsoft.WindowsCE.Forms	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5,2.0
43e84zk7	DocumentList.DocumentActivated Event (Microsoft.WindowsCE.Forms)		Microsoft.WindowsCE.Forms	Microsoft.WindowsCE.Forms	Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platform. For a list of the supported versions, 	3.5,2.0
46d4157d	Message.Msg Property  (Microsoft.WindowsCE.Forms)		Microsoft.WindowsCE.Forms	Microsoft.WindowsCE.Forms	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5,2.0,1.0
4exs4hbt	ResponseSubmittedEventArgs Class (Microsoft.WindowsCE.Forms)		Microsoft.WindowsCE.Forms	Microsoft.WindowsCE.Forms	Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platform. For a list of the supported versions, 	3.5,2.0
4s76w6wx	InputPanel.Enabled Property  (Microsoft.WindowsCE.Forms)		Microsoft.WindowsCE.Forms	Microsoft.WindowsCE.Forms	Windows CE, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platform. For a list of the supporte	3.5,2.0,1.0
4xzkbd1z	BalloonChangedEventArgs Class (Microsoft.WindowsCE.Forms)		Microsoft.WindowsCE.Forms	Microsoft.WindowsCE.Forms	Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platform. For a list of the supported versions, 	3.5,2.0
55ax52sx	DocumentList.SelectedDirectoryChanged Event (Microsoft.WindowsCE.Forms)		Microsoft.WindowsCE.Forms	Microsoft.WindowsCE.Forms	Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platform. For a list of the supported versions, 	3.5,2.0
5h3se641	BalloonChangedEventArgs.Visible Property  (Microsoft.WindowsCE.Forms)		Microsoft.WindowsCE.Forms	Microsoft.WindowsCE.Forms	Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platform. For a list of the supported versions, 	3.5,2.0
5t7e9fw6	DocumentListEventArgs.Path Property  (Microsoft.WindowsCE.Forms)		Microsoft.WindowsCE.Forms	Microsoft.WindowsCE.Forms	Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platform. For a list of the supported versions, 	3.5,2.0
