id	title	kind	namespace	assembly	cf_supported	ce_generations	path
bb345044(v=vs.90)	AcceptExistingMessages Property	Property	Microsoft.ServiceModel.Channels.Mail	Microsoft.ServiceModel.Channels.Mail (in Microsoft.ServiceModel.Channels.Mail.dll)	3.5	CE6R3+	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.ServiceModel.Channels.Mail Namespace/MailBindingBase Class/MailBindingBase Properties /AcceptExistingMessages Property 
bb351848(v=vs.90)	AcceptExistingMessages Property	Property	Microsoft.ServiceModel.Channels.Mail	Microsoft.ServiceModel.Channels.Mail (in Microsoft.ServiceModel.Channels.Mail.dll)	3.5	CE6R3+	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.ServiceModel.Channels.Mail Namespace/MailTransportBindingElementBase Class/MailTransportBindingElementBase Properties /AcceptExistingMessages Property 
bb341750(v=vs.90)	AlgorithmSuite Property	Property	Microsoft.ServiceModel.Channels.Mail	Microsoft.ServiceModel.Channels.Mail (in Microsoft.ServiceModel.Channels.Mail.dll)	3.5	CE6R3+	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.ServiceModel.Channels.Mail Namespace/MailMessageSecurity Class/MailMessageSecurity Properties /AlgorithmSuite Property 
bb350939(v=vs.90)	BuildChannelFactory(TChannel) Method	Method	Microsoft.ServiceModel.Channels.Mail	Microsoft.ServiceModel.Channels.Mail (in Microsoft.ServiceModel.Channels.Mail.dll)	3.5	CE6R3+	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.ServiceModel.Channels.Mail Namespace/MailTransportBindingElementBase Class/MailTransportBindingElementBase Methods /BuildChannelFactory(TChannel) Method 
bb300255(v=vs.90)	BuildChannelListener(TChannel) Method	Method	Microsoft.ServiceModel.Channels.Mail	Microsoft.ServiceModel.Channels.Mail (in Microsoft.ServiceModel.Channels.Mail.dll)	3.5	CE6R3+	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.ServiceModel.Channels.Mail Namespace/MailTransportBindingElementBase Class/MailTransportBindingElementBase Methods /BuildChannelListener(TChannel) Method 
bb298316(v=vs.90)	CanBuildChannelFactory(TChannel) Method	Method	Microsoft.ServiceModel.Channels.Mail	Microsoft.ServiceModel.Channels.Mail (in Microsoft.ServiceModel.Channels.Mail.dll)	3.5	CE6R3+	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.ServiceModel.Channels.Mail Namespace/MailTransportBindingElementBase Class/MailTransportBindingElementBase Methods /CanBuildChannelFactory(TChannel) Method 
bb338665(v=vs.90)	CanBuildChannelListener(TChannel) Method	Method	Microsoft.ServiceModel.Channels.Mail	Microsoft.ServiceModel.Channels.Mail (in Microsoft.ServiceModel.Channels.Mail.dll)	3.5	CE6R3+	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.ServiceModel.Channels.Mail Namespace/MailTransportBindingElementBase Class/MailTransportBindingElementBase Methods /CanBuildChannelListener(TChannel) Method 
bb336357(v=vs.90)	Close Method	Method	Microsoft.ServiceModel.Channels.Mail	Microsoft.ServiceModel.Channels.Mail (in Microsoft.ServiceModel.Channels.Mail.dll)	3.5	CE6R3+	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.ServiceModel.Channels.Mail Namespace/MailTransportBindingElementBase Class/MailTransportBindingElementBase Methods /Close Method 
bb357092(v=vs.90)	Close Method	Method	Microsoft.ServiceModel.Channels.Mail	Microsoft.ServiceModel.Channels.Mail (in Microsoft.ServiceModel.Channels.Mail.dll)	3.5	CE6R3+	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.ServiceModel.Channels.Mail Namespace/MailBindingBase Class/MailBindingBase Methods /Close Method 
bb293133(v=vs.90)	Create Method (String, String)		Microsoft.ServiceModel.Channels.Mail	Microsoft.ServiceModel.Channels.Mail (in Microsoft.ServiceModel.Channels.Mail.dll)	3.5	CE6R3+	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.ServiceModel.Channels.Mail Namespace/MailUriHelper Class/MailUriHelper Methods /Create Method /Create Method (String, String)
