# interface	origin	carrier	status	page	methods
IAMDroppedFrames	strmif.h	Dshow.h	no-vtable-order	docs/mslearn/windows-ce-5.0/aa452538.html	
IAMMediaContentEx	strmif.h	Dshow.h	no-vtable-order	docs/mslearn/windows-ce-5.0/aa451755.html	
IAMTuner	strmif.h	Dshow.h	no-vtable-order	docs/mslearn/windows-ce-5.0/aa452506.html	
IDVREngineHelpers	strmif.h	Dshow.h	no-vtable-order	docs/mslearn/windows-ce-5.0/aa452542.html	
IDccMan	Dccole.h	Objbase.h	no-vtable-order	docs/mslearn/windows-ce-5.0/aa515545.html	
IDccManSink	Dccole.h	Objbase.h	no-vtable-order	docs/mslearn/windows-ce-5.0/aa515547.html	
IEnumFORMATETC	Objidl.h	Objbase.h	no-vtable-order	docs/mslearn/windows-ce-5.0/aa515615.html	
IEnumOLEVERB	Oleidl.h	Objbase.h	no-vtable-order	docs/mslearn/windows-ce-5.0/aa515633.html	
IEnumSTATDATA	Objidl.h	Objbase.h	no-vtable-order	docs/mslearn/windows-ce-5.0/aa515657.html	
IEnumSTATSTG	Objidl.h	Objbase.h	no-vtable-order	docs/mslearn/windows-ce-5.0/aa515670.html	
IEnumString	Objidl.h	Objbase.h	no-vtable-order	docs/mslearn/windows-ce-5.0/aa515677.html	
IKsPropertySet	strmif.h	Dshow.h	no-vtable-order	docs/mslearn/windows-ce-net-4x/ms897530.html	
INonDelegatingUnknown	strmif.h	Dshow.h	no-vtable-order	docs/mslearn/windows-ce-5.0/ms912007.html	
IOleLink	Oleidl.h	Objbase.h	no-vtable-order	docs/mslearn/windows-ce-5.0/ms882907.html	
ISpCFGInterpreter	Sapiddk.h	Sapi.h	no-vtable-order	docs/mslearn/windows-ce-5.0/ms886308.html	
ISpCFGInterpreterSite	Sapiddk.h	Sapi.h	no-vtable-order	docs/mslearn/windows-ce-5.0/ms886341.html	
ISpErrorLog	Sapiddk.h	Sapi.h	no-vtable-order	docs/mslearn/windows-ce-5.0/ms886839.html	
ISpGramCompBackend	Sapiddk.h	Sapi.h	no-vtable-order	docs/mslearn/windows-ce-5.0/ms886848.html	
ISpGrammarCompiler	Sapiddk.h	Sapi.h	no-vtable-order	docs/mslearn/windows-ce-5.0/ms886860.html	
ISpITNProcessor	Sapiddk.h	Sapi.h	no-vtable-order	docs/mslearn/windows-ce-5.0/ms886862.html	
ISpObjectTokenEnumBuilder	Sapiddk.h	Sapi.h	no-vtable-order	docs/mslearn/windows-ce-net-4x/ms925803.html	
ISpSRAlternates	Sapiddk.h	Sapi.h	no-vtable-order	docs/mslearn/windows-ce-5.0/aa517312.html	
ISpSREngine	Sapiddk.h	Sapi.h	no-vtable-order	docs/mslearn/windows-ce-5.0/aa517317.html	
ISpSREngineSite	Sapiddk.h	Sapi.h	no-vtable-order	docs/mslearn/windows-ce-5.0/ms887714.html	
ISpTTSEngine	Sapiddk.h	Sapi.h	no-vtable-order	docs/mslearn/windows-ce-net-4x/ms937459.html	
ISpTTSEngineSite	Sapiddk.h	Sapi.h	no-vtable-order	docs/mslearn/windows-embedded-ce-6.0/ee483974.html	
ISpTaskManager	Sapiddk.h	Sapi.h	no-vtable-order	docs/mslearn/windows-ce-net-4x/ms937430.html	
ISpThreadControl	Sapiddk.h	Sapi.h	no-vtable-order	docs/mslearn/windows-ce-net-4x/ms937438.html	
ISpThreadTask	Sapiddk.h	Sapi.h	no-vtable-order	docs/mslearn/windows-ce-net-4x/ms937449.html	
ISpTokenUI	Sapiddk.h	Sapi.h	no-vtable-order	docs/mslearn/windows-ce-net-4x/ms937453.html	
IStorage	Objidl.h	Objbase.h	no-vtable-order	docs/mslearn/windows-ce-5.0/ms890600.html	
IStream	Objidl.h	Objbase.h	no-vtable-order	docs/mslearn/windows-ce-5.0/ms890686.html	
IStreamBufferCapture	strmif.h	Dshow.h	no-vtable-order	docs/mslearn/windows-ce-5.0/aa452554.html	
IStreamBufferPlayback	strmif.h	Dshow.h	no-vtable-order	docs/mslearn/windows-ce-5.0/aa452558.html	
ISurrogate	Objidl.h	Objbase.h	no-vtable-order	docs/mslearn/windows-ce-5.0/ms890769.html	
IVPBaseConfig	strmif.h	Dshow.h	generated	docs/mslearn/windows-ce-5.0/ms931998.html	16
IVPBaseNotify	strmif.h	Dshow.h	generated	docs/mslearn/windows-ce-5.0/ms932008.html	4
IVPConfig	strmif.h	Dshow.h	generated	docs/mslearn/windows-ce-5.0/ms932010.html	18
IVPNotify	strmif.h	Dshow.h	generated	docs/mslearn/windows-ce-5.0/ms932015.html	8
IVideoWIndow	strmif.h	Dshow.h	no-interface-page		
IViewObjectEx	Ocidl.h	Objbase.h	no-vtable-order	docs/mslearn/windows-ce-5.0/ms891586.html	
