# header	name	page	status	detail
include/Btagpub.h	NETWORK_FLAGS_DROP_ACTIVE		no-pageid	
include/Btagpub.h	NETWORK_FLAGS_DROP_HOLD		no-pageid	
include/Btagpub.h	NETWORK_FLAGS_DROP_OFFERING		no-pageid	
include/Btagpub.h	NETWORK_FLAGS_DROP_OUTGOING		no-pageid	
include/Btagpub.h	NETWORK_FLAGS_DROP_ALL		no-pageid	
include/Btagpub.h	NETWORK_FLAGS_STATE_ACTIVE	aa450315	name-no-value-on-page	
include/Btagpub.h	NETWORK_FLAGS_STATE_HOLD	aa450315	name-no-value-on-page	
include/Btagpub.h	NETWORK_FLAGS_STATE_OFFERING	aa450315	name-no-value-on-page	
include/Btagpub.h	NETWORK_FLAGS_STATE_OUTGOING	aa450315	name-no-value-on-page	
include/Bthsdpdef.h	MAX_UUIDS_IN_QUERY	ee495874	name-no-value-on-page	
include/Buttonview.hpp	_INC_WINDOWS_CE_SDK_DECOR_EMPTY		no-pageid	
include/Cchannel.h	CHANNEL_NAME_LEN		no-pageid	
include/Cchannel.h	CHANNEL_OPTION_INITIALIZED	aa513856	name-no-value-on-page	
include/Cchannel.h	CHANNEL_OPTION_ENCRYPT_RDP	aa513856	name-no-value-on-page	
include/Cchannel.h	CHANNEL_OPTION_ENCRYPT_SC	aa513856	name-no-value-on-page	
include/Cchannel.h	CHANNEL_OPTION_ENCRYPT_CS	aa513856	name-no-value-on-page	
include/Cchannel.h	CHANNEL_OPTION_PRI_HIGH	aa513856	name-no-value-on-page	
include/Cchannel.h	CHANNEL_OPTION_PRI_MED	aa513856	name-no-value-on-page	
include/Cchannel.h	CHANNEL_OPTION_PRI_LOW	aa513856	name-no-value-on-page	
include/Cchannel.h	CHANNEL_OPTION_COMPRESS_RDP	aa513856	name-no-value-on-page	
include/Cchannel.h	CHANNEL_OPTION_COMPRESS	aa513856	name-no-value-on-page	
include/Cchannel.h	CHANNEL_OPTION_SHOW_PROTOCOL	aa513856	name-no-value-on-page	
include/Cchannel.h	CHANNEL_OPTION_REMOTE_CONTROL_PERSISTENT	aa513856	name-no-value-on-page	
include/Cchannel.h	CHANNEL_FLAG_FIRST	aa514754	name-no-value-on-page	
include/Cchannel.h	CHANNEL_FLAG_LAST	aa514754	name-no-value-on-page	
include/Cchannel.h	CHANNEL_FLAG_MIDDLE	aa514754	name-no-value-on-page	
include/Cdioctl.h	IOCTL_CDROM_PAUSE_AUDIO	ms901379	name-no-value-on-page	value R1/derived
include/Cdioctl.h	IOCTL_CDROM_PLAY_AUDIO_MSF	ms901380	name-no-value-on-page	value R1/derived
include/Cdioctl.h	IOCTL_CDROM_READ_TOC	ms901382	name-no-value-on-page	value R1/derived
include/Cdioctl.h	IOCTL_CDROM_RESUME_AUDIO	ms901383	name-no-value-on-page	value R1/derived
include/Cdioctl.h	IOCTL_CDROM_SEEK_AUDIO_MSF	ms901384	name-no-value-on-page	value R1/derived
include/Cdioctl.h	IOCTL_CDROM_STOP_AUDIO	ms901385	name-no-value-on-page	value R1/derived
include/Comboboxview.hpp	_INC_WINDOWS_CE_SDK_DECOR_EMPTY		no-pageid	
include/Commctrl.h	ILC_MASK	ms909810	name-no-value-on-page	
include/Commctrl.h	ILC_COLOR	ms909810	name-no-value-on-page	
include/Commctrl.h	ILC_COLOR4	ms909810	name-no-value-on-page	
include/Commctrl.h	ILC_COLOR8	ms909810	name-no-value-on-page	
include/Commctrl.h	ILC_COLOR16	ms909810	name-no-value-on-page	
include/Commctrl.h	ILC_COLOR24	ms909810	name-no-value-on-page	
include/Commctrl.h	ILC_COLOR32	ms909810	name-no-value-on-page	
include/Commctrl.h	ILC_COLORDDB	ms909810	name-no-value-on-page	
include/Commctrl.h	ILC_MIRROR	ms909810	name-no-value-on-page	
include/Commctrl.h	ILD_NORMAL	ms909816	name-no-value-on-page	
include/Commctrl.h	ILD_TRANSPARENT	ms909816	name-no-value-on-page	
include/Commctrl.h	ILD_BLEND25	ms909816	name-no-value-on-page	
include/Commctrl.h	ILD_BLEND50		no-pageid	
include/Commctrl.h	ILD_MASK		no-pageid	
include/Commctrl.h	ILD_IMAGE		no-pageid	
include/Commctrl.h	ILD_ROP		no-pageid	
include/Commctrl.h	ILD_OVERLAYMASK		no-pageid	
include/Commctrl.h	CLR_NONE	ms909836	name-no-value-on-page	
include/Commctrl.h	CLR_DEFAULT	ms909836	name-not-on-page	
include/Commctrl.h	ACM_PLAY		no-pageid	
include/Commctrl.h	ACM_STOP		no-pageid	
include/Commctrl.h	ACM_OPEN		no-pageid	
include/Commctrl.h	ACN_START		no-pageid	
include/Commctrl.h	ACN_STOP		no-pageid	
include/Commctrl.h	ACS_CENTER		no-pageid	
include/Commctrl.h	ACS_TRANSPARENT		no-pageid	
include/Commctrl.h	ACS_AUTOPLAY		no-pageid	
include/Commctrl.h	ACS_TIMER		no-pageid	
include/Commctrl.h	CCS_VERT		no-pageid	
include/Commctrl.h	CDDS_PREPAINT		no-pageid	
include/Commctrl.h	CDDS_POSTPAINT		no-pageid	
include/Commctrl.h	CDDS_PREERASE		no-pageid	
include/Commctrl.h	CDDS_POSTERASE		no-pageid	
include/Commctrl.h	CDDS_ITEM		no-pageid	
include/Commctrl.h	CDDS_ITEMPREPAINT		no-pageid	
include/Commctrl.h	CDDS_ITEMPOSTPAINT		no-pageid	
include/Commctrl.h	CDDS_ITEMPREERASE		no-pageid	
include/Commctrl.h	CDDS_ITEMPOSTERASE		no-pageid	
include/Commctrl.h	CDIS_SELECTED		no-pageid	
include/Commctrl.h	CDIS_GRAYED		no-pageid	
include/Commctrl.h	CDIS_DISABLED		no-pageid	
include/Commctrl.h	CDIS_CHECKED		no-pageid	
include/Commctrl.h	CDIS_FOCUS		no-pageid	
include/Commctrl.h	CDIS_DEFAULT		no-pageid	
include/Commctrl.h	CDIS_HOT		no-pageid	
include/Commctrl.h	CDRF_DODEFAULT		no-pageid	
include/Commctrl.h	CDRF_NEWFONT		no-pageid	
include/Commctrl.h	CDRF_SKIPDEFAULT		no-pageid	
include/Commctrl.h	CDRF_NOTIFYPOSTPAINT		no-pageid	
include/Commctrl.h	CDRF_NOTIFYITEMDRAW		no-pageid	
include/Commctrl.h	CDRF_NOTIFYPOSTERASE		no-pageid	
include/Commctrl.h	CDRF_NOTIFYITEMERASE		no-pageid	
include/Commctrl.h	CMDBAR_HELP		no-pageid	
include/Commctrl.h	CMDBAR_OK		no-pageid	
include/Commctrl.h	DTM_GETSYSTEMTIME		no-pageid	
include/Commctrl.h	DTM_SETSYSTEMTIME		no-pageid	
include/Commctrl.h	DTM_GETRANGE		no-pageid	
include/Commctrl.h	DTM_SETRANGE		no-pageid	
include/Commctrl.h	DTM_SETMCCOLOR		no-pageid	
include/Commctrl.h	DTM_GETMCCOLOR		no-pageid	
include/Commctrl.h	DTM_GETMONTHCAL		no-pageid	
include/Commctrl.h	DTM_SETMCFONT		no-pageid	
include/Commctrl.h	DTM_GETMCFONT		no-pageid	
include/Commctrl.h	DTM_SETFORMAT		no-pageid	
include/Commctrl.h	DTS_SHOWNONE		no-pageid	
include/Commctrl.h	GDT_VALID		no-pageid	
include/Commctrl.h	GDT_NONE		no-pageid	
include/Commctrl.h	GDTR_MIN		no-pageid	
include/Commctrl.h	GDTR_MAX		no-pageid	
include/Commctrl.h	GMR_VISIBLE		no-pageid	
include/Commctrl.h	GMR_DAYSTATE		no-pageid	
include/Commctrl.h	HDF_LEFT		no-pageid	
include/Commctrl.h	HDF_RIGHT		no-pageid	
include/Commctrl.h	HDF_CENTER		no-pageid	
include/Commctrl.h	HDF_JUSTIFYMASK		no-pageid	
include/Commctrl.h	HDF_RTLREADING		no-pageid	
include/Commctrl.h	HDF_IMAGE		no-pageid	
include/Commctrl.h	HDF_BITMAP_ON_RIGHT		no-pageid	
include/Commctrl.h	HDF_BITMAP		no-pageid	
include/Commctrl.h	HDF_STRING		no-pageid	
include/Commctrl.h	HDF_OWNERDRAW		no-pageid	
include/Commctrl.h	HDI_HEIGHT		no-pageid	
include/Commctrl.h	HDI_WIDTH		no-pageid	
include/Commctrl.h	HDI_TEXT		no-pageid	
include/Commctrl.h	HDI_FORMAT		no-pageid	
include/Commctrl.h	HDI_LPARAM		no-pageid	
include/Commctrl.h	HDI_BITMAP		no-pageid	
include/Commctrl.h	HDI_IMAGE		no-pageid	
include/Commctrl.h	HDI_DI_SETITEM		no-pageid	
include/Commctrl.h	HDI_ORDER		no-pageid	
include/Commctrl.h	HDM_GETITEMCOUNT		no-pageid	
include/Commctrl.h	HDM_DELETEITEM		no-pageid	
include/Commctrl.h	HDM_LAYOUT		no-pageid	
include/Commctrl.h	HDM_HITTEST		no-pageid	
include/Commctrl.h	HDM_GETITEMRECT		no-pageid	
include/Commctrl.h	HDM_SETIMAGELIST		no-pageid	
include/Commctrl.h	HDM_GETIMAGELIST		no-pageid	
include/Commctrl.h	HDM_INSERTITEM		no-pageid	
include/Commctrl.h	HDM_GETITEM		no-pageid	
include/Commctrl.h	HDM_SETITEM		no-pageid	
include/Commctrl.h	HDM_ORDERTOINDEX		no-pageid	
include/Commctrl.h	HDM_CREATEDRAGIMAGE		no-pageid	
include/Commctrl.h	HDM_GETORDERARRAY		no-pageid	
include/Commctrl.h	HDM_SETORDERARRAY		no-pageid	
include/Commctrl.h	HDM_SETHOTDIVIDER		no-pageid	
include/Commctrl.h	HDS_BUTTONS		no-pageid	
include/Commctrl.h	HDS_DRAGDROP		no-pageid	
include/Commctrl.h	HHT_NOWHERE		no-pageid	
include/Commctrl.h	HHT_ONHEADER		no-pageid	
include/Commctrl.h	HHT_ONDIVIDER		no-pageid	
include/Commctrl.h	HHT_ONDIVOPEN		no-pageid	
include/Commctrl.h	HHT_TORIGHT		no-pageid	
include/Commctrl.h	HHT_TOLEFT		no-pageid	
include/Commctrl.h	ICC_LISTVIEW_CLASSES		no-pageid	
include/Commctrl.h	ICC_TREEVIEW_CLASSES		no-pageid	
include/Commctrl.h	ICC_BAR_CLASSES		no-pageid	
include/Commctrl.h	ICC_TAB_CLASSES		no-pageid	
include/Commctrl.h	ICC_UPDOWN_CLASS		no-pageid	
include/Commctrl.h	ICC_PROGRESS_CLASS		no-pageid	
include/Commctrl.h	ICC_HOTKEY_CLASS		no-pageid	
include/Commctrl.h	ICC_ANIMATE_CLASS		no-pageid	
include/Commctrl.h	ICC_DATE_CLASSES		no-pageid	
include/Commctrl.h	ICC_USEREX_CLASSES		no-pageid	
include/Commctrl.h	ICC_COOL_CLASSES		no-pageid	
include/Commctrl.h	ICC_INTERNET_CLASSES		no-pageid	
include/Commctrl.h	IDB_STD_SMALL_COLOR		no-pageid	
include/Commctrl.h	IDB_STD_LARGE_COLOR		no-pageid	
include/Commctrl.h	IDB_VIEW_SMALL_COLOR		no-pageid	
include/Commctrl.h	IDB_VIEW_LARGE_COLOR		no-pageid	
include/Commctrl.h	IDB_HIST_SMALL_COLOR		no-pageid	
include/Commctrl.h	IDB_HIST_LARGE_COLOR		no-pageid	
include/Commctrl.h	ILCF_MOVE		no-pageid	
include/Commctrl.h	ILCF_SWAP		no-pageid	
include/Commctrl.h	LVGIT_UNFOLDED		no-pageid	
include/Commctrl.h	LVIF_TEXT		no-pageid	
include/Commctrl.h	LVIS_FOCUSED		no-pageid	
include/Commctrl.h	LVIS_SELECTED		no-pageid	
include/Commctrl.h	LVIS_CUT		no-pageid	
include/Commctrl.h	LVIS_DROPHILITED		no-pageid	
include/Commctrl.h	LVM_GETBKCOLOR		no-pageid	
include/Commctrl.h	LVM_SETBKCOLOR		no-pageid	
include/Commctrl.h	LVM_GETIMAGELIST		no-pageid	
include/Commctrl.h	LVM_SETIMAGELIST		no-pageid	
include/Commctrl.h	LVM_GETITEMCOUNT		no-pageid	
include/Commctrl.h	LVM_DELETEITEM		no-pageid	
include/Commctrl.h	LVM_DELETEALLITEMS		no-pageid	
include/Commctrl.h	LVM_GETCALLBACKMASK		no-pageid	
include/Commctrl.h	LVM_SETCALLBACKMASK		no-pageid	
include/Commctrl.h	LVM_GETNEXTITEM		no-pageid	
include/Commctrl.h	LVM_GETITEMRECT		no-pageid	
include/Commctrl.h	LVM_SETITEMPOSITION		no-pageid	
include/Commctrl.h	LVM_GETITEMPOSITION		no-pageid	
include/Commctrl.h	LVM_HITTEST		no-pageid	
include/Commctrl.h	LVM_ENSUREVISIBLE		no-pageid	
include/Commctrl.h	LVM_SCROLL		no-pageid	
include/Commctrl.h	LVM_REDRAWITEMS		no-pageid	
include/Commctrl.h	LVM_ARRANGE		no-pageid	
include/Commctrl.h	LVM_GETEDITCONTROL		no-pageid	
include/Commctrl.h	LVM_DELETECOLUMN		no-pageid	
include/Commctrl.h	LVM_GETCOLUMNWIDTH		no-pageid	
include/Commctrl.h	LVM_SETCOLUMNWIDTH		no-pageid	
include/Commctrl.h	LVM_GETHEADER		no-pageid	
include/Commctrl.h	LVM_CREATEDRAGIMAGE		no-pageid	
include/Commctrl.h	LVM_GETVIEWRECT		no-pageid	
include/Commctrl.h	LVM_GETTEXTCOLOR		no-pageid	
include/Commctrl.h	LVM_SETTEXTCOLOR		no-pageid	
include/Commctrl.h	LVM_GETTEXTBKCOLOR		no-pageid	
include/Commctrl.h	LVM_SETTEXTBKCOLOR		no-pageid	
include/Commctrl.h	LVM_GETTOPINDEX		no-pageid	
include/Commctrl.h	LVM_GETCOUNTPERPAGE		no-pageid	
include/Commctrl.h	LVM_GETORIGIN		no-pageid	
include/Commctrl.h	LVM_UPDATE		no-pageid	
include/Commctrl.h	LVM_SETITEMSTATE		no-pageid	
include/Commctrl.h	LVM_GETITEMSTATE		no-pageid	
include/Commctrl.h	LVM_SETITEMCOUNT		no-pageid	
include/Commctrl.h	LVM_SORTITEMS		no-pageid	
include/Commctrl.h	LVM_SETITEMPOSITION32		no-pageid	
include/Commctrl.h	LVM_GETSELECTEDCOUNT		no-pageid	
include/Commctrl.h	LVM_GETITEMSPACING		no-pageid	
include/Commctrl.h	LVM_SETICONSPACING		no-pageid	
include/Commctrl.h	LVM_SETEXTENDEDLISTVIEWSTYLE		no-pageid	
include/Commctrl.h	LVM_GETEXTENDEDLISTVIEWSTYLE		no-pageid	
include/Commctrl.h	LVM_GETSUBITEMRECT		no-pageid	
include/Commctrl.h	LVM_SUBITEMHITTEST		no-pageid	
include/Commctrl.h	LVM_SETCOLUMNORDERARRAY		no-pageid	
include/Commctrl.h	LVM_GETCOLUMNORDERARRAY		no-pageid	
include/Commctrl.h	LVM_APPROXIMATEVIEWRECT		no-pageid	
include/Commctrl.h	LVM_SETWORKAREAS		no-pageid	
include/Commctrl.h	LVM_GETSELECTIONMARK		no-pageid	
include/Commctrl.h	LVM_SETSELECTIONMARK		no-pageid	
include/Commctrl.h	LVM_GETWORKAREAS		no-pageid	
include/Commctrl.h	LVM_GETNUMBEROFWORKAREAS		no-pageid	
include/Commctrl.h	LVM_SETTOOLTIPS		no-pageid	
include/Commctrl.h	LVM_GETITEM		no-pageid	
include/Commctrl.h	LVM_SETITEM		no-pageid	
include/Commctrl.h	LVM_INSERTITEM		no-pageid	
include/Commctrl.h	LVM_GETTOOLTIPS		no-pageid	
include/Commctrl.h	LVM_FINDITEM		no-pageid	
include/Commctrl.h	LVM_GETSTRINGWIDTH		no-pageid	
include/Commctrl.h	LVM_GETCOLUMN		no-pageid	
include/Commctrl.h	LVM_SETCOLUMN		no-pageid	
include/Commctrl.h	LVM_INSERTCOLUMN		no-pageid	
include/Commctrl.h	LVM_GETITEMTEXT		no-pageid	
include/Commctrl.h	LVM_SETITEMTEXT		no-pageid	
include/Commctrl.h	LVM_GETISEARCHSTRING		no-pageid	
include/Commctrl.h	LVM_EDITLABEL		no-pageid	
include/Commctrl.h	LVM_SETBKIMAGE		no-pageid	
include/Commctrl.h	LVM_GETBKIMAGE		no-pageid	
include/Commctrl.h	LVM_INSERTGROUP		no-pageid	
include/Commctrl.h	LVM_SETGROUPINFO		no-pageid	
include/Commctrl.h	LVM_GETGROUPINFO		no-pageid	
include/Commctrl.h	LVM_REMOVEGROUP		no-pageid	
include/Commctrl.h	LVM_MOVEGROUP		no-pageid	
include/Commctrl.h	LVM_SETGROUPMETRICS		no-pageid	
include/Commctrl.h	LVM_GETGROUPMETRICS		no-pageid	
include/Commctrl.h	LVM_ENABLEGROUPVIEW		no-pageid	
include/Commctrl.h	LVM_SORTGROUPS		no-pageid	
include/Commctrl.h	LVM_INSERTGROUPSORTED		no-pageid	
include/Commctrl.h	LVM_REMOVEALLGROUPS		no-pageid	
include/Commctrl.h	LVM_HASGROUP		no-pageid	
include/Commctrl.h	LVM_SETINFOTIP		no-pageid	
include/Commctrl.h	LVM_ISGROUPVIEWENABLED		no-pageid	
include/Commctrl.h	LVM_MAPIDTOINDEX		no-pageid	
include/Commctrl.h	MCHT_NOWHERE		no-pageid	
include/Commctrl.h	MCHT_TITLE		no-pageid	
include/Commctrl.h	MCHT_TITLEMONTH		no-pageid	
include/Commctrl.h	MCHT_TITLEYEAR		no-pageid	
include/Commctrl.h	MCHT_CALENDAR		no-pageid	
include/Commctrl.h	MCHT_CALENDARDATE		no-pageid	
include/Commctrl.h	MCHT_CALENDARDAY		no-pageid	
include/Commctrl.h	MCHT_CALENDARWEEKNUM		no-pageid	
include/Commctrl.h	MCHT_TODAYLINK		no-pageid	
include/Commctrl.h	MCHT_NEXT		no-pageid	
include/Commctrl.h	MCHT_TITLEBTNNEXT		no-pageid	
include/Commctrl.h	MCHT_CALENDARDATENEXT		no-pageid	
include/Commctrl.h	MCHT_PREV		no-pageid	
include/Commctrl.h	MCHT_TITLEBTNPREV		no-pageid	
include/Commctrl.h	MCHT_CALENDARDATEPREV		no-pageid	
include/Commctrl.h	MCM_GETCURSEL		no-pageid	
include/Commctrl.h	MCM_SETCURSEL		no-pageid	
