# Verified verdicts for docs/const-cite-conflicts.tsv rows (2026-09-18,
# corpus 5e7788655 / 95,439 pages).  Declarations stand; the page hits
# are mispairings or context-specific prints.  Re-verify on change.
# name	hdr	page-verdict
SHGDN_INFOLDER	0x0001	aa453709/ee504556 print the tagSHGDN enum WITHOUT explicit values; the 0x4 belongs to another row (mispair). Enum position confirms 1.
SECBUFFER_MISSING	0x0004	ee498798/ms925885 hit is a "Buffer Length / Buffer type" table cell (count column), not the constant.
SECBUFFER_EXTRA	0x0005	same table-cell mispair class as SECBUFFER_MISSING.
SECBUFFER_STREAM_TRAILER	0x0006	same table-cell mispair class.
SECBUFFER_STREAM_HEADER	0x0007	same table-cell mispair class.
DLL_PROCESS_DETACH	0	aa446913 prints 0x11be58 = a code-listing load address in a DllMain example, not the constant.
DLL_PROCESS_ATTACH	1	aa446913 prints 0x11bde0 = code-listing address (same class).
MAX_PATH	260	ee495176 is the DVD-Video UNICODE_PATH IDL page which defines its own context-local '#define MAX_PATH 128'; the global Windef MAX_PATH remains 260.
REG_SZ	1	ee493763/ms899488 hits are registry value-data examples (0x0 bytes), not the type constant.
REG_DWORD	4	ee486075/ee487835/etc. hits are registry value-data bytes in examples (0x0/0x1), not the type constant.
