name	page	os_versions	header	link_library	reason_held
ADDCONNECT_DLGPARAMS	aa452847(v=msdn.10)	Windows CE 2.10 and later.	Netui.h		type/constant/message page: no link library printed, so nothing exports this name
AddVectoredExceptionHandler	ee488606(v=winembedded.60)	Windows Embedded CE 6.0 and later	winbase.h	coredll.lib	parameter type PVECTORED_EXCEPTION_HANDLER is used by ee488606 but no page in the corpus prints its typedef
AllKeys	ee501942(v=winembedded.60)	Windows CE 2.0 and later	winuser.h		type/constant/message page: no link library printed, so nothing exports this name
BTEVENT	ee496010(v=winembedded.60)	Windows Embedded CE 6.0 and later	bt_api.h		type/constant/message page: no link library printed, so nothing exports this name
BT_CONNECT_EVENT	ee495996(v=winembedded.60)	Windows Embedded CE 6.0 and later	bt_api.h		type/constant/message page: no link library printed, so nothing exports this name
BT_DISCONNECT_EVENT	ee495839(v=winembedded.60)	Windows Embedded CE 6.0 and later	bt_api.h		type/constant/message page: no link library printed, so nothing exports this name
BT_LINK_KEY_EVENT	ee495780(v=winembedded.60)	Windows Embedded CE 6.0 and later	bt_api.h		type/constant/message page: no link library printed, so nothing exports this name
BT_MODE_CHANGE_EVENT	ee495911(v=winembedded.60)	Windows Embedded CE 6.0 and later	bt_api.h		type/constant/message page: no link library printed, so nothing exports this name
BT_ROLE_SWITCH_EVENT	ee495610(v=winembedded.60)	Windows Embedded CE 6.0 and later	bt_api.h		type/constant/message page: no link library printed, so nothing exports this name
BT_SERVICE_REQUEST	ee495863(v=winembedded.60)	Windows CE 5.0 and later	bt_api.h		type/constant/message page: no link library printed, so nothing exports this name
BitmapType	aa452887(v=msdn.10)	Windows CE .NET 4.0 and later.	Toolbarview.h		type/constant/message page: no link library printed, so nothing exports this name
ButtonControlRectangleStyle_t	aa452902(v=msdn.10)	Windows CE .NET 4.0 and later.	Buttonview.h		type/constant/message page: no link library printed, so nothing exports this name
CAUUID	ee489209(v=winembedded.60)	Windows CE .NET 4.0 and later	ocidl.h		type/constant/message page: no link library printed, so nothing exports this name
COMPOSITIONSTRING	ee491699(v=winembedded.60)	Windows CE .NET 4.0 and later	imm.h		type/constant/message page: no link library printed, so nothing exports this name
CTL_CODE	ms904001(v=msdn.10)	Windows CE .NET 4.0 and later.	Windev.h		type/constant/message page: no link library printed, so nothing exports this name
CeNotifyPrivate_TranslateOID	ms908090(v=msdn.10)	Windows CE 2.10 and later.	Notifext.hxx		type/constant/message page: no link library printed, so nothing exports this name
CeNotifyPublic_DisposeOfPacket	ms908092(v=msdn.10)	Windows CE 2.10 and later.	Notifext.hxx		type/constant/message page: no link library printed, so nothing exports this name
CeNotifyPublic_InitializeUI	ms908100(v=msdn.10)	Windows CE 5.0 and later.	Notifext.hxx		type/constant/message page: no link library printed, so nothing exports this name
CeNotifyPublic_UIWndProc	ms908098(v=msdn.10)	Windows CE 2.10 and later.	Notifext.hxx		type/constant/message page: no link library printed, so nothing exports this name
CeNotifyPublic_Uninitialize	ms908101(v=msdn.10)	Windows CE 5.0 and later.	Notifext.hxx		type/constant/message page: no link library printed, so nothing exports this name
CeRegGetInfo	ee490230(v=winembedded.60)	Windows Embedded CE 6.0 and later	winreg.h	coredll.lib	parameter type CE_REGISTRY_INFO is printed only on ee490786, whose Header row is fsioctl.h -- a filesystem-driver header this SDK does not ship
CeSyncStop	ee496864(v=winembedded.60)	Windows CE 3.0 and later	rapi.h	rapi.lib	ee496864 prints `HRESULT CeSyncStop();` and has no Parameters section, so the argument list is unpublished
CoInternetCreateSecurityManager	ee491853(v=winembedded.60)	Windows CE 5.0 and later	urlmon.h	urlmon.lib	parameter type IServiceProvider is not declared by this tree and no CE page prints the interface
CoInternetCreateZoneManager	ee492417(v=winembedded.60)	Windows CE 5.0 and later	urlmon.h	urlmon.lib	ee492417 prints only CoInternetCreateSecurityManager's prototype
ConnectionDialog	ms908147(v=msdn.10)	Windows CE 2.10 and later.	Netui.h	Netui.lib	type "PADDCONNECT_DLGPARAMS" (before parameter "pDlgParams") is not declared by this tree
CreateIconIndirect_I	ms908176(v=msdn.10)	Windows CE .NET 4.0 and later.	Gwebypasscoredllthunk.h		type/constant/message page: no link library printed, so nothing exports this name
DDARGB	ee491302(v=winembedded.60)	Windows Embedded CE 6.0 and later	ddraw.h		type/constant/message page: no link library printed, so nothing exports this name
DDDEVICEIDENTIFIER	ee490498(v=winembedded.60)	Windows Embedded CE 6.0 and later	ddraw.h		type/constant/message page: no link library printed, so nothing exports this name
DDGAMMARAMP	ee491315(v=winembedded.60)	Windows Embedded CE 6.0 and later	ddraw.h		type/constant/message page: no link library printed, so nothing exports this name
DEVICELIST	ms900471(v=msdn.10)	Windows CE 1.0 and later.	af_irda.h		type/constant/message page: no link library printed, so nothing exports this name
DestroyIcon_I	aa452939(v=msdn.10)	Windows CE .NET 4.0 and later.	Gwebypasscoredllthunk.h		type/constant/message page: no link library printed, so nothing exports this name
DoOptionsDialog	ee486399(v=winembedded.60)	Windows Embedded CE 6.0 and later	cesync.h		type/constant/message page: no link library printed, so nothing exports this name
DrawIconEx_I	aa452973(v=msdn.10)	Windows CE .NET 4.0 and later.	Gwebypasscoredllthunk.h		type/constant/message page: no link library printed, so nothing exports this name
FSDMGR_InstallFileLock	ee489597(v=winembedded.60)	Windows Embedded CE 6.0 and later	lockmgr.h		type/constant/message page: no link library printed, so nothing exports this name
FSDMGR_RemoveFileLockEx	ee489609(v=winembedded.60)	Windows Embedded CE 6.0 and later	lockmgr.h		type/constant/message page: no link library printed, so nothing exports this name
FSDMGR_TestFileLock	ee490368(v=winembedded.60)	Windows Embedded CE 6.0 and later	lockmgr.h	Fsdmgr.lib	not attempted
FSDMGR_TestFileLockEx	ee490616(v=winembedded.60)		lockmgr.h		type/constant/message page: no link library printed, so nothing exports this name
GETDRIVERNAMEPARMS	ms929239(v=msdn.10)	Windows CE 2.10 and later.	Netui.h		type/constant/message page: no link library printed, so nothing exports this name
GetDriverName	ms929238(v=msdn.10)	Windows CE 2.10 and later.	Netui.h	Netui.lib	type "PGETDRIVERNAMEPARMS" (before parameter "pDriverParms") is not declared by this tree
GetForegroundWindow_I	ms929245(v=msdn.10)	Windows CE .NET 4.0 and later.	Gwebypasscoredllthunk.h		type/constant/message page: no link library printed, so nothing exports this name
GetNewPassword	aa453143(v=msdn.10)	Windows CE 5.0 and later.	Netui.h	Netui.lib	type "PNETUI_NEWPWD" (before parameter "pNewPwd") is not declared by this tree
GetNewPasswordEx	aa453144(v=msdn.10)	Windows CE 5.0 and later.	Netui.h	Netui.lib	type "PNETUI_NEWPWD" (before parameter "pNewPwd") is not declared by this tree
GetResourcePassword	aa453158(v=msdn.10)	Windows CE 2.10 and later.	Netui.h	Netui.lib	type "PNETUI_RESPWD" (before parameter "pResPwd") is not declared by this tree
GetUsernamePassword	aa453176(v=msdn.10)	Windows CE 2.10 and later.	Netui.h	Netui.lib	type "PNETUI_USERPWD" (before parameter "pUserPwd") is not declared by this tree
GetUsernamePasswordEx	aa453177(v=msdn.10)	Windows CE 5.0.	Netui.h	Netui.lib	type "PNETUI_USERPWD" (before parameter "pUserPwd") is not declared by this tree
HCI_EstablishDeviceContext	ms890317(v=msdn.10)	Windows CE .NET 4.0 and later.	Bt_hcip.h	Btd.lib	the page prints the return type as "Int", which is not a C type
IAS_QUERY	ms890331(v=msdn.10)	Windows CE 2.0 and later.	Af_irda.h		type/constant/message page: no link library printed, so nothing exports this name
IAS_SET	ms890332(v=msdn.10)	Windows CE 2.0 and later.	Af_irda.h		type/constant/message page: no link library printed, so nothing exports this name
IMAGE_DATA_DIRECTORY	ms904424(v=msdn.10)	Windows CE 2.10 and later.	Winnt.h		type/constant/message page: no link library printed, so nothing exports this name
INTF_80211_CAPABILITY	ee486837(v=winembedded.60)	Windows Embedded CE 6.0 and later	wzcsapi.h		type/constant/message page: no link library printed, so nothing exports this name
INTF_ENTRY_EX	ee486847(v=winembedded.60)	Windows Embedded CE 6.0 and later	wzcsapi.h		type/constant/message page: no link library printed, so nothing exports this name
IOCTL_AG_SET_USE_HF_AUDIO	ee495813(v=winembedded.60)	Windows Embedded CE 6.0 and later	btagpub.h		type/constant/message page: no link library printed, so nothing exports this name
IOCTL_CONSOLE_CLS	ee499705(v=winembedded.60)	Windows CE 3.0 and later	console.h		type/constant/message page: no link library printed, so nothing exports this name
IOCTL_CONSOLE_FLUSHINPUT	ee505286(v=winembedded.60)	Windows CE 3.0 and later	console.h		type/constant/message page: no link library printed, so nothing exports this name
IOCTL_CONSOLE_GETMODE	ee500290(v=winembedded.60)	Windows CE 3.0 and later	console.h		type/constant/message page: no link library printed, so nothing exports this name
IOCTL_CONSOLE_GETSCREENCOLS	ee503425(v=winembedded.60)	Windows CE 3.0 and later	console.h		type/constant/message page: no link library printed, so nothing exports this name
IOCTL_CONSOLE_GETSCREENROWS	ee499109(v=winembedded.60)	Windows CE 3.0 and later	console.h		type/constant/message page: no link library printed, so nothing exports this name
IOCTL_CONSOLE_GETTITLE	ee505272(v=winembedded.60)	Windows CE 3.0 and later	console.h		type/constant/message page: no link library printed, so nothing exports this name
IOCTL_CONSOLE_SETCONTROLCEVENT	ee504518(v=winembedded.60)	Windows CE 3.0 and later	console.h		type/constant/message page: no link library printed, so nothing exports this name
IOCTL_CONSOLE_SETMODE	ee505685(v=winembedded.60)	Windows CE 3.0 and later	console.h		type/constant/message page: no link library printed, so nothing exports this name
IOCTL_CONSOLE_SETTITLE	ee502566(v=winembedded.60)	Windows CE 3.0 and later	console.h		type/constant/message page: no link library printed, so nothing exports this name
IOCTL_SMARTCARD_RESET_EVENTS	ee481865(v=winembedded.60)	Windows CE 3.0 and later	winsmcrd.h		type/constant/message page: no link library printed, so nothing exports this name
IRDA_DEVICE_INFO	aa450461(v=msdn.10)	Windows CE 1.0 and later.	af_irda.h		type/constant/message page: no link library printed, so nothing exports this name
KillTimer_I	aa453249(v=msdn.10)	Windows CE .NET 4.0 and later.	Gwebypasscoredllthunk.h		type/constant/message page: no link library printed, so nothing exports this name
LAPCancelVerifySequence	ee498710(v=winembedded.60)		lap.h		type/constant/message page: no link library printed, so nothing exports this name
LAPDisplayCodeword	ee498295(v=winembedded.60)		lap.h		type/constant/message page: no link library printed, so nothing exports this name
LAPDisplayPreWipe	ee498158(v=winembedded.60)		lap.h		type/constant/message page: no link library printed, so nothing exports this name
LAPLockoutUser	ee498374(v=winembedded.60)		lap.h		type/constant/message page: no link library printed, so nothing exports this name
LASSClose	ee497926(v=winembedded.60)		lap.h		type/constant/message page: no link library printed, so nothing exports this name
LASSGetResult	ee498744(v=winembedded.60)		lap.h		type/constant/message page: no link library printed, so nothing exports this name
LASSGetValue	ee498753(v=winembedded.60)		lap.h		type/constant/message page: no link library printed, so nothing exports this name
LINE_APPNEWCALL	ms893401(v=msdn.10)	Windows CE 3.0 and later.	Tapi.h		type/constant/message page: no link library printed, so nothing exports this name
LINE_GATHERDIGITS	ms894150(v=msdn.10)	Windows CE 3.0 and later.	Tapi.h		type/constant/message page: no link library printed, so nothing exports this name
LINE_REPLY	ms894459(v=msdn.10)	Windows CE 1.0 and later.	Tapi.h		type/constant/message page: no link library printed, so nothing exports this name
LineConfigEdit	aa453295(v=msdn.10)	Windows CE 2.10 and later.	Netui.h	Netui.lib	type "PLINECONFIGDATA" (before parameter "pLineConfigData") is not declared by this tree
LoadIconW_I	aa453412(v=msdn.10)	Windows CE .NET 4.0 and later.	Gwebypasscoredllthunk.h		type/constant/message page: no link library printed, so nothing exports this name
MAKEINTATOM	aa453541(v=msdn.10)	Windows CE .NET 4.0 and later.	Windows.h		type/constant/message page: no link library printed, so nothing exports this name
NDIS_PACKET_8021Q_INFO	ee482728(v=winembedded.60)	Windows CE 5.0 and later	winsock2.h		type/constant/message page: no link library printed, so nothing exports this name
NETUI_NEWPWD	ms931467(v=msdn.10)	Windows CE 5.0 and later.	Netui.h		type/constant/message page: no link library printed, so nothing exports this name
NETUI_RESPWD	ms931465(v=msdn.10)	Windows CE 2.10 and later.	Netui.h		type/constant/message page: no link library printed, so nothing exports this name
NETUI_USERPWD	ms931466(v=msdn.10)	Windows CE 2.10 and later.	Netui.h		type/constant/message page: no link library printed, so nothing exports this name
NotifyPacket	ms911890(v=msdn.10)	Windows CE 2.10 and later.	Notifext.hxx		type/constant/message page: no link library printed, so nothing exports this name
OlBusyStatus	ee485973(v=winembedded.60)	Windows CE 3.0 and later	pimstore.h	Pimstore.lib	page has no prototype block
OlCurrentCity	ee483770(v=winembedded.60)	Windows CE 3.0 and later	pimstore.h	Pimstore.lib	page has no prototype block
OlDaysOfWeek	ee483731(v=winembedded.60)	Windows CE 3.0 and later	pimstore.h	Pimstore.lib	page has no prototype block
OlDefaultFolders	ee483737(v=winembedded.60)	Windows CE 3.0 and later	pimstore.h	Pimstore.lib	page has no prototype block
OlImportance	ee485920(v=winembedded.60)	Windows CE 3.0 and later	pimstore.h	Pimstore.lib	page has no prototype block
OlItemType	ee484512(v=winembedded.60)	Windows CE 3.0 and later	pimstore.h	Pimstore.lib	no prototype block names this function
OlMeetingStatus	ee487259(v=winembedded.60)	Windows CE 3.0 and later	pimstore.h	Pimstore.lib	page has no prototype block
OlRecurrenceType	ee486745(v=winembedded.60)	Windows CE 3.0 and later	pimstore.h	Pimstore.lib	page has no prototype block
OlReminderOptions	ee483891(v=winembedded.60)	Windows CE 3.0 and later	pimstore.h	Pimstore.lib	no prototype block names this function
OlSensitivity	ee483685(v=winembedded.60)	Windows CE 3.0 and later	pimstore.h	Pimstore.lib	page has no prototype block
OnSSPDisable	ee484753(v=winembedded.60)	Windows Embedded CE 6.0 and later	cesync.h		type/constant/message page: no link library printed, so nothing exports this name
OnSSPEnable	ee485570(v=winembedded.60)	Windows Embedded CE 6.0 and later	cesync.h		type/constant/message page: no link library printed, so nothing exports this name
PALETTEINDEX2BPP	ms911914(v=msdn.10)	Windows CE 1.0 and later.	Windows.h		type/constant/message page: no link library printed, so nothing exports this name
PDATA_EH	ms940765(v=msdn.10)	Windows CE .NET 4.0 and later.	winnt.h		type/constant/message page: no link library printed, so nothing exports this name
PERF_COUNTER_BLOCK	ms894451(v=msdn.10)	Windows CE .NET 4.0 and later.	Windows.h		type/constant/message page: no link library printed, so nothing exports this name
PERF_COUNTER_DEFINITION	ms894453(v=msdn.10)	Windows CE .NET 4.0 and later.	Windows.h		type/constant/message page: no link library printed, so nothing exports this name
PERF_DATA_BLOCK	ms894455(v=msdn.10)	Windows CE .NET 4.0 and later.	Windows.h		type/constant/message page: no link library printed, so nothing exports this name
PERF_INSTANCE_DEFINITION	ms894456(v=msdn.10)	Windows CE .NET 4.0 and later.	Windows.h		type/constant/message page: no link library printed, so nothing exports this name
PERF_OBJECT_TYPE	ms894458(v=msdn.10)	Windows CE .NET 4.0 and later.	Windows.h		type/constant/message page: no link library printed, so nothing exports this name
PHONE_REPLY	ms895989(v=msdn.10)	Windows CE 3.0 and later.	Tapi.h		type/constant/message page: no link library printed, so nothing exports this name
PRELEASEFILELOCKSTATE	ee489955(v=winembedded.60)	Windows CE 5.0 and later	lockmgrtypes.h	Fsdmgr.lib	not attempted
PersistentPacket	ms911929(v=msdn.10)	Windows CE 2.10 and later.	Notifext.hxx		type/constant/message page: no link library printed, so nothing exports this name
PrivacySetZonePreferenceW	ee492181(v=winembedded.60)	Windows CE 5.0 and later	wininet.h	wininet.lib	ee492181 prints only PrivacyGetZonePreferenceW's prototype, with a stray trailing comma; no print of this function exists
READYSTATE	ee487613(v=winembedded.60)	Windows Embedded CE 6.0 R3	ocidl.h		type/constant/message page: no link library printed, so nothing exports this name
REG_NOTIFY_INFORMATION	ee489649(v=winembedded.60)	Windows Embedded CE 6.0 and later	winreg.h		type/constant/message page: no link library printed, so nothing exports this name
RTCFF_	ee499617(v=winembedded.60)	Windows Embedded CE 6.0 and later	rtccore.h		type/constant/message page: no link library printed, so nothing exports this name
RTCSP_	ee499854(v=winembedded.60)	Windows Embedded CE 6.0 and later	rtccore.h		type/constant/message page: no link library printed, so nothing exports this name
RTCSP_PRIVACY_	ee499848(v=winembedded.60)	Windows Embedded CE 6.0 and later	rtccore.h		type/constant/message page: no link library printed, so nothing exports this name
RasEapBegin	ee494724(v=winembedded.60)	Windows CE .NET 4.0 and later	raseapif.h		type/constant/message page: no link library printed, so nothing exports this name
RasEapEnd	ee494717(v=winembedded.60)	Windows CE .NET 4.0 and later	raseapif.h		type/constant/message page: no link library printed, so nothing exports this name
RasEapInitialize	ee494725(v=winembedded.60)	Windows CE .NET 4.0 and later	raseapif.h		type/constant/message page: no link library printed, so nothing exports this name
RasEapMakeMessage	ee494027(v=winembedded.60)	Windows CE .NET 4.0 and later	raseapif.h		type/constant/message page: no link library printed, so nothing exports this name
RasFreeBuffer	aa450841(v=msdn.10)	Windows CE .NET 4.0 and later.	Ras.h	Ppp.lib	no prototype block names this function
RasGetBuffer	aa450842(v=msdn.10)	Windows CE .NET 4.0 and later.	Ras.h	Ppp.lib	no prototype block names this function
RasGetDispPhoneNum	aa450844(v=msdn.10)	Windows CE .NET 4.0 and later.	Ras.h	Coredll.lib	the page prints no return type
RasReceiveBuffer	aa450857(v=msdn.10)	Windows CE .NET 4.0 and later.	Ras.h	Ppp.lib	no prototype block names this function
RasRetrieveBuffer	aa450859(v=msdn.10)	Windows CE .NET 4.0 and later.	Ras.h	Ppp.lib	no prototype block names this function
RasSendBuffer	aa450860(v=msdn.10)	Windows CE .NET 4.0 and later.	Ras.h	Ppp.lib	no prototype block names this function
SCROLL_STATE	ms932712(v=msdn.10)	Windows CE .NET 4.0 and later.	Scrollview.h		type/constant/message page: no link library printed, so nothing exports this name
STRINGFORMAT	aa450964(v=msdn.10)	Windows CE 3.0 and later.	Tapi.h		type/constant/message page: no link library printed, so nothing exports this name
STROBJ	ee489906(v=winembedded.60)	Windows Embedded CE 6.0 R2	winddi.h		type/constant/message page: no link library printed, so nothing exports this name
ScrollBarInfoInternal	ms932603(v=msdn.10)	Windows CE .NET 4.0 and later.	Scrollview.h		type/constant/message page: no link library printed, so nothing exports this name
SecPkgContext_MasterKeyInfo	ee498323(v=winembedded.60)	Windows Embedded CE 6.0 and later	schnlsp.h		type/constant/message page: no link library printed, so nothing exports this name
SendMessageW_I	ms939982(v=msdn.10)	Windows CE .NET 4.0 and later.	Gwebypasscoredllthunk.h		type/constant/message page: no link library printed, so nothing exports this name
SetForegroundWindow_I	ms940025(v=msdn.10)	Windows CE .NET 4.0 and later.	Gwebypasscoredllthunk.h		type/constant/message page: no link library printed, so nothing exports this name
SetTimer_I	aa453658(v=msdn.10)	Windows CE .NET 4.0 and later.	Gwebypasscoredllthunk.h		type/constant/message page: no link library printed, so nothing exports this name
Startup_DlgProc	ms940352(v=msdn.10)	Windows CE 2.10 and later.	Startui.h		type/constant/message page: no link library printed, so nothing exports this name
Startup_PowerOffWhileStartupActiveNotification	ms940354(v=msdn.10)	Windows CE 2.10 and later.	Startui.h		type/constant/message page: no link library printed, so nothing exports this name
StaticControlType	ms940360(v=msdn.10)	Windows CE .NET 4.0 and later.	Statctlview.h		type/constant/message page: no link library printed, so nothing exports this name
StringCbGetsEx	ms860404(v=msdn.10)	Windows CE 5.0 and later.	strsafe.h		ms860404 prints "Link Library: none." -- an explicit none, not a missing row -- so no import library may claim it; declared nowhere and def/strsafe-doc.def omits it deliberately
StructEncoderParameter	ee496526(v=winembedded.60)	Windows Embedded CE 6.0 and later	dshow.h		type/constant/message page: no link library printed, so nothing exports this name
UDM_GETPOS32	ee499104(v=winembedded.60)	Windows Embedded CE 6.0 and later	commctrl.h		type/constant/message page: no link library printed, so nothing exports this name
UDM_SETPOS32	ee500793(v=winembedded.60)	Windows Embedded CE 6.0 and later	commctrl.h		type/constant/message page: no link library printed, so nothing exports this name
UNICODE_PATH	ee495176(v=winembedded.60)	Windows CE .NET 4.0 and later	dvdata.h		type/constant/message page: no link library printed, so nothing exports this name
UNIMODEM_INFO	aa451136(v=msdn.10)	Windows CE .NET 4.0 and later.	Unimodem.h		type/constant/message page: no link library printed, so nothing exports this name
VerifyUserAsync	ee497978(v=winembedded.60)		lap.h		type/constant/message page: no link library printed, so nothing exports this name
WM_MBUTTONDOWN	aa453881(v=msdn.10)	Windows CE .NET 4.0 and later.	Windows.h	Coredll.lib	no prototype block names this function
WM_MBUTTONUP	aa453882(v=msdn.10)	Windows CE .NET 4.0 and later.	Windows.h	Coredll.lib	no prototype block names this function
WM_MOUSEWHEEL	aa453886(v=msdn.10)	Windows CE .NET 4.0 and later.	Windows.h	Coredll.lib	no prototype block names this function
WZCDeleteIntfObjEx	ee481708(v=winembedded.60)	Windows Embedded CE 6.0 and later	wzcsapi.h	Wzcsapi.lib	type "PINTF_ENTRY_EX" (before parameter "pIntf") is not declared by this tree
WZCEnumEapExtensions	ee485428(v=winembedded.60)	Windows CE .NET 4.2 and later	wzcsapi.h	Wzcsapi.lib	type "PEAP_EXTENSION_INFO" (before parameter "pEapExtensions") is not declared by this tree
WZCQueryInterfaceEx	ee483427(v=winembedded.60)	Windows Embedded CE 6.0 and later	wzcsapi.h	Wzcsapi.lib	type "PINTF_ENTRY_EX" (before parameter "pIntfEx") is not declared by this tree
WZCRefreshInterfaceEx	ee482278(v=winembedded.60)	Windows Embedded CE 6.0 and later	wzcsapi.h	Wzcsapi.lib	type "PINTF_ENTRY_EX" (before parameter "pIntfEx") is not declared by this tree
WZCSetInterfaceEx	ee481704(v=winembedded.60)	Windows Embedded CE 6.0 and later	wzcsapi.h	Wzcsapi.lib	type "PINTF_ENTRY_EX" (before parameter "pIntfEx") is not declared by this tree
_DSCP_TRAFFIC_TYPE	ee494854(v=winembedded.60)	Windows Embedded CE 6.0 and later	winsock2.h		type/constant/message page: no link library printed, so nothing exports this name
_IMAGE_ALPHA_RUNTIME_FUNCTION_ENTRY	ms940731(v=msdn.10)	Windows CE .NET 4.0 and later.	winnt.h		type/constant/message page: no link library printed, so nothing exports this name
_IMAGE_CE_RUNTIME_FUNCTION_ENTRY	ms940664(v=msdn.10)	Windows CE .NET 4.0 and later.	winnt.h		type/constant/message page: no link library printed, so nothing exports this name
_InterlockedCompareExchange	ms933769(v=msdn.10)		winbase.h		type/constant/message page: no link library printed, so nothing exports this name
_InterlockedDecrement	ms933770(v=msdn.10)		winbase.h		type/constant/message page: no link library printed, so nothing exports this name
_InterlockedExchange	ms933771(v=msdn.10)		winbase.h		type/constant/message page: no link library printed, so nothing exports this name
_InterlockedExchangeAdd	ms933772(v=msdn.10)		winbase.h		type/constant/message page: no link library printed, so nothing exports this name
_InterlockedIncrement	ms933773(v=msdn.10)		winbase.h		type/constant/message page: no link library printed, so nothing exports this name
__emul	ms933264(v=msdn.10)		winnt.h		type/constant/message page: no link library printed, so nothing exports this name
__emulu	ms933268(v=msdn.10)		winnt.h		type/constant/message page: no link library printed, so nothing exports this name
__ll_lshift	ms940753(v=msdn.10)		winnt.h		type/constant/message page: no link library printed, so nothing exports this name
__ll_rshift	ms940754(v=msdn.10)		winnt.h		type/constant/message page: no link library printed, so nothing exports this name
__ull_rshift	ms933753(v=msdn.10)		winnt.h		type/constant/message page: no link library printed, so nothing exports this name
codeINSTALL_EXIT	ee484783(v=winembedded.60)		ce_setup.h		type/constant/message page: no link library printed, so nothing exports this name
codeINSTALL_INIT	ee483720(v=winembedded.60)		ce_setup.h		type/constant/message page: no link library printed, so nothing exports this name
codeUNINSTALL_EXIT	ee486781(v=winembedded.60)		ce_setup.h		type/constant/message page: no link library printed, so nothing exports this name
codeUNINSTALL_INIT	ee485190(v=winembedded.60)		ce_setup.h		type/constant/message page: no link library printed, so nothing exports this name
