name	page	os_versions	header	link_library	catalog
IAS_QUERY	ms890331(v=msdn.10)	Windows CE 2.0 and later.	Af_irda.h		catalog-windows-ce-50.tsv
IAS_SET	ms890332(v=msdn.10)	Windows CE 2.0 and later.	Af_irda.h		catalog-windows-ce-50.tsv
HCI_EstablishDeviceContext	ms890317(v=msdn.10)	Windows CE .NET 4.0 and later.	Bt_hcip.h	Btd.lib	catalog-windows-ce-50.tsv
ADDCONNECT_DLGPARAMS	aa452847(v=msdn.10)	Windows CE 2.10 and later.	Netui.h		catalog-windows-ce-50.tsv
ConnectionDialog	ms908147(v=msdn.10)	Windows CE 2.10 and later.	Netui.h	Netui.lib	catalog-windows-ce-50.tsv
GETDRIVERNAMEPARMS	ms929239(v=msdn.10)	Windows CE 2.10 and later.	Netui.h		catalog-windows-ce-50.tsv
GetDriverName	ms929238(v=msdn.10)	Windows CE 2.10 and later.	Netui.h	Netui.lib	catalog-windows-ce-50.tsv
GetNewPasswordEx	aa453144(v=msdn.10)	Windows CE 5.0 and later.	Netui.h	Netui.lib	catalog-windows-ce-50.tsv
GetResourcePassword	aa453158(v=msdn.10)	Windows CE 2.10 and later.	Netui.h	Netui.lib	catalog-windows-ce-50.tsv
GetUsernamePassword	aa453176(v=msdn.10)	Windows CE 2.10 and later.	Netui.h	Netui.lib	catalog-windows-ce-50.tsv
GetUsernamePasswordEx	aa453177(v=msdn.10)	Windows CE 5.0.	Netui.h	Netui.lib	catalog-windows-ce-50.tsv
LineConfigEdit	aa453295(v=msdn.10)	Windows CE 2.10 and later.	Netui.h	Netui.lib	catalog-windows-ce-50.tsv
NETUI_RESPWD	ms931465(v=msdn.10)	Windows CE 2.10 and later.	Netui.h		catalog-windows-ce-50.tsv
NETUI_USERPWD	ms931466(v=msdn.10)	Windows CE 2.10 and later.	Netui.h		catalog-windows-ce-50.tsv
CeNotifyPrivate_TranslateOID	ms908090(v=msdn.10)	Windows CE 2.10 and later.	Notifext.hxx		catalog-windows-ce-50.tsv
CeNotifyPublic_DisposeOfPacket	ms908092(v=msdn.10)	Windows CE 2.10 and later.	Notifext.hxx		catalog-windows-ce-50.tsv
CeNotifyPublic_InitializeUI	ms908100(v=msdn.10)	Windows CE 5.0 and later.	Notifext.hxx		catalog-windows-ce-50.tsv
CeNotifyPublic_UIWndProc	ms908098(v=msdn.10)	Windows CE 2.10 and later.	Notifext.hxx		catalog-windows-ce-50.tsv
CeNotifyPublic_Uninitialize	ms908101(v=msdn.10)	Windows CE 5.0 and later.	Notifext.hxx		catalog-windows-ce-50.tsv
NotifyPacket	ms911890(v=msdn.10)	Windows CE 2.10 and later.	Notifext.hxx		catalog-windows-ce-50.tsv
PersistentPacket	ms911929(v=msdn.10)	Windows CE 2.10 and later.	Notifext.hxx		catalog-windows-ce-50.tsv
GetPasswordStatus	ms891004(v=msdn.10)	Windows CE .NET 4.0 and later.	Pwinbase.h	Coredll.lib	catalog-windows-ce-50.tsv
SetPasswordStatus	ms891976(v=msdn.10)	Windows CE .NET 4.0 and later.	Pwinbase.h	Coredll.lib	catalog-windows-ce-50.tsv
RasFreeBuffer	aa450841(v=msdn.10)	Windows CE .NET 4.0 and later.	Ras.h	Ppp.lib	catalog-windows-ce-50.tsv
