# action	name	note
keep	ActivateDevice	doc-derived (doc)
keep	ActivateDeviceEx	doc-derived (doc)
keep	ActivateKeyboardLayout	doc-derived (doc)
keep	ActivateService	doc-derived (doc)
keep	AddFontResourceW	doc-derived (doc-generic)
keep	AddVectoredExceptionHandler	doc-derived (doc)
keep	AdvertiseInterface	doc-derived (doc)
keep	AllocPhysMem	doc-derived (doc)
keep	AlphaBlend	doc-derived (doc)
keep	BatteryDrvrGetLevels	doc-derived (doc)
keep	BatteryDrvrSupportsChangeNotification	doc-derived (doc)
keep	BatteryGetLifeTimeInfo	doc-derived (doc)
keep	BatteryNotifyOfTimeChange	doc-derived (doc)
keep	BeginPaint	doc-derived (doc)
keep	BitBlt	doc-derived (doc)
keep	CacheRangeFlush	doc-derived (doc)
keep	CacheSync	doc-derived (doc)
keep	CaptureDumpFileOnDevice	doc-derived (doc)
keep	CeAllocAsynchronousBuffer	doc-derived (doc)
keep	CeAllocDuplicateBuffer	doc-derived (doc)
keep	CeCallUserProc	doc-derived (doc)
keep	CeChangeDatabaseLCID	doc-derived (doc)
keep	CeClearReplChangeBitsEx	doc-derived (doc)
keep	CeClearUserNotification	doc-derived (doc)
keep	CeCloseCallerBuffer	doc-derived (doc)
keep	CeCreateDatabase	doc-derived (doc)
keep	CeCreateDatabaseEx	doc-derived (doc)
keep	CeCreateDatabaseEx2	doc-derived (doc)
keep	CeDeleteDatabase	doc-derived (doc)
keep	CeDeleteDatabaseEx	doc-derived (doc)
keep	CeDeleteRecord	doc-derived (doc)
keep	CeEnumDBVolumes	doc-derived (doc)
keep	CeEventHasOccurred	doc-derived (doc)
keep	CeFindCloseRegChange	doc-derived (doc)
keep	CeFindFirstDatabase	doc-derived (doc)
keep	CeFindFirstDatabaseEx	doc-derived (doc)
keep	CeFindFirstRegChange	doc-derived (doc)
keep	CeFindNextChangedRecord	doc-derived (doc)
keep	CeFindNextDatabase	doc-derived (doc)
keep	CeFindNextDatabaseEx	doc-derived (doc)
keep	CeFindNextRegChange	doc-derived (doc)
keep	CeFlushAsynchronousBuffer	doc-derived (doc)
keep	CeFlushDBVol	doc-derived (doc)
keep	CeFreeAsynchronousBuffer	doc-derived (doc)
keep	CeFreeDuplicateBuffer	doc-derived (doc)
keep	CeFreeNotification	doc-derived (doc)
keep	CeGenRandom	doc-derived (doc)
keep	CeGetCallerTrust	doc-derived (doc)
keep	CeGetCanonicalPathNameW	doc-derived (doc-generic)
keep	CeGetDBInformationByHandle	doc-derived (doc)
keep	CeGetFileNotificationInfo	doc-derived (doc)
keep	CeGetRandomSeed	doc-derived (doc)
keep	CeGetRawTime	doc-derived (doc)
keep	CeGetRawTimeOffset	doc-derived (doc)
keep	CeGetReplChangeBitsEx	doc-derived (doc)
keep	CeGetReplChangeMask	doc-derived (doc)
keep	CeGetReplOtherBitsEx	doc-derived (doc)
keep	CeGetThreadPriority	doc-derived (doc)
keep	CeGetThreadQuantum	doc-derived (doc)
keep	CeGetUserNotification	doc-derived (doc)
keep	CeGetUserNotificationHandles	doc-derived (doc)
keep	CeGetUserNotificationPreferences	doc-derived (doc)
keep	CeHandleAppNotifications	doc-derived (doc)
keep	CeHeapCreate	doc-derived (doc)
keep	CeLogData	doc-derived (doc)
keep	CeLogGetZones	doc-derived (doc)
keep	CeLogInterrupt	doc-derived (doc)
keep	CeLogMsg	doc-derived (doc)
keep	CeLogQueryZones	doc-derived (doc)
keep	CeLogReSync	doc-derived (doc)
keep	CeLogSetZones	doc-derived (doc)
keep	CeLogThreadMigrate	doc-derived (doc)
keep	CeMountDBVol	doc-derived (doc)
keep	CeOidGetInfo	doc-derived (doc)
keep	CeOidGetInfoEx	doc-derived (doc)
keep	CeOidGetInfoEx2	doc-derived (doc)
keep	CeOpenCallerBuffer	doc-derived (doc)
keep	CeOpenDatabase	doc-derived (doc)
keep	CeOpenDatabaseEx	doc-derived (doc)
keep	CeOpenDatabaseEx2	doc-derived (doc)
keep	CeReadRecordProps	doc-derived (doc)
keep	CeReadRecordPropsEx	doc-derived (doc)
keep	CeRegGetInfo	doc-derived (doc)
keep	CeRegGetNotificationInfo	doc-derived (doc)
keep	CeRegTestSetValueW	doc-derived (doc)
keep	CeRegisterReplNotification	doc-derived (doc)
keep	CeRemoteHeapCreate	doc-derived (doc)
keep	CeRemoteHeapTranslatePointer	doc-derived (doc)
keep	CeRunAppAtEvent	doc-derived (doc)
keep	CeRunAppAtTime	doc-derived (doc)
keep	CeSeekDatabase	doc-derived (doc)
keep	CeSeekDatabaseEx	doc-derived (doc)
keep	CeSetDatabaseInfo	doc-derived (doc)
keep	CeSetDatabaseInfoEx	doc-derived (doc)
