# class	lib	function_pages_seen	example_pages	note
com-guid	av_upnp	100	IRenderingControl::GetBlueVideoBlackLeve;IRenderingControl::GetBlueVideoGain	COM interfaces / GUID data; a def would carry GUID/class-factory data entries only
driver-static	blcommon	16	BootloaderMain;OEMCheckSignature	Platform Builder / OAL static library (driver-internal); no application import surface
driver-static	cardserv	6	CardPowerOff;CardPowerOn	Platform Builder / OAL static library (driver-internal); no application import surface
resolved	ceutil	2	CeGetSelectedDeviceId;CeGetDeviceId	RESOLVED: def/ceutil-doc.def (2 names; pages name Ceutil.lib)
needs-investigation	commctl	22	CommandBands_AddAdornments;CommandBands_AddBands	no harvested page names this library in its Requirements row (corpus scan 2026-09-18, re-checked at 77,316 pages); no doc-derived def possible yet -- re-check as the harvest grows
resolved	commctrlview	1	CommCtrlView_t::Init	CLOSED: the only page (CommCtrlView_t::Init) is a C++ class method -- no free-function export surface
resolved	coremain	15	DeleteCriticalSection;EnterCriticalSection	RESOLVED (prior pass): def/coremain-doc.def (4 CriticalSection names)
needs-investigation	coresip	10	SipEnumIM;SipEnumIMProc	no harvested page names this library in its Requirements row (corpus scan 2026-09-18, re-checked at 77,316 pages); no doc-derived def possible yet -- re-check as the harvest grows
needs-investigation	cryptapi	31	CryptAcquireContext;CryptContextAddRef	no harvested page names this library in its Requirements row (corpus scan 2026-09-18, re-checked at 77,316 pages); no doc-derived def possible yet -- re-check as the harvest grows
resource-lib	cursor	17	ClipCursor;GetClipCursor	resource archive lib (cursors/icons), not an export surface
driver-static	ddgpe	31	SurfaceHeap::Alloc;SurfaceHeap Constructor	Platform Builder / OAL static library (driver-internal); no application import surface
resolved	device	6	CeFsIoControl;CeResyncFilesys	RESOLVED (prior pass): def/device-doc.def (3 names)
resolved	dnsapi	4	DnsModifyRecordsInSet_W;DnsQuery_W	RESOLVED: def/dnsapi-doc.def (4 names; pages name Dnsapi.lib)
driver-static	ethdbg	5	EdbgDeregisterClient;EdbgRecv	Platform Builder / OAL static library (driver-internal); no application import surface
driver-static	fsdbase	26	CHECK_SYSTEMGUID;CREATE_INVALIDGUID	Platform Builder / OAL static library (driver-internal); no application import surface
driver-static	fsmain	16	DeleteAndRenameFile;CopyFile	Platform Builder / OAL static library (driver-internal); no application import surface
driver-static	fspass	1	CheckPassword	Platform Builder / OAL static library (driver-internal); no application import surface
driver-static	fsreg	11	RegCloseKey;RegCreateKeyEx	Platform Builder / OAL static library (driver-internal); no application import surface
driver-static	gdcfg	10	ConfigInit;ConfigRsrc	Platform Builder / OAL static library (driver-internal); no application import surface
needs-investigation	getpower	2	GetSystemPowerStatusEx;GetSystemPowerStatusEx2	no harvested page names this library in its Requirements row (corpus scan 2026-09-18, re-checked at 77,316 pages); no doc-derived def possible yet -- re-check as the harvest grows
driver-static	gpe_lib	12	GetGPE;GPE::AllocSurface	Platform Builder / OAL static library (driver-internal); no application import surface
driver-static	hal	5	CallEdbgDeregisterClient;CallEdbgRecv	Platform Builder / OAL static library (driver-internal); no application import surface
driver-static	hidparse_lib	26	HidP_FreeCollectionDescription;HidP_GetButtonCaps	Platform Builder / OAL static library (driver-internal); no application import surface
needs-investigation	httpextn	2	ReadClient;WriteClient	no harvested page names this library in its Requirements row (corpus scan 2026-09-18, re-checked at 77,316 pages); no doc-derived def possible yet -- re-check as the harvest grows
needs-investigation	httpfilt	8	AddHeader;AllocMem	no harvested page names this library in its Requirements row (corpus scan 2026-09-18, re-checked at 77,316 pages); no doc-derived def possible yet -- re-check as the harvest grows
resource-lib	iconcurs	4	CreateCursor;DestroyCursor	resource archive lib (cursors/icons), not an export surface
com-guid	imaging	54	IImageDecoder::GetFrameCount;IImageDecoder::GetFrameDimensionsCount	COM interfaces / GUID data; a def would carry GUID/class-factory data entries only
driver-static	kitl	15	KitlInit;KITLOutputDebugString	Platform Builder / OAL static library (driver-internal); no application import surface
driver-static	layoutmanager	16	PFN_KEYBD_DRIVER_GET_INFO;PFN_KEYBD_DRIVER_INITIALIZE	Platform Builder / OAL static library (driver-internal); no application import surface
driver-static	loadauth	4	CertifyModule;CertifyModuleFinal	Platform Builder / OAL static library (driver-internal); no application import surface
needs-investigation	locusa	2	CharNext;GetStringType	no harvested page names this library in its Requirements row (corpus scan 2026-09-18, re-checked at 77,316 pages); no doc-derived def possible yet -- re-check as the harvest grows
resource-lib	mcursor	17	ClipCursor;GetClipCursor	resource archive lib (cursors/icons), not an export surface
driver-static	mgbase	14	DeleteObject;GetBkColor	Platform Builder / OAL static library (driver-internal); no application import surface
