# lib	action	name	evidence
coredll	remove	CeGetCurrentTrust	drop: OAK/driver (no Coredll.lib evidence; CEDDK/Fsdmgr/Nk/Device lib)
coredll	remove	CeGetDeviceId	move: ceutil-doc.def (documented Ceutil.lib; not a coredll component)
coredll	remove	CeGetSelectedDeviceId	move: ceutil-doc.def (documented Ceutil.lib; not a coredll component)
coredll	remove	CeResyncFilesys	drop: OAK/driver (no Coredll.lib evidence; CEDDK/Fsdmgr/Nk/Device lib)
coredll	remove	CeSetThreadPriority	drop: OAK/driver (no Coredll.lib evidence; CEDDK/Fsdmgr/Nk/Device lib)
coredll	remove	CreateEnrollmentConfigDialog	drop: documented "no link library is exposed" (LASS)
coredll	remove	CryptMsgCalculateEncodedLength	move: crypt32-doc.def (documented crypt32.lib)
coredll	remove	CryptMsgClose	move: crypt32-doc.def (documented crypt32.lib)
coredll	remove	CryptMsgControl	move: crypt32-doc.def (documented crypt32.lib)
coredll	remove	CryptMsgDuplicate	move: crypt32-doc.def (documented crypt32.lib)
coredll	remove	CryptMsgGetParam	move: crypt32-doc.def (documented crypt32.lib)
coredll	remove	CryptMsgOpenToDecode	move: crypt32-doc.def (documented crypt32.lib)
coredll	remove	CryptMsgOpenToEncode	move: crypt32-doc.def (documented crypt32.lib)
coredll	remove	CryptMsgUpdate	move: crypt32-doc.def (documented crypt32.lib)
coredll	remove	CryptVerifyCertificateSignature	move: crypt32-doc.def (documented crypt32.lib)
coredll	remove	DeleteStaticMapping	drop: OAK/driver (no Coredll.lib evidence; CEDDK/Fsdmgr/Nk/Device lib)
coredll	remove	FSDMGR_CloseFileLockState	drop: OAK/driver (no Coredll.lib evidence; CEDDK/Fsdmgr/Nk/Device lib)
coredll	remove	FSDMGR_EmptyLockContainer	drop: OAK/driver (no Coredll.lib evidence; CEDDK/Fsdmgr/Nk/Device lib)
coredll	remove	FSDMGR_OpenFileLockState	drop: OAK/driver (no Coredll.lib evidence; CEDDK/Fsdmgr/Nk/Device lib)
coredll	remove	FSDMGR_ReadDiskEx	drop: OAK/driver (no Coredll.lib evidence; CEDDK/Fsdmgr/Nk/Device lib)
coredll	remove	FSDMGR_WriteDiskEx	drop: OAK/driver (no Coredll.lib evidence; CEDDK/Fsdmgr/Nk/Device lib)
coredll	remove	FSD_UnhookVolume	drop: OAK/driver (no Coredll.lib evidence; CEDDK/Fsdmgr/Nk/Device lib)
coredll	remove	HalAllocateCommonBuffer	drop: OAK/driver (no Coredll.lib evidence; CEDDK/Fsdmgr/Nk/Device lib)
coredll	remove	HalFreeCommonBuffer	drop: OAK/driver (no Coredll.lib evidence; CEDDK/Fsdmgr/Nk/Device lib)
coredll	remove	HalGetBusData	drop: OAK/driver (no Coredll.lib evidence; CEDDK/Fsdmgr/Nk/Device lib)
coredll	remove	HalGetBusDataByOffset	drop: OAK/driver (no Coredll.lib evidence; CEDDK/Fsdmgr/Nk/Device lib)
coredll	remove	HalSetBusData	drop: OAK/driver (no Coredll.lib evidence; CEDDK/Fsdmgr/Nk/Device lib)
coredll	remove	HalSetBusDataByOffset	drop: OAK/driver (no Coredll.lib evidence; CEDDK/Fsdmgr/Nk/Device lib)
coredll	remove	HalTranslateBusAddress	drop: OAK/driver (no Coredll.lib evidence; CEDDK/Fsdmgr/Nk/Device lib)
coredll	remove	HalTranslateSystemAddress	drop: OAK/driver (no Coredll.lib evidence; CEDDK/Fsdmgr/Nk/Device lib)
coredll	remove	LoadFSDEx	drop: OAK/driver (no Coredll.lib evidence; CEDDK/Fsdmgr/Nk/Device lib)
coredll	remove	MmMapIoSpace	drop: OAK/driver (no Coredll.lib evidence; CEDDK/Fsdmgr/Nk/Device lib)
coredll	remove	MmUnmapIoSpace	drop: OAK/driver (no Coredll.lib evidence; CEDDK/Fsdmgr/Nk/Device lib)
coredll	remove	READ_PORT_BUFFER_UCHAR	drop: OAK/driver (no Coredll.lib evidence; CEDDK/Fsdmgr/Nk/Device lib)
coredll	remove	READ_PORT_BUFFER_ULONG	drop: OAK/driver (no Coredll.lib evidence; CEDDK/Fsdmgr/Nk/Device lib)
coredll	remove	READ_PORT_BUFFER_USHORT	drop: OAK/driver (no Coredll.lib evidence; CEDDK/Fsdmgr/Nk/Device lib)
coredll	remove	READ_PORT_UCHAR	drop: OAK/driver (no Coredll.lib evidence; CEDDK/Fsdmgr/Nk/Device lib)
coredll	remove	READ_PORT_ULONG	drop: OAK/driver (no Coredll.lib evidence; CEDDK/Fsdmgr/Nk/Device lib)
coredll	remove	READ_PORT_USHORT	drop: OAK/driver (no Coredll.lib evidence; CEDDK/Fsdmgr/Nk/Device lib)
