# header	name	page	status	detail
include/Av_upnp.h	DIRECTION	ee501152	no-print-on-page	
include/Avc_stream.h	AUDIO_SampleFrequency	ms896115	match	
include/Avc_stream.h	STREAM_MediaType	aa448165	match	
include/Avc_vvcr.h	VVCR_EVENT_Type	ms923273	match	
include/Avc_vvcr.h	VVCR_MECHANISM_STATE	ms923274	match	
include/Bt_hcip.h	HCI_EVENT	ee486889	no-print-on-page	
include/Bthsdpdef.h	SDP_TYPE	aa450880	match	
include/Bthsdpdef.h	SDP_SPECIFICTYPE	aa450879	match	
include/Bthsdpdef.h	NODECONTAINERTYPE	ms895690	match	
include/Bthutil.h	BTH_RADIO_MODE	ee495609	no-print-on-page	
include/CEDDK.h	BUS_DATA_TYPE	ms896151	match	
include/CEDDK.h	INTERFACE_TYPE	ms901367	match	
include/Camera.h	CSPROPERTY_BUFFER_MODE	ee482927	match	
include/Camera.h	BUFFER_COMMANDS	ee483385	match	
include/Ce_setup.h	codeINSTALL_INIT	ee483720	match	
include/Ce_setup.h	codeINSTALL_EXIT	ee484783	match	
include/Ce_setup.h	codeUNINSTALL_INIT	ee485190	match	
include/Ce_setup.h	codeUNINSTALL_EXIT	ee486781	match	
include/Celog.h	CEL_MAPFLUSH_TYPE	aa451058	match	
include/Cesync.h	ReplDialogs	ee483764	no-print-on-page	
include/Commandapi.h	PH_APPLICATION	ee501030	match	
include/Connmgr.h	ConnMgrConRefTypeEnum	ee498245	match	
include/Controldefinitions.h	STATUS_HEADER_PRIORITY	ee499254	match	
include/Controldefinitions.h	PH_COLOR	ee499844	match	
include/Controldefinitions.h	PH_FONT	ee500372	match	
include/Cs.h	CSPROPERTY_CONNECTION	ee481240	match	
include/Cs.h	CSSTATE	ee484413	match	
include/Cs.h	CSPROPERTY_PIN	ee486638	match	
include/D3dm.h	D3DMBACKBUFFER_TYPE		no-pageid	
include/D3dm.h	D3DMBLEND		no-pageid	
include/D3dm.h	D3DMBLENDOP		no-pageid	
include/D3dm.h	D3DMCMPFUNC		no-pageid	
include/D3dm.h	D3DMCULL		no-pageid	
include/D3dm.h	D3DMDEVTYPE		no-pageid	
include/D3dm.h	D3DMFILLMODE		no-pageid	
include/D3dm.h	D3DMFOGMODE		no-pageid	
include/D3dm.h	D3DMFORMAT		no-pageid	
include/D3dm.h	D3DMLIGHTTYPE		no-pageid	
include/D3dm.h	D3DMMATERIALCOLORSOURCE		no-pageid	
include/D3dm.h	D3DMMULTISAMPLE_TYPE		no-pageid	
include/D3dm.h	D3DMPOOL		no-pageid	
include/D3dm.h	D3DMPRIMITIVETYPE		no-pageid	
include/D3dm.h	D3DMPROFILE		no-pageid	
include/D3dm.h	D3DMRENDERSTATETYPE		no-pageid	
include/D3dm.h	D3DMRESOURCETYPE		no-pageid	
include/D3dm.h	D3DMSHADEMODE		no-pageid	
include/D3dm.h	D3DMSTENCILOP		no-pageid	
include/D3dm.h	D3DMSWAPEFFECT		no-pageid	
include/D3dm.h	D3DMTEXTUREADDRESS		no-pageid	
include/D3dm.h	D3DMTEXTUREFILTERTYPE		no-pageid	
include/D3dm.h	D3DMTEXTUREOP		no-pageid	
include/D3dm.h	D3DMTEXTURESTAGESTATETYPE		no-pageid	
include/D3dm.h	D3DMTEXTURETRANSFORMFLAGS		no-pageid	
include/D3dm.h	D3DMTRANSFORMSTATETYPE		no-pageid	
include/D3dm.h	D3DMZBUFFERTYPE		no-pageid	
include/D3dmddk.h	D3DM_OPERATION	ms896740	match	
include/D3dmddk.h	D3DM_SETLIGHT_DATATYPE	ms896749	match	
include/D3dmddk.h	D3DM_SETPALETTE_DATATYPE	ms896752	match	
include/D3dmddk.h	D3DM_RESOURCEMANAGER_ACTION	ms896745	match	
include/Discodlg.h	ExtendedDisconnectReasonCode	aa513913	no-print-on-page	
include/Dshow.h	FILTER_STATE	aa451714	match	
include/Dshow.h	PIN_DIRECTION	ms932255	match	
include/Dshow.h	QualityMessageType	ms932273	match	
include/Dshow.h	AM_STREAM_INFO_FLAGS	ms925346	match	
include/Dshow.h	AMVP_MODE	ms925348	match	
include/Dshow.h	AnalogVideoStandard	ms925439	match	
include/Dshow.h	STRMBUF_CAPTURE_MODE	aa452561	match	
include/Dshow.h	STRMBUF_PLAYBACK_TUNE_POLICY	aa452562	match	
include/Dshow.h	AMTunerModeType		no-pageid	
include/Dshow.h	TunerInputType		no-pageid	
