# header	name	page	status	detail
include/Avc_unit.h	UNIT_DisconnectFromRemotePlugCB	aa448234	match	
include/Avc_unit.h	UNIT_FreeLocalPlugCB	aa448235	match	
include/Btagpub.h	PFN_SendATCommand	aa450305	match	
include/Btagpub.h	PFN_PhoneExtServiceCallback	aa450310	match	
include/Cchannel.h	PCHANNEL_INIT_EVENT_FN	ms879628	no-print-on-page	
include/Cchannel.h	PCHANNEL_OPEN_EVENT_FN	ms879661	no-print-on-page	
include/Cchannel.h	PCHANNEL_INIT_EVENT_EX_FN	aa514727	no-print-on-page	
include/Cchannel.h	PCHANNEL_OPEN_EVENT_EX_FN	aa514754	no-print-on-page	
include/Commctrl.h	PFNTVCOMPARE	ms914065	no-print-on-page	
include/Commdlg.h	LPCCHOOKPROC	ms908071	match	
include/Commdlg.h	LPCFHOOKPROC	ms908107	no-print-on-page	
include/Commdlg.h	LPPAGEPAINTHOOK	ms911908	match	
include/Commdlg.h	LPPAGESETUPHOOK	ms911911	match	
include/Commdlg.h	LPPRINTHOOKPROC	aa453545	match	
include/D3dmddk.h	D3DM_CREATECONTEXT_PTR	aa447716	match	
include/D3dmddk.h	D3DM_CREATESURFACE_PTR	aa447720	match	
include/D3dmddk.h	D3DM_DESTROYCONTEXT_PTR	aa447722	match	
include/D3dmddk.h	D3DM_DESTROYSURFACE_PTR	aa447724	match	
include/D3dmddk.h	D3DM_DRAWPRIMITIVE_PTR	aa447729	match	
include/D3dmddk.h	D3DM_GETADAPTERINFO_PTR	ms896730	match	
include/D3dmddk.h	D3DM_GETINFO_PTR	ms896733	match	
include/D3dmddk.h	D3DM_INITIALIZE_PTR	aa447703	match	
include/D3dmddk.h	D3DM_LOCKSURFACE_PTR	ms896738	match	
include/D3dmddk.h	D3DM_RESOURCEMANAGER_PTR	ms896747	match	
include/D3dmddk.h	D3DM_UNLOCKSURFACE_PTR	ms896758	match	
include/D3dmddk.h	D3DM_VALIDATEDEVICE_PTR	ms896760	match	
include/Ddraw.h	LPDDENUMCALLBACK	ms907792	match	
include/Ddraw.h	LPDDENUMCALLBACKEX	ms907793	match	
include/Ddraw.h	LPDDENUMMODESCALLBACK	aa451690	no-print-on-page	
include/Ddraw.h	LPDDENUMMODESCALLBACK2	aa451691	no-print-on-page	
include/Ddraw.h	LPDDENUMSURFACESCALLBACK	aa451692	no-print-on-page	
include/Ddraw.h	LPDDENUMSURFACESCALLBACK2	aa451693	no-print-on-page	
include/Dvp.h	LPDDENUMVIDEOCALLBACK	aa451694	no-print-on-page	
include/Extfile.h	SHELLFILECHANGEFUNC_t	ms891992	no-print-on-page	
include/Httpfilt.h	PFN_SF_GET_SERVER_VARIABLE	aa450424	no-print-on-page	
include/Httpfilt.h	PFN_SF_ADD_RESPONSE_HEADERS	aa450281	no-print-on-page	
include/Httpfilt.h	PFN_SF_WRITE_CLIENT	ms898726	no-print-on-page	
include/Httpfilt.h	PFN_SF_ALLOC_MEM	aa450285	no-print-on-page	
include/Httpfilt.h	PFN_SF_SERVER_SUPPORT_FUNCTION	aa450890	no-print-on-page	
include/Httpfilt.h	PFN_SF_GET_HEADER	aa450402	no-print-on-page	
include/Httpfilt.h	PFN_SF_SET_HEADER	aa450402	no-print-on-page	
include/Httpfilt.h	PFN_SF_ADD_HEADER	aa450402	no-print-on-page	
include/Imm.h	REGISTERWORDENUMPROC		no-pageid	
include/Mmsystem.h	LPWAVEINPROC	aa452435	match	
include/Mmsystem.h	LPWAVEOUTPROC	aa452458	match	
include/Natedit.h	PNAT_LOG_CONNECTION_CREATION	ms886745	match	
include/Natedit.h	PNAT_LOG_CONNECTION_DELETION	ms886746	match	
include/Natedit.h	PNAT_LOG_DROPPED_PACKET	ms886747	match	
include/Natedit.h	PNAT_LOG_INIT	ms886748	match	
include/Obex.h	ServerCallback	ms900565	match	
include/Obex.h	ServiceCallback	ms900565	no-print-on-page	
include/Objbase.h	LPFNCONTINUE		no-pageid	
include/Pimstore.h	PFNCEPIMCOMMAND		no-pageid	
include/Prsht.h	LPFNPSPCALLBACK	aa453563	no-print-on-page	
include/Prsht.h	PFNPROPSHEETCALLBACK	aa453565	no-print-on-page	
include/Prsht.h	LPFNADDPROPSHEETPAGE	aa452848	no-print-on-page	
include/Ras.h	PFNRASGETBUFFER	aa450842	no-print-on-page	
include/Ras.h	PFNRASFREEBUFFER	aa450842	no-print-on-page	
include/Ras.h	PFNRASSENDBUFFER	aa450842	no-print-on-page	
include/Ras.h	PFNRASRECEIVEBUFFER		no-pageid	
include/Ras.h	PFNRASRETRIEVEBUFFER		no-pageid	
include/Shellcb.h	PFNSHELL_NOTIFYICON	aa453683	no-print-on-page	
include/Shellcb.h	PFNSHHADDTORECENTDOCS	aa453683	no-print-on-page	
include/Shlobj.h	BFFCALLBACK	aa452900	no-print-on-page	
include/Sipapi.h	IMENUMPROC	aa453742	no-print-on-page	
include/Socksv2.h	PF_SS_CALLBACK	aa447694	match	
include/Sspi.h	SEC_GET_KEY_FN	ms937013	no-print-on-page	
include/Sspi.h	ENUMERATE_SECURITY_PACKAGES_FN_W		no-pageid	
include/Sspi.h	QUERY_CREDENTIALS_ATTRIBUTES_FN_W		no-pageid	
include/Sspi.h	ACQUIRE_CREDENTIALS_HANDLE_FN_W		no-pageid	
include/Sspi.h	FREE_CREDENTIALS_HANDLE_FN		no-pageid	
include/Sspi.h	INITIALIZE_SECURITY_CONTEXT_FN_W		no-pageid	
include/Sspi.h	ACCEPT_SECURITY_CONTEXT_FN		no-pageid	
include/Sspi.h	COMPLETE_AUTH_TOKEN_FN		no-pageid	
include/Sspi.h	DELETE_SECURITY_CONTEXT_FN		no-pageid	
include/Sspi.h	APPLY_CONTROL_TOKEN_FN		no-pageid	
include/Sspi.h	QUERY_CONTEXT_ATTRIBUTES_FN_W		no-pageid	
include/Sspi.h	IMPERSONATE_SECURITY_CONTEXT_FN		no-pageid	
include/Sspi.h	REVERT_SECURITY_CONTEXT_FN		no-pageid	
include/Sspi.h	MAKE_SIGNATURE_FN		no-pageid	
include/Sspi.h	VERIFY_SIGNATURE_FN		no-pageid	
include/Sspi.h	FREE_CONTEXT_BUFFER_FN		no-pageid	
include/Sspi.h	QUERY_SECURITY_PACKAGE_INFO_FN_W		no-pageid	
include/Sspi.h	QUERY_SECURITY_CONTEXT_TOKEN_FN		no-pageid	
include/Sspi.h	ENCRYPT_MESSAGE_FN		no-pageid	
include/Sspi.h	DECRYPT_MESSAGE_FN		no-pageid	
include/Tapi.h	LINEEVENT	ms894144	no-print-on-page	
include/Tapi.h	PHONEEVENT	ms895922	no-print-on-page	
include/Tapi.h	ASYNC_COMPLETION	aa450289	no-print-on-page	
include/Tapi.h	LINECALLBACK	ms893424	no-print-on-page	
include/Tapi.h	PHONECALLBACK	ms895910	no-print-on-page	
include/Upnpdevapi.h	PUPNPCALLBACK	ms896349	match	
include/Winbase.h	LPTHREAD_START_ROUTINE	ms885186	no-print-on-page	
include/Winbase.h	LPPROGRESS_ROUTINE	aa517311	no-print-on-page	
include/Winbase.h	PFIBER_START_ROUTINE	ms885221	no-print-on-page	
include/Wincrypt.h	PFN_CMSG_STREAM_OUTPUT	ms937724	no-print-on-page	
include/Wincrypt.h	PFN_CERT_ENUM_SYSTEM_STORE	ms937645	no-print-on-page	
include/Wincrypt.h	PFN_CERT_ENUM_SYSTEM_STORE_LOCATION	ms937645	no-print-on-page	
include/Windef.h	FARPROC		no-pageid	
include/Windows.h	UILANGUAGE_ENUMPROC	ms905116	no-print-on-page	
include/Wingdi.h	ABORTPROC	aa452836	match	
include/Wingdi.h	FONTENUMPROC	ms901123	no-print-on-page	
include/Wingdi.h	MONITORENUMPROC	ms932091	match	
include/Winnls.h	CODEPAGE_ENUMPROC	ms904723	no-print-on-page	
include/Winnls.h	LOCALE_ENUMPROC		no-pageid	
include/Winnls.h	DATEFMT_ENUMPROC		no-pageid	
include/Winnls.h	TIMEFMT_ENUMPROC		no-pageid	
include/Winnls.h	CALINFO_ENUMPROC		no-pageid	
include/Winsock2.h	LPWSAOVERLAPPED_COMPLETION_ROUTINE	ms898745	no-print-on-page	
include/Winsock2.h	LPCONDITIONPROC	ms898727	no-print-on-page	
include/Winuser.h	WNDPROC	ee499372	match	
include/Winuser.h	WNDENUMPROC	ee499372	no-print-on-page	
include/Winuser.h	PROPENUMPROCEX	aa453551	match	
include/Winuser.h	TIMERPROC	aa453551	no-print-on-page	
include/Winuser.h	DLGPROC		no-pageid	
include/oak/Battimpl.h	PFN_BATTERY_PDD_IOCONTROL	ms919400	match	
include/oak/Cardserv.h	CARD_ISR	ms896171	match	
include/oak/Keybddr.h	PFN_KEYBD_DRIVER_MAP_VIRTUAL_KEY	ms902140	match	
include/oak/Keybddr.h	PFN_KEYBD_DRIVER_POWER_HANDLER	ms902141	match	
include/oak/Keybddr.h	PFN_KEYBD_DRIVER_SET_MODE	ms902142	match	
include/oak/Keybddr.h	PFN_KEYBD_EVENT_CALLBACK	ms902144	match	
include/oak/Keybddr.h	PFN_KEYBD_EVENT_CALLBACK_EX	ms902145	match	
include/oak/Keybddr.h	PFN_LAYOUT_MGR_ACTIVATE_KEYBOARD_LAYOUT	ms902151	match	
include/oak/Keybddr.h	PFN_LAYOUT_MGR_GET_KEYBOARD_LAYOUT	ms902153	match	
include/oak/Keybddr.h	PFN_LAYOUT_MGR_GET_KEYBOARD_LAYOUT_LIST	ms902154	match	
include/oak/Keybddr.h	PFN_LAYOUT_MGR_GET_KEYBOARD_LAYOUT_NAME	ms902155	match	
include/oak/Keybddr.h	PFN_LAYOUT_MGR_GET_KEYBOARD_TYPE	ms902156	match	
