header	page	os_versions	would_be_guard	reason
include/Shobjidl.h			_WIN32_WCE >= 0x0500	0x0420: /home/user/wince-api/include/Shobjidl.h:364:27: error: unknown type name ‘IShellViewVtbl’
include/Shobjidl.h	ms909891	Windows CE 5.0 and later.	_WIN32_WCE >= 0x0500	0x0420: /home/user/wince-api/include/Shobjidl.h:271:38: error: unknown type name ‘IDropTarget’
include/Usp10.h	ms905336	Windows CE 5.0 and later.	_WIN32_WCE >= 0x0500	0x0420: /home/user/wince-api/include/Usp10.h:282:23: error: unknown type name ‘SCRIPT_LOGATTR’
include/Cchannel.h	aa513861	Windows CE 5.0 and later.	_WIN32_WCE >= 0x0500	0x0420: /home/user/wince-api/include/Cchannel.h:273:5: error: unknown type name ‘PCHANNEL_ENTRY_POINTS_EX’; did you me
include/D3dm.h			_WIN32_WCE >= 0x0500	0x0420: /home/user/wince-api/include/D3dm.h:507:5: error: unknown type name ‘D3DMCOLORVALUE’
include/D3dm.h	ms907756	Windows CE 5.0 and later.	_WIN32_WCE >= 0x0500	0x0420: /home/user/wince-api/include/D3dm.h:475:5: error: unknown type name ‘D3DMVALUE’
include/D3dm.h			_WIN32_WCE >= 0x0500	0x0420: /home/user/wince-api/include/D3dm.h:506:5: error: unknown type name ‘D3DMVECTOR’
include/D3dm.h	ms907720	Windows CE 5.0 and later.	_WIN32_WCE >= 0x0500	0x0420: /home/user/wince-api/include/D3dm.h:646:17: error: unknown type name ‘IDirect3DMobile’
include/Winbase.h	aa517311	Windows CE 5.0 and later	_WIN32_WCE >= 0x0500	0x0420: /home/user/wince-api/include/Winbase.h:729:20: error: ‘CopyFileExW’ undeclared here (not i
include/Winbase.h	ms885655	Windows CE 5.0 and later.	_WIN32_WCE >= 0x0500	0x0420: /home/user/wince-api/include/Winbase.h:1783:32: error: ‘CeGetCanonicalPathNameW’ undeclare
include/Winbase.h	ms885617	Windows CE 5.0 and later.	_WIN32_WCE >= 0x0500	0x0420: /home/user/wince-api/include/Winbase.h:1781:32: error: ‘CeGetCanonicalPathNameW’ undeclare
include/Winbase.h	ms891385	Windows CE 5.0 and later.	_WIN32_WCE >= 0x0500	0x0420: /home/user/wince-api/include/Winbase.h:1779:32: error: ‘CeGetCanonicalPathNameW’ undeclare
include/Winbase.h	aa517144	Windows CE 5.0 and later.	_WIN32_WCE >= 0x0500	0x0420: /home/user/wince-api/include/Winbase.h:1777:32: error: ‘CeGetCanonicalPathNameW’ undeclare
include/Wingdi.h	aa452889	Microsoft® Windows CE® 5.0 and later.	_WIN32_WCE >= 0x0500	0x0420: /home/user/wince-api/include/Wingdi.h:640:31: error: ‘GetOutlineTextMetricsW’ undeclared h
include/Wingdi.h	ms934025	Windows CE 5.0 and later.	_WIN32_WCE >= 0x0500	0x0420: /home/user/wince-api/include/Wingdi.h:638:31: error: ‘GetOutlineTextMetricsW’ undeclared h
include/Wingdi.h	ms934025	Windows CE 5.0 and later.	_WIN32_WCE >= 0x0500	0x0420: /home/user/wince-api/include/Wingdi.h:636:31: error: ‘GetOutlineTextMetricsW’ undeclared h
include/Wingdi.h	aa453133	Windows CE 5.0 and later.	_WIN32_WCE >= 0x0500	0x0420: /home/user/wince-api/include/Wingdi.h:634:31: error: ‘GetOutlineTextMetricsW’ undeclared h
include/Wingdi.h	aa453165	Microsoft® Windows CE® 5.0 and later.	_WIN32_WCE >= 0x0500	0x0420: /home/user/wince-api/include/Wingdi.h:632:31: error: ‘GetOutlineTextMetricsW’ undeclared h
include/Wingdi.h	aa453655	Windows CE 5.0 and later.	_WIN32_WCE >= 0x0500	0x0420: /home/user/wince-api/include/Wingdi.h:630:31: error: ‘GetOutlineTextMetricsW’ undeclared h
include/Wingdi.h	aa453949	Windows CE 5.0 and later.	_WIN32_WCE >= 0x0500	0x0420: /home/user/wince-api/include/Wingdi.h:628:31: error: ‘GetOutlineTextMetricsW’ undeclared h
include/Wingdi.h	ms933897	Windows CE 5.0 and later.	_WIN32_WCE >= 0x0500	0x0420: /home/user/wince-api/include/Wingdi.h:626:31: error: ‘GetOutlineTextMetricsW’ undeclared h
include/D3dmddk.h	aa447711	Windows CE 5.0	_WIN32_WCE >= 0x0500	sweep include/D3dmddk.h 0x0420: /home/user/wince-api/include/D3dmddk.h:361:41: error: unknown type name ‘D3DM_CREATECONTEXT_DATA’
include/Socksv2.h			_WIN32_WCE >= 0x0500	sweep include/Socksv2.h 0x0420: /home/user/wince-api/include/Socksv2.h:64:64: error: unknown type name ‘PSS_SOCKET_STATE’
include/CEDDK.h	aa448212, aa448211	Windows CE .NET 4.0 and later.	_WIN32_WCE >= 0x0500	guard kept though the pages say 4.0: PPVOID is unknown at 0x420 (dependency hold, not a generation claim)
include/Cred.h	ms936984, ms936985, ms936986	Windows CE .NET 4.0 and later.	_WIN32_WCE >= 0x0500	guard kept though the pages say 4.0: PCRED/PPCRED are unknown at 0x420 (dependency hold, not a generation claim)
