header	name	page	os_versions	min	max	guard
include/Acmdrv.h	ACM_Close	ms895510	Windows CE 1.0 and later.	0x0100		
include/Acmdrv.h	ACM_Deinit	ms895511	Windows CE 1.0 and later.	0x0100		
include/Acmdrv.h	ACM_Init	ms896097	Windows CE 1.0 and later.	0x0100		
include/Acmdrv.h	ACM_IOControl	ms896098	Windows CE 1.0 and later.	0x0100		
include/Acmdrv.h	ACM_Open	ms896099	Windows CE 1.0 and later.	0x0100		
include/Acmdrv.h	ACM_PowerDown	ms896100	Windows CE 1.0 and later.	0x0100		
include/Acmdrv.h	ACM_PowerUp	ms896101	Windows CE 1.0 and later.	0x0100		
include/Acmdrv.h	ACM_Read	ms896102	Windows CE 1.0 and later.	0x0100		
include/Acmdrv.h	ACM_Write	ms896104	Windows CE 1.0 and later.	0x0100		
include/Acmdrv.h	ACM_Seek	ms896103	Windows CE 1.0 and later.	0x0100		
include/Advbacklight.h	BacklightAdvApplet	aa452867	Windows CE .NET 4.0 and later.	0x0400		
include/Autodial.h	AutoDialGetConnectionStatus	aa450292	Windows CE .NET 4.0 and later.	0x0400		
include/Autoras.h	struct	ms897083	Windows CE .NET 4.0 and later.	0x0400		
include/Avc_stream.h	enum	ms896115	Windows CE .NET 4.0 and later.	0x0400		
include/Avc_stream.h	struct	aa448155	Windows CE .NET 4.0 and later.	0x0400		
include/Avc_stream.h	struct	aa448156	Windows CE .NET 4.0 and later.	0x0400		
include/Avc_stream.h	struct	aa448157	Windows CE .NET 4.0 and later.	0x0400		
include/Avc_stream.h	struct	aa448160	Windows CE .NET 4.0 and later.	0x0400		
include/Avc_stream.h	struct	aa448161	Windows CE .NET 4.0 and later.	0x0400		
include/Avc_stream.h	struct	aa448162	Windows CE .NET 4.0 and later.	0x0400		
include/Avc_stream.h	struct	aa448163	Windows CE .NET 4.0 and later.	0x0400		
include/Avc_stream.h	struct	aa448164	Windows CE .NET 4.0 and later.	0x0400		
include/Avc_stream.h	enum	aa448165	Windows CE .NET 4.0 and later.	0x0400		
include/Avc_stream.h	struct	aa448168	Windows CE .NET 4.0 and later.	0x0400		
include/Avc_stream.h	_STREAM_GetMediaSize_Request	aa448159	Windows CE .NET 4.0 and later.	0x0400		
include/Avc_unit.h	struct	aa448229	Windows CE .NET 4.0 and later.	0x0400		
include/Avc_unit.h	struct	aa448231	Windows CE .NET 4.0 and later.	0x0400		
