# name	action	page	note
AbortDoc	drop	aa452835	Requirements name ?, Mgprint.lib, Mgprint.lib.; placed in mgprint-doc.def
AdjustWindowRectEx	drop	aa452849	Requirements name ?
AllKeys	drop	ee501942(v=winembedded.60)	Requirements name ?
AppendMenuW	drop	aa452862	Requirements name ?
BeginDeferWindowPos	drop	aa452870	Requirements name ?
BringWindowToTop	drop	aa452899	Requirements name ?
CallWindowProcW	drop	aa452919	Requirements name ?
CeCreateTokenFromAccount	drop	ee482761(v=winembedded.60)	Requirements name ?
CeFsIoControlW	drop	aa517137	Requirements name Device.lib, Device.lib.; placed in device-doc.def
CeGetCurrentTrust	drop	aa450793(v=msdn.10)	Requirements name ?, Nk.lib, Nk.lib.; placed in nk-doc.def
CeGetVolumeInfoW	drop	aa517175	Requirements name Storeapi.lib; placed in storeapi-doc.def
CeImpersonateCurrentProcess	confirm	ee482962(v=winembedded.60)	Requirements name Coredll (coredll.dll)
CeResyncFilesys	drop	aa517244	Requirements name ?, Device.lib, Device.lib.; placed in device-doc.def
CeSetThreadPriority	drop	ms885155	Requirements name ?, Nk.lib, Nk.lib.; placed in nk-doc.def
CharLowerBuffW	drop	ms885160	Requirements name Coreloc.lib, Coreloc.lib.; placed in coreloc-doc.def
CharLowerW	drop	ms885159	Requirements name Coreloc.lib, Coreloc.lib.; placed in coreloc-doc.def
CharPrevW	drop	ms885162	Requirements name Coreloc.lib, Coreloc.lib.; placed in coreloc-doc.def
CharUpperBuffW	drop	ms885165	Requirements name Coreloc.lib, Coreloc.lib.; placed in coreloc-doc.def
CharUpperW	drop	ms885164	Requirements name Coreloc.lib, Coreloc.lib.; placed in coreloc-doc.def
CheckMenuItem	drop	ms928575	Requirements name ?, Menu.lib, Menu.lib.; placed in menu-doc.def
CheckMenuRadioItem	drop	ms928576	Requirements name ?, Menu.lib, Menu.lib.; placed in menu-doc.def
CheckPassword	confirm	_wcesdk_CheckPassword	Requirements name Coredll (meta)
CheckRadioButton	drop	ms928577	Requirements name ?, Dlgmgr.lib, Dlgmgr.lib.; placed in dlgmgr-doc.def
CheckRemoteDebuggerPresent	confirm	ee488625(v=winembedded.60)	Requirements name Coredll (coredll.dll)
ChildWindowFromPoint	drop	ms928578	Requirements name ?
ClearCommBreak	drop	ms885166	Requirements name ?, Serdev.lib, Serdev.lib.; placed in serdev-doc.def
ClearCommError	drop	ms885167	Requirements name ?, Serdev.lib, Serdev.lib.; placed in serdev-doc.def
ClipCursor	drop	ms928585(v=msdn.10)	Requirements name ?, Cursor.lib; placed in cursor-doc.def
CloseClipboard	drop	ms928586	Requirements name ?, Clipbd.lib, Clipbd.lib.; placed in clipbd-doc.def
CloseGestureInfoHandle	drop	ee504292(v=winembedded.60)	Requirements name TouchGesture.lib; placed in touchgesture-doc.def
CompareStringW	drop	ms904713	Requirements name ?, Coreloc.lib, Coreloc.lib.; placed in coreloc-doc.def
ConvertDefaultLocale	drop	ms904716	Requirements name ?, Coreloc.lib, Coreloc.lib.; placed in coreloc-doc.def
CopyRect	drop	ms908152	Requirements name ?, Rectapi.lib, Rectapi.lib.; placed in rectapi-doc.def
CountClipboardFormats	drop	ms908153	Requirements name ?, Clipbd.lib, Clipbd.lib.; placed in clipbd-doc.def
CreateAcceleratorTableW	drop	ms908162	Requirements name Accel.lib, Accel.lib.; placed in accel-doc.def
CreateCaret	drop	ms908164	Requirements name ?, Caret.lib, Caret.lib.; placed in caret-doc.def
CreateCursor	drop	ms908167(v=msdn.10)	Requirements name ?, Iconcurs.lib, Iconcurs.lib.; placed in iconcurs-doc.def
