# header	name	page	status	detail
include/Acmdrv.h	ACM_Init	ms896097	match	
include/Acmdrv.h	ACM_IOControl	ms896098	match	
include/Acmdrv.h	ACM_Open	ms896099	match	
include/Acmdrv.h	ACM_PowerDown	ms896100	match	
include/Acmdrv.h	ACM_PowerUp	ms896101	match	
include/Acmdrv.h	ACM_Read	ms896102	match	
include/Acmdrv.h	ACM_Write	ms896104	match	
include/Advbacklight.h	BacklightAdvApplet	aa452867	match	
include/Astdtapi.h	tapiRequestMakeCall	ee497280	match	
include/Autodial.h	AutoDialCleanupModule		no-pageid	
include/Autodial.h	AutoDialEndConnection		no-pageid	
include/Autodial.h	AutoDialInitializeModule		no-pageid	
include/Autodial.h	AutoDialStartConnection		no-pageid	
include/Avc_unit.h	UNIT_CloseUnitDeviceObject	aa448230	match	
include/Avc_unit.h	UNIT_OpenUnitDeviceObject	aa448237	match	
include/Bt_api.h	BthAcceptSCOConnections	aa450303	match	
include/Bt_api.h	BthAuthenticate	ms887570	match	
include/Bt_api.h	BthAnswerPairRequest	ms887558	match	
include/Bt_api.h	BthCancelInquiry	ms887578	match	
include/Bt_api.h	BthClearInquiryFilter	ms887586	match	
include/Bt_api.h	BthCloseConnection	ms887598	match	
include/Bt_api.h	BthCreateACLConnection	ms887605	match	
include/Bt_api.h	BthCreateSCOConnection	ms887612	match	
include/Bt_api.h	BthEnterHoldMode	ms887712	match	
include/Bt_api.h	BthEnterParkMode	ms887822	match	
include/Bt_api.h	BthEnterSniffMode	ms887829	match	
include/Bt_api.h	BthExitParkMode	ms887830	match	
include/Bt_api.h	BthExitSniffMode	ms887831	match	
include/Bt_api.h	BthGetAddress	ms887833	match	
include/Bt_api.h	BthGetBasebandConnections	ms887834	match	
include/Bt_api.h	BthGetBasebandHandles	ms887835	match	
include/Bt_api.h	BthGetCurrentMode	ms887836	match	
include/Bt_api.h	BthGetHardwareStatus	ms887837	match	
include/Bt_api.h	BthGetLinkKey	ms887838	match	
include/Bt_api.h	BthGetPINRequest	ms887839	match	
include/Bt_api.h	BthGetRemoteCOD	ms887840	match	
include/Bt_api.h	BthNsLookupServiceBegin	ms887865	match	
include/Bt_api.h	BthNsLookupServiceEnd	ms887866	match	
include/Bt_api.h	BthNsLookupServiceNext	ms887867	match	
include/Bt_api.h	BthNsSetService	ms887870	no-print-on-page	
include/Bt_api.h	BthPairRequest	ms887871	match	
include/Bt_api.h	BthPerformInquiry	ms887872	match	
include/Bt_api.h	BthReadAuthenticationEnable	ms887873	match	
include/Bt_api.h	BthReadCOD	ms887874	match	
include/Bt_api.h	BthReadLinkPolicySettings	ms887875	match	
include/Bt_api.h	BthReadLocalAddr	ms887876	match	
include/Bt_api.h	BthReadLocalVersion	ms887877	match	
include/Bt_api.h	BthReadPageTimeout	ms887878	match	
include/Bt_api.h	BthReadRemoteVersion	ms887879	match	
include/Bt_api.h	BthReadScanEnableMask	ms887880	match	
include/Bt_api.h	BthRefusePINRequest	ms887881	match	
include/Bt_api.h	BthRemoteNameQuery	ms887883	match	
include/Bt_api.h	BthRevokeLinkKey	ms887885	match	
include/Bt_api.h	BthRevokePIN	ms887886	match	
include/Bt_api.h	BthSetEncryption	ms887887	match	
include/Bt_api.h	BthSetInquiryFilter	ms887889	match	
include/Bt_api.h	BthSetLinkKey	ms887890	match	
include/Bt_api.h	BthSetPIN	ms887891	match	
include/Bt_api.h	BthSetSecurityUI	ms887892	match	
include/Bt_api.h	BthTerminateIdleConnections	ms887895	match	
include/Bt_api.h	BthWriteAuthenticationEnable	ms887896	match	
