# header	name	reason
include/Imm.h	ImmRegisterWordW	print-differs
include/Ipsec_api.h	ResetIPSecMode	print-differs
include/Smbconfig.h	Add_Share	print-differs
include/Winnls.h	GetTimeFormatW	print-differs
include/Winnls.h	GetLocaleInfoW	print-differs
include/Winnls.h	SetLocaleInfoW	print-differs
include/Ws2spi.h	WSPAccept	print-differs
include/Ws2spi.h	WSPAddressToString	print-differs
include/Ws2spi.h	WSPAsyncSelect	print-differs
include/Ws2spi.h	WSPBind	print-differs
include/Ws2spi.h	WSPCleanup	print-differs
include/Ws2spi.h	WSPCloseSocket	print-differs
include/Ws2spi.h	WSPConnect	print-differs
include/Ws2spi.h	WSPDuplicateSocket	print-differs
include/Ws2spi.h	WSPEnumNetworkEvents	print-differs
include/Ws2spi.h	WSPEventSelect	print-differs
include/Ws2spi.h	WSPGetOverlappedResult	print-differs
include/Ws2spi.h	WSPGetPeerName	print-differs
include/Ws2spi.h	WSPGetSockName	print-differs
include/Ws2spi.h	WSPGetSockOpt	print-differs
include/Ws2spi.h	WSPIoctl	print-differs
include/Ws2spi.h	WSPJoinLeaf	print-differs
include/Ws2spi.h	WSPListen	print-differs
include/Ws2spi.h	WSPRecv	print-differs
include/Ws2spi.h	WSPRecvDisconnect	print-differs
include/Ws2spi.h	WSPRecvFrom	print-differs
include/Ws2spi.h	WSPSelect	print-differs
include/Ws2spi.h	WSPSend	print-differs
include/Ws2spi.h	WSPSendDisconnect	print-differs
include/Ws2spi.h	WSPSendTo	print-differs
include/Ws2spi.h	WSPSetSockOpt	print-differs
include/Ws2spi.h	WSPShutdown	print-differs
include/Ws2spi.h	WSPSocket	print-differs
include/Ws2spi.h	WPUFDIsSet	print-differs
include/Ws2spi.h	WSCUnInstallNameSpace	print-differs
include/Ws2tcpip.h	getaddrinfo	print-differs
