# header	name	page	status	detail
include/Af_irda.h	_IRDA_DEVICE_INFO	aa450461	match	
include/Autoras.h	DIALER_NOTIFICATION	ms897083	match	
include/Avc_stream.h	STREAM_CreateLocalPlug_Response	aa448155	match	
include/Avc_stream.h	STREAM_DeleteLocalPlug_Request	aa448156	match	
include/Avc_stream.h	STREAM_DereferenceRemotePlug_Request	aa448157	match	
include/Avc_stream.h	STREAM_GetMediaSize_Response	aa448160	match	
include/Avc_stream.h	STREAM_GetRemotePlugHandle_Request	aa448161	match	
include/Avc_stream.h	STREAM_GetRemotePlugHandle_Response	aa448162	match	
include/Avc_stream.h	STREAM_LocateRemotePlug_Request	aa448163	match	
include/Avc_stream.h	STREAM_LocateRemotePlug_Response	aa448164	match	
include/Avc_stream.h	STREAM_SetMediaSize_Request	aa448168	match	
include/Avc_stream.h	STREAM_GetMediaSize_Request	aa448159	match	
include/Avc_unit.h	UNIT_AllocateLocalPlug_Response	aa448229	match	
include/Avc_unit.h	UNIT_ConnectionRequestProcessed_Request	aa448231	match	
include/Avc_unit.h	UNIT_DereferenceConnectionPlug_Request	aa448233	match	
include/Avc_unit.h	UNIT_FreeLocalPlug_Request	aa448236	match	
include/Avc_unit.h	UNIT_ProcessRegistryPlugs_Request	aa448238	match	
include/Avc_unit.h	UNIT_QueryLocalPlugs_Request	aa448239	match	
include/Avc_unit.h	UNIT_QueryLocalPlugs_Response	aa448240	match	
include/Avc_unit.h	UNIT_RegisterSubunit_Response	aa448242	match	
include/Avc_vvcr.h	VVCR_Complete_Request	ms923270	match	
include/Avc_vvcr.h	VVCR_Event_Request	ms923271	match	
include/Avc_vvcr.h	VVCR_SetMechanismPosition_Request	ms923276	match	
include/Avc_vvcr.h	VVCR_SetMechanismState_Request	ms923277	match	
include/Avc_vvcr.h	VVCR_SetMechanismTrackNumber_Request	ms923278	match	
include/Bt_api.h	BASEBAND_CONNECTION	aa450296	match	
include/Bt_api.h	PORTEMUPortParams	ms896282	match	
include/Bt_api.h	BT_LINK_KEY_EVENT	ee495780	match	
include/Bt_api.h	BT_DISCONNECT_EVENT	ee495839	match	
include/Bt_api.h	BT_SERVICE_REQUEST	ee495863	match	
include/Bt_api.h	BT_MODE_CHANGE_EVENT	ee495911	match	
include/Bt_api.h	BT_CONNECT_EVENT	ee495996	match	
include/Bt_api.h	BTEVENT	ee496010	match	
include/Btagnetwork.h	NetworkCallFailedInfo	ms895682	match	
include/Bthsdpdef.h	SdpQueryUuidUnion	aa450878	no-print-on-page	
include/Bthsdpdef.h	SdpQueryUuid	aa450877	match	
include/Bthsdpdef.h	BTHNS_RESTRICTIONBLOB	ms887868	match	
