name	trees	decl	in_any_doc_def	in_coredll_surface	has_sig	lib	layer	headers
__asm	ce5	declared	0	0	0		app	
__assume	ce5	absent	0	0	0		-	
__CacheRelease	ce6	absent	0	0	0		-	
__CacheWriteBack	ce6	absent	0	0	0		-	
__COMMONPUBROOT	ce5+ce6	absent	0	0	0		-	
__debugbreak	ce5+ce6	absent	0	0	0		-	
__emit	ce5+ce6	absent	0	0	0		-	
__emul	ce4+ce5+ce6	absent	0	0	0		-	
__emulu	ce4+ce5+ce6	absent	0	0	0		-	
__fmac	ce4+ce5+ce6	absent	0	0	0		-	
__ll_lshift	ce4+ce5+ce6	absent	0	0	0		-	
__ll_rshift	ce4+ce5+ce6	absent	0	0	0		-	
__movca	ce4+ce5+ce6	declared	0	0	0		app	
__noop	ce5	absent	0	0	0		-	
__prefetch	ce4	declared	0	0	0		app	
__PROJROOT	ce5+ce6	absent	0	0	0		-	
__regsize	ce4+ce5+ce6	absent	0	0	0		-	
__security_init_cookie	ce6	absent	0	0	0		-	
__trap	ce6	absent	0	0	0		-	
__ull_rshift	ce4+ce5+ce6	absent	0	0	0		-	
_abs_ps	ce4	absent	0	0	0		-	
_abs_sl	ce4	absent	0	0	0		-	
_abs_su	ce4	absent	0	0	0		-	
_abs_vl	ce4	absent	0	0	0		-	
_abs_vu	ce4	absent	0	0	0		-	
_add_ob	ce4	declared	0	0	0		oak	
_add_ps	ce4	absent	0	0	0		-	
_add_sl	ce4	absent	0	0	0		-	
_add_su	ce4	absent	0	0	0		-	
_add_vl	ce4	absent	0	0	0		-	
_add_vu	ce4	absent	0	0	0		-	
_AddSatInt	ce4+ce5+ce6	declared	0	0	0		oak	
_Alert	ce5+ce6	absent	0	0	0		-	
_alloca	ce5	absent	0	0	0		-	
_alni_ob	ce4	declared	0	0	0		oak	
_AM_FILTER_MISC_FLAGS	ce6	absent	0	0	0		-	
_and_ob	ce4	declared	0	0	0		oak	
_BucketResponse	ce6	absent	0	0	0		-	
_BuildVersion	ce5+ce6	absent	0	0	0		-	
_byteswap_uint64	ce4+ce5	absent	0	0	0		-	
_byteswap_ulong	ce4+ce5	absent	0	0	0		-	
_byteswap_ushort	ce4+ce5	absent	0	0	0		-	
_c_eq_ob	ce4	declared	0	0	0		oak	
_c_eq_ps	ce4	absent	0	0	0		-	
_c_eq_sl	ce4	absent	0	0	0		-	
_c_eq_su	ce4	absent	0	0	0		-	
_c_eq_vl	ce4	absent	0	0	0		-	
_c_eq_vu	ce4	absent	0	0	0		-	
_c_f_ps	ce4	absent	0	0	0		-	
_c_f_sl	ce4	absent	0	0	0		-	
_c_f_su	ce4	absent	0	0	0		-	
_c_f_vl	ce4	absent	0	0	0		-	
_c_f_vu	ce4	absent	0	0	0		-	
_c_le_ob	ce4	declared	0	0	0		oak	
_c_le_ps	ce4	absent	0	0	0		-	
_c_le_sl	ce4	absent	0	0	0		-	
_c_le_su	ce4	absent	0	0	0		-	
_c_le_vl	ce4	absent	0	0	0		-	
_c_le_vu	ce4	absent	0	0	0		-	
_c_lt_ob	ce4	declared	0	0	0		oak	
_c_lt_ps	ce4	absent	0	0	0		-	
_c_lt_sl	ce4	absent	0	0	0		-	
_c_lt_su	ce4	absent	0	0	0		-	
_c_lt_vl	ce4	absent	0	0	0		-	
_c_lt_vu	ce4	absent	0	0	0		-	
_c_nge_ps	ce4	absent	0	0	0		-	
_c_nge_sl	ce4	absent	0	0	0		-	
_c_nge_su	ce4	absent	0	0	0		-	
_c_nge_vl	ce4	absent	0	0	0		-	
_c_nge_vu	ce4	absent	0	0	0		-	
_c_ngl_ps	ce4	absent	0	0	0		-	
_c_ngl_sl	ce4	absent	0	0	0		-	
_c_ngl_su	ce4	absent	0	0	0		-	
_c_ngl_vl	ce4	absent	0	0	0		-	
_c_ngl_vu	ce4	absent	0	0	0		-	
_c_ngle_ps	ce4	absent	0	0	0		-	
_c_ngle_sl	ce4	absent	0	0	0		-	
_c_ngle_su	ce4	absent	0	0	0		-	
_c_ngle_vl	ce4	absent	0	0	0		-	
_c_ngle_vu	ce4	absent	0	0	0		-	
_c_ngt_ps	ce4	absent	0	0	0		-	
_c_ngt_sl	ce4	absent	0	0	0		-	
_c_ngt_su	ce4	absent	0	0	0		-	
_c_ngt_vl	ce4	absent	0	0	0		-	
_c_ngt_vu	ce4	absent	0	0	0		-	
_c_ole_ps	ce4	absent	0	0	0		-	
_c_ole_sl	ce4	absent	0	0	0		-	
_c_ole_su	ce4	absent	0	0	0		-	
_c_ole_vl	ce4	absent	0	0	0		-	
_c_ole_vu	ce4	absent	0	0	0		-	
_c_olt_ps	ce4	absent	0	0	0		-	
_c_olt_sl	ce4	absent	0	0	0		-	
_c_olt_su	ce4	absent	0	0	0		-	
_c_olt_vl	ce4	absent	0	0	0		-	
_c_olt_vu	ce4	absent	0	0	0		-	
_c_seq_ps	ce4	absent	0	0	0		-	
_c_seq_sl	ce4	absent	0	0	0		-	
_c_seq_su	ce4	absent	0	0	0		-	
_c_seq_vl	ce4	absent	0	0	0		-	
_c_seq_vu	ce4	absent	0	0	0		-	
_c_sf_ps	ce4	absent	0	0	0		-	
_c_sf_sl	ce4	absent	0	0	0		-	
_c_sf_su	ce4	absent	0	0	0		-	
_c_sf_vl	ce4	absent	0	0	0		-	
_c_sf_vu	ce4	absent	0	0	0		-	
_c_ueq_ps	ce4	absent	0	0	0		-	
_c_ueq_sl	ce4	absent	0	0	0		-	
_c_ueq_su	ce4	absent	0	0	0		-	
_c_ueq_vl	ce4	absent	0	0	0		-	
_c_ueq_vu	ce4	absent	0	0	0		-	
_c_ule_ps	ce4	absent	0	0	0		-	
_c_ule_sl	ce4	absent	0	0	0		-	
_c_ule_su	ce4	absent	0	0	0		-	
_c_ule_vl	ce4	absent	0	0	0		-	
_c_ule_vu	ce4	absent	0	0	0		-	
_c_ult_ps	ce4	absent	0	0	0		-	
_c_ult_sl	ce4	absent	0	0	0		-	
_c_ult_su	ce4	absent	0	0	0		-	
_c_ult_vl	ce4	absent	0	0	0		-	
_c_ult_vu	ce4	absent	0	0	0		-	
_c_un_ps	ce4	absent	0	0	0		-	
_c_un_sl	ce4	absent	0	0	0		-	
_c_un_su	ce4	absent	0	0	0		-	
_c_un_vl	ce4	absent	0	0	0		-	
_c_un_vu	ce4	absent	0	0	0		-	
_cabs	ce5	absent	1	0	0		-	
_CacheRelease	ce4+ce5	absent	0	0	0		-	
_CacheWriteBack	ce4+ce5	absent	0	0	0		-	
_CEDUMP_BUCKET_PARAMETERS	ce5+ce6	declared	0	0	0		oak	
_CEDUMP_ELEMENT_LIST	ce5+ce6	declared	0	0	0		oak	
_CEDUMP_EXCEPTION	ce5+ce6	declared	0	0	0		oak	
_CEDUMP_EXCEPTION_STREAM	ce5+ce6	declared	0	0	0		oak	
_CEDUMP_FIELD_INFO	ce5+ce6	declared	0	0	0		oak	
_CEDUMP_MEMORY_LIST	ce5+ce6	declared	0	0	0		oak	
_CEDUMP_SYSTEM_INFO	ce5+ce6	declared	0	0	0		oak	
_CEDUMP_THREAD_CALL_STACK	ce5+ce6	declared	0	0	0		oak	
_CEDUMP_THREAD_CALL_STACK_FRAME	ce5+ce6	declared	0	0	0		oak	
_CEDUMP_THREAD_CALL_STACK_LIST	ce5+ce6	declared	0	0	0		oak	
_chgsign	ce5	absent	1	0	0		-	
_Convolve	ce4+ce5+ce6	absent	0	0	0		-	
_CopyDoubleFromInt64	ce4+ce5+ce6	absent	0	0	0		-	
_CopyFloatFromInt32	ce4+ce5+ce6	absent	0	0	0		-	
_CopyInt32FromFloat	ce4+ce5+ce6	absent	0	0	0		-	
_CopyInt64FromDouble	ce4+ce5+ce6	absent	0	0	0		-	
_copysign	ce5	absent	1	0	0		-	
_CountLeadingOnes	ce4+ce5	absent	0	0	0		-	
_CountLeadingOnes64	ce4+ce5	absent	0	0	0		-	
_CountLeadingSigns	ce4+ce5	absent	0	0	0		-	
_CountLeadingSigns64	ce4+ce5	absent	0	0	0		-	
_CountLeadingZeros	ce4+ce5	absent	0	0	0		-	
_CountLeadingZeros64	ce4+ce5	absent	0	0	0		-	
_CountOneBits	ce4+ce5	absent	0	0	0		-	
_CountOneBits64	ce4+ce5	absent	0	0	0		-	
_CPUDEPPATH	ce5+ce6	absent	0	0	0		-	
_CPUINDPATH	ce5+ce6	absent	0	0	0		-	
_CreateLogObject	ce5+ce6	absent	0	0	0		-	
_cvt_ps_s	ce4	absent	0	0	0		-	
_cvt_s_pl	ce4	absent	0	0	0		-	
_cvt_s_pu	ce4	absent	0	0	0		-	
_DAddSatInt	ce4+ce5+ce6	declared	0	0	0		oak	
_debugbreak	ce4	absent	0	0	0		-	
_disable	ce4+ce5	declared	0	0	0		app	
_DisplayMsg	ce5+ce6	absent	0	0	0		-	
_div_ps	ce4	absent	0	0	0		-	
_div_sl	ce4	absent	0	0	0		-	
_div_su	ce4	absent	0	0	0		-	
_div_vl	ce4	absent	0	0	0		-	
_div_vu	ce4	absent	0	0	0		-	
_Dot3dVW0	ce4+ce5+ce6	declared	0	0	0		app	
_Dot3dVW1	ce4+ce5+ce6	declared	0	0	0		app	
_Dot4dV	ce4+ce5+ce6	declared	0	0	0		app	
_DSCP_TRAFFIC_TYPE	ce6	absent	0	0	0		-	
_DSubSatInt	ce4+ce5+ce6	declared	0	0	0		oak	
_ecvt	ce5	absent	1	0	0		-	
_enable	ce4+ce5	declared	0	0	0		app	
_ersqrt_ps	ce4	absent	0	0	0		-	
_ersqrt_sl	ce4	absent	0	0	0		-	
_ersqrt_su	ce4	absent	0	0	0		-	
_ersqrt_vl	ce4	absent	0	0	0		-	
_ersqrt_vu	ce4	absent	0	0	0		-	
_Exec	ce5+ce6	absent	0	0	0		-	
_fcvt	ce5	absent	1	0	0		-	
_fileno	ce5	absent	1	0	0		-	
_finite	ce5	absent	1	0	0		-	
_flushall	ce5	absent	1	0	0		-	
_fmode	ce5	absent	0	0	0		-	
_fpclass	ce5	absent	1	0	0		-	
_fpieee_flt	ce5	absent	1	0	0		-	
_fpreset	ce5	absent	1	0	0		-	
_gcvt	ce5	absent	1	0	0		-	
_GetCPU	ce5+ce6	absent	0	0	0		-	
_GetOSVer	ce5+ce6	absent	0	0	0		-	
_hypot	ce5	absent	1	0	0		-	
_ICacheRefresh	ce4+ce5+ce6	absent	0	0	0		-	
_IMAGE_ALPHA_RUNTIME_FUNCTION_ENTRY	ce5+ce6	absent	0	0	0		-	
_IMAGE_CE_RUNTIME_FUNCTION_ENTRY	ce4+ce5+ce6	absent	0	0	0		-	
_IMAGE_RUNTIME_FUNCTION_ENTRY	ce4	absent	0	0	0		-	
_InterlockedCompareExchange	ce4+ce5+ce6	absent	0	0	0		-	
_InterlockedCompareExchange64	ce4	absent	0	0	0		-	
_InterlockedDecrement	ce4+ce5+ce6	absent	0	0	0		-	
_InterlockedExchange	ce5+ce6	absent	0	0	0		-	
_InterlockedExchangeAdd	ce4+ce5+ce6	absent	0	0	0		-	
_InterlockedIncrement	ce4+ce5+ce6	absent	0	0	0		-	
_INTRINSIC_IS_HELPER	ce4+ce5+ce6	comment-only	0	0	0		oak	
_INTRINSIC_IS_INLINE	ce4+ce5+ce6	comment-only	0	0	0		oak	
_INTRINSIC_IS_SAFE	ce4+ce5+ce6	comment-only	0	0	0		oak	
_INTRINSIC_IS_SUPPORTED	ce4+ce5+ce6	comment-only	0	0	0		oak	
_isnan	ce5	absent	1	0	0		-	
_ISpPrivateEngineCall	ce5	comment-only	1	0	0		app	
_isunordered	ce4+ce5	absent	0	0	0		-	
_isunorderedf	ce4+ce5	absent	0	0	0		-	
_Kill	ce5+ce6	absent	0	0	0		-	
_LangHost	ce5+ce6	absent	0	0	0		-	
_LoadMatrix	ce4+ce5+ce6	declared	0	0	0		app	
_logb	ce5	absent	1	0	0		-	
_LogMemUse	ce5+ce6	absent	0	0	0		-	
_madd_ps	ce4	absent	0	0	0		-	
_madd_sl	ce4	absent	0	0	0		-	
_madd_su	ce4	absent	0	0	0		-	
_madd_vl	ce4	absent	0	0	0		-	
_madd_vu	ce4	absent	0	0	0		-	
_max_ob	ce4	declared	0	0	0		oak	
_memccpy	ce5	absent	1	0	0		-	
_memicmp	ce5	absent	1	0	0		-	
_min_ob	ce4	declared	0	0	0		oak	
_MINIDUMP_DIRECTORY	ce5+ce6	declared	0	0	0		oak	
_MINIDUMP_HEADER	ce5+ce6	declared	0	0	0		oak	
_MINIDUMP_LOCATION_DESCRIPTOR	ce5+ce6	declared	0	0	0		oak	
_MINIDUMP_MEMORY_DESCRIPTOR	ce5+ce6	declared	0	0	0		oak	
_MINIDUMP_STREAM_TYPE	ce5+ce6	declared	0	0	0		oak	
_MINIDUMP_STRING	ce5+ce6	declared	0	0	0		oak	
_mov_ps	ce4	absent	0	0	0		-	
_mov_sl	ce4	absent	0	0	0		-	
_mov_su	ce4	absent	0	0	0		-	
_mov_vl	ce4	absent	0	0	0		-	
_mov_vu	ce4	absent	0	0	0		-	
_movf_ps	ce4	absent	0	0	0		-	
_movn_ps	ce4	absent	0	0	0		-	
_movt_ps	ce4	absent	0	0	0		-	
_movz_ps	ce4	absent	0	0	0		-	
_MsgBox	ce5+ce6	absent	0	0	0		-	
_msize	ce5	absent	1	0	0		-	
_msub_ps	ce4	absent	0	0	0		-	
_msub_sl	ce4	absent	0	0	0		-	
_msub_su	ce4	absent	0	0	0		-	
_msub_vl	ce4	absent	0	0	0		-	
_msub_vu	ce4	absent	0	0	0		-	
_mul_ob	ce4	declared	0	0	0		oak	
_mul_ps	ce4	absent	0	0	0		-	
_mul_sl	ce4	absent	0	0	0		-	
_mul_su	ce4	absent	0	0	0		-	
_mul_vl	ce4	absent	0	0	0		-	
_mul_vu	ce4	absent	0	0	0		-	
_mula_ob	ce4	declared	0	0	0		oak	
_MulHigh	ce4+ce5	absent	0	0	0		-	
_mull_ob	ce4	declared	0	0	0		oak	
_muls_ob	ce4	declared	0	0	0		oak	
_mulsl_ob	ce4	declared	0	0	0		oak	
_Multiply4dM	ce4+ce5+ce6	declared	0	0	0		app	
_MulUnsignedHigh	ce4+ce5	absent	0	0	0		-	
_Name	ce5+ce6	absent	0	0	0		-	
_neg_ps	ce4	absent	0	0	0		-	
_neg_sl	ce4	absent	0	0	0		-	
_neg_su	ce4	absent	0	0	0		-	
_neg_vl	ce4	absent	0	0	0		-	
_neg_vu	ce4	absent	0	0	0		-	
_NewScriptThread	ce5+ce6	absent	0	0	0		-	
_nextafter	ce5	absent	1	0	0		-	
_nmadd_ps	ce4	absent	0	0	0		-	
_nmadd_sl	ce4	absent	0	0	0		-	
_nmadd_su	ce4	absent	0	0	0		-	
_nmadd_vl	ce4	absent	0	0	0		-	
_nmadd_vu	ce4	absent	0	0	0		-	
