name	hdr	cited-pid	twin-path	twin-pid	status	diffs
AuthenticationResult_e	include/Settingsapi.h	ee501567	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee501567(v=winembedded.60).html		no-print-in-twin	
BROADCAST_PROVIDER_SPECIFIC_GEOGRAPHICAL_SCOPE	include/Sms.h	ee496874	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee496874(v=winembedded.60).html		no-print-in-twin	
BTH_RADIO_MODE	include/Bthutil.h	ee495609	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee495609(v=winembedded.60).html		no-print-in-twin	
CALLER_ID_OPTIONS	include/Tsp.h	ee497030	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee497030(v=winembedded.60).html		no-print-in-twin	
DIRECTION	include/Av_upnp.h	ee501152	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/aa450332.html		no-print-in-twin	
DeviceStatus_e	include/MediaQueryEngine.h	aa456357	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/aa456357(v=msdn.10).html		no-print-in-twin	
ExchangeClientRequestStatus	include/IExchangeClient.h	ee484913	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/aa514944.html		no-print-in-twin	
ExchangeClientRequestType	include/IExchangeClient.h	ee487270	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/aa514947.html		no-print-in-twin	
ExtendedDisconnectReasonCode	include/Discodlg.h	aa513913			no-twin-page	
FINDEX_SEARCH_OPS	include/Winbase.h	ms889654	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms889664.html	ms889664	twin-match	
GET_FILEEX_INFO_LEVELS	include/Winbase.h	ms889654	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms890917.html	ms890917	twin-match	
HCI_EVENT	include/Bt_hcip.h	ee486889	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms899384.html		no-print-in-twin	
Item_Attribute_e	include/MediaQueryEngine.h	aa456358	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/aa456358(v=msdn.10).html		no-print-in-twin	
MediaType_e	include/MediaQueryEngine.h	aa456396	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/aa456396(v=msdn.10).html		no-print-in-twin	
NDIS_INTERRUPT_MODE	include/oak/Ndis.h	aa448018	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/aa448018.html		no-print-in-twin	
NOTIFICATION_PROVIDER_SPECIFIC_INDICATOR_TYPE	include/Sms.h	ee498093	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee498093(v=winembedded.60).html		no-print-in-twin	
NOTIFICATION_PROVIDER_SPECIFIC_MSG_WAITING_TYPE	include/Sms.h	ee498285	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee498285(v=winembedded.60).html		no-print-in-twin	
OlCurrentCity	include/Pimstore.h	ee483770	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee483770(v=winembedded.60).html		no-print-in-twin	
PHActiveVolumeMode	include/Settingsapi.h	ee501527	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee501527(v=winembedded.60).html		no-print-in-twin	
PHSetting	include/Settingsapi.h	ee499871	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee499871(v=winembedded.60).html		no-print-in-twin	
PHVolumeSetting	include/Settingsapi.h	ee500378	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee500378(v=winembedded.60).html		no-print-in-twin	
PROVIDER_SPECIFIC_MESSAGE_CLASS	include/Sms.h	ee497683	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee497683(v=winembedded.60).html		no-print-in-twin	
PROVIDER_SPECIFIC_REPLACE_OPTION	include/Sms.h	ee497352	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee497352(v=winembedded.60).html		no-print-in-twin	
QueryEngineState_e	include/MediaQueryEngine.h	aa456397	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/aa456397(v=msdn.10).html		no-print-in-twin	
QuerySinkEvent_e	include/MediaQueryEngine.h	aa456400	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/aa456400(v=msdn.10).html		no-print-in-twin	
ReplDialogs	include/Cesync.h	ee483764	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms861001.html		no-print-in-twin	
SHIC_FEATURE	include/aygshell.h	aa453701			no-twin-page	
SIPSTATE	include/aygshell.h	aa453741			no-twin-page	
SMS_ADDRESS_TYPE	include/Sms.h	ee497250	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee497250(v=winembedded.60).html		no-print-in-twin	
