name	hdr	cited-pid	twin-path	twin-pid	status	diffs
ASYNC_COMPLETION	include/Tapi.h	aa450289	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/aa450289.html		no-print-in-twin	
BFFCALLBACK	include/Shlobj.h	aa452900			no-twin-page	
CODEPAGE_ENUMPROC	include/Winnls.h	ms904723			no-twin-page	
FONTENUMPROC	include/Wingdi.h	ms901123			no-twin-page	
IMENUMPROC	include/Sipapi.h	aa453742			no-twin-page	
LINECALLBACK	include/Tapi.h	ms893424			no-twin-page	
LINEEVENT	include/Tapi.h	ms894144	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms894144.html		no-print-in-twin	
LPCFHOOKPROC	include/Commdlg.h	ms908107			no-twin-page	
LPCONDITIONPROC	include/Winsock2.h	ms898727			no-twin-page	
LPDDENUMMODESCALLBACK	include/Ddraw.h	aa451690			no-twin-page	
LPDDENUMMODESCALLBACK2	include/Ddraw.h	aa451691			no-twin-page	
LPDDENUMSURFACESCALLBACK	include/Ddraw.h	aa451692			no-twin-page	
LPDDENUMSURFACESCALLBACK2	include/Ddraw.h	aa451693			no-twin-page	
LPDDENUMVIDEOCALLBACK	include/Dvp.h	aa451694			no-twin-page	
LPFNADDPROPSHEETPAGE	include/Prsht.h	aa452848			no-twin-page	
LPFNPSPCALLBACK	include/Prsht.h	aa453563			no-twin-page	
LPPROGRESS_ROUTINE	include/Winbase.h	aa517311			no-twin-page	
LPTHREAD_START_ROUTINE	include/Winbase.h	ms885186			no-twin-page	
LPWSAOVERLAPPED_COMPLETION_ROUTINE	include/Winsock2.h	ms898745			no-twin-page	
PCHANNEL_INIT_EVENT_EX_FN	include/Cchannel.h	aa514727			no-twin-page	
PCHANNEL_INIT_EVENT_FN	include/Cchannel.h	ms879628			no-twin-page	
PCHANNEL_OPEN_EVENT_EX_FN	include/Cchannel.h	aa514754			no-twin-page	
PCHANNEL_OPEN_EVENT_FN	include/Cchannel.h	ms879661			no-twin-page	
PFIBER_START_ROUTINE	include/Winbase.h	ms885221			no-twin-page	
PFNPROPSHEETCALLBACK	include/Prsht.h	aa453565			no-twin-page	
PFNRASFREEBUFFER	include/Ras.h	aa450842			no-twin-page	
PFNRASGETBUFFER	include/Ras.h	aa450842			no-twin-page	
PFNRASSENDBUFFER	include/Ras.h	aa450842			no-twin-page	
PFNSHELL_NOTIFYICON	include/Shellcb.h	aa453683			no-twin-page	
PFNSHHADDTORECENTDOCS	include/Shellcb.h	aa453683			no-twin-page	
PFNTVCOMPARE	include/Commctrl.h	ms914065			no-twin-page	
PFN_CERT_ENUM_SYSTEM_STORE	include/Wincrypt.h	ms937645			no-twin-page	
PFN_CERT_ENUM_SYSTEM_STORE_LOCATION	include/Wincrypt.h	ms937645			no-twin-page	
PFN_CMSG_STREAM_OUTPUT	include/Wincrypt.h	ms937724			no-twin-page	
PFN_SF_ADD_HEADER	include/Httpfilt.h	aa450402			no-twin-page	
PFN_SF_ADD_RESPONSE_HEADERS	include/Httpfilt.h	aa450281			no-twin-page	
PFN_SF_ALLOC_MEM	include/Httpfilt.h	aa450285			no-twin-page	
PFN_SF_GET_HEADER	include/Httpfilt.h	aa450402			no-twin-page	
PFN_SF_GET_SERVER_VARIABLE	include/Httpfilt.h	aa450424			no-twin-page	
PFN_SF_SERVER_SUPPORT_FUNCTION	include/Httpfilt.h	aa450890			no-twin-page	
PFN_SF_SET_HEADER	include/Httpfilt.h	aa450402			no-twin-page	
PFN_SF_WRITE_CLIENT	include/Httpfilt.h	ms898726			no-twin-page	
PHONECALLBACK	include/Tapi.h	ms895910			no-twin-page	
PHONEEVENT	include/Tapi.h	ms895922	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms895922.html		no-print-in-twin	
SEC_GET_KEY_FN	include/Sspi.h	ms937013			no-twin-page	
SHELLFILECHANGEFUNC_t	include/Extfile.h	ms891992	/home/user/wince-docs-corpus/docs/chm/windows-ce-3.0/wcesdkrSHELLFILECHANGEFUNC_t.html		no-print-in-twin	
ServiceCallback	include/Obex.h	ms900565	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms900568.html	ms900568	twin-match	
TIMERPROC	include/Winuser.h	aa453551	/home/user/wince-docs-corpus/docs/chm/windows-ce-3.0/_wcesdk_Win32_TimerProc.html		no-print-in-twin	
UILANGUAGE_ENUMPROC	include/Windows.h	ms905116			no-twin-page	
WNDENUMPROC	include/Winuser.h	ee499372			no-twin-page	
