name	hdr	cited-pid	twin-path	twin-pid	status	print
AddFontResourceW	include/Wingdi.h	ms901109			no-twin-page	
BthAGNetworkDropCall	include/Btagpub.h	aa450316	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/aa450316.html		no-print-in-twin	
BthAGNetworkHoldCall	include/Btagpub.h	aa450317	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/aa450317.html		no-print-in-twin	
BthAGPhoneExtInit	include/Btagpub.h	aa450311	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/aa450311.html		no-print-in-twin	
BthGetRole	include/Bt_api.h	ee495829	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee495829(v=winembedded.60).html		no-print-in-twin	
BthNsSetService	include/Bt_api.h	ms887870	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee495417.html	ee495417	twin-match	 | INT BthNsSetService(LPWSAQUERYSET, WSAESETSERVICEOP, DWORD)
CeCheckPassword	include/Rapi.h	aa513323	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee496632.html	ee496632	twin-match	 | BOOL CeCheckPassword(LPWSTR)
CeCloseHandle	include/Rapi.h	aa513324	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee496436.html	ee496436	twin-match	 | BOOL CeCloseHandle(HANDLE)
CeCopyFile	include/Rapi.h	aa513325	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee496602.html	ee496602	twin-match	 | BOOL CeCopyFile(LPCWSTR, LPCWSTR, BOOL)
CeCreateDatabase	include/Windbase.h	aa516985	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-net-4x/ms923898.html	ms923898	twin-match	 | CEOID CeCreateDatabase(LPWSTR, DWORD, WORD, SORTORDERSPEC*)
CeCreateDirectory	include/Rapi.h	aa513328	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee497470.html	ee497470	twin-match	 | BOOL CeCreateDirectory(LPCWSTR, LPSECURITY_ATTRIBUTES)
CeCredFree	include/Credmgr.h	ms937729	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms937729.html		no-print-in-twin	
CeCredRead	include/Credmgr.h	ms937730	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms937730.html		no-print-in-twin	
CeCredWrite	include/Credmgr.h	ms937731	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms937731.html		no-print-in-twin	
CeDeleteDatabase	include/Windbase.h	aa516994	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/aa516995.html	aa516995	twin-match	 | BOOL CeDeleteDatabase(CEOID)
CeDeleteFile	include/Rapi.h	aa513344	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee496815.html	ee496815	twin-match	 | BOOL CeDeleteFile(LPCWSTR)
CeDeleteRecord	include/Windbase.h	aa516997	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/aa516998.html	aa516998	twin-match	 | BOOL CeDeleteRecord(HANDLE, CEOID)
CeFindClose	include/Rapi.h	aa513349	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee496194.html	ee496194	twin-match	 | BOOL CeFindClose(HANDLE)
CeFindFirstDatabase	include/Windbase.h	aa517106	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-net-4x/ms923911.html	ms923911	twin-match	 | HANDLE CeFindFirstDatabase(DWORD)
CeFindNextDatabase	include/Windbase.h	aa517118	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-net-4x/ms923913.html	ms923913	twin-match	 | CEOID CeFindNextDatabase(HANDLE)
CeFindNextFile	include/Rapi.h	aa513356	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee497313.html	ee497313	twin-diff	arg2: hdr='LPWIN32_FIND_DATA' twin='LPCE_FIND_DATA' | BOOL CeFindNextFile(HANDLE, LPCE_FIND_DATA)
CeFreeNotification	include/Windbase.h	aa517132	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/aa517135.html	aa517135	twin-diff	arg1: hdr='PCENOTIFYREQUEST' twin='CENOTIFYREQUEST*'; arg2: hdr='PCENOTIFICATION' twin='CENOTIFICATION*' | BOOL CeFreeNotification(CENOTIFYREQUEST*, CENOTIFICATION*)
CeGetClassName	include/Rapi.h	aa513357	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee496373.html	ee496373	twin-match	 | int CeGetClassName(HWND, LPWSTR, Int)
CeGetDBInformationByHandle	include/Windbase.h	aa517152	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/aa517155.html	aa517155	twin-match	 | BOOL CeGetDBInformationByHandle(HANDLE, BY_HANDLE_DB_INFORMATION*)
CeGetDesktopDeviceCaps	include/Rapi.h	aa513358	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee497528.html	ee497528	twin-match	 | INT CeGetDesktopDeviceCaps(INT)
CeGetFileAttributes	include/Rapi.h	aa513359	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee497216.html	ee497216	twin-match	 | DWORD CeGetFileAttributes(LPCWSTR)
CeGetFileNotificationInfo	include/Winbase.h	aa517158	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-net-4x/ms923919.html	ms923919	twin-match	 | BOOL CeGetFileNotificationInfo(HANDLE, DWORD, LPVOID, DWORD, LPDWORD, LPDWORD)
CeGetFileSize	include/Rapi.h	aa513360	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee496424.html	ee496424	twin-match	 | DWORD CeGetFileSize(HANDLE, LPDWORD)
CeGetFileTime	include/Rapi.h	aa513361	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee497530.html	ee497530	twin-match	 | BOOL CeGetFileTime(HANDLE, LPFILETIME, LPFILETIME, LPFILETIME)
CeGetLastError	include/Rapi.h	aa513362	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee496760.html	ee496760	twin-match	 | DWORD CeGetLastError()
CeGetStoreInformation	include/Rapi.h	aa513365	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee497593.html	ee497593	twin-match	 | BOOL CeGetStoreInformation(LPSTORE_INFORMATION)
CeGetSystemPowerStatusEx	include/Rapi.h	aa513368	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee496824.html	ee496824	twin-match	 | BOOL CeGetSystemPowerStatusEx(PSYSTEM_POWER_STATUS_EX, BOOL)
CeGetUserNotification	include/Notify.h	ms908074	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms908076.html	ms908076	twin-diff	arg2: hdr='DWORD**' twin='DWORD' | BOOL CeGetUserNotification(HANDLE, DWORD, LPDWORD, LPBYTE)
CeGetUserNotificationHandles	include/Notify.h	ms908076	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms908077.html	ms908077	twin-diff	arg2: hdr='DWORD**' twin='DWORD' | BOOL CeGetUserNotificationHandles(HANDLE*, DWORD, LPDWORD)
CeGetUserNotificationPreferences	include/Notify.h	ms908077	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee503893.html	ee503893	twin-diff	arg2: hdr='PCE_USER_NOTIFICATION**' twin='PCE_USER_NOTIFICATION' | BOOL CeGetUserNotificationPreferences(HWND, PCE_USER_NOTIFICATION)
CeGetWindow	include/Rapi.h	aa513372	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee496227.html	ee496227	twin-match	 | HWND CeGetWindow(HWND, UINT)
CeGetWindowLong	include/Rapi.h	aa513371	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee496775.html	ee496775	twin-match	 | LONG CeGetWindowLong(HWND, Int)
CeGetWindowText	include/Rapi.h	aa513373	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee496160.html	ee496160	twin-match	 | int CeGetWindowText(HWND, LPWSTR, int)
CeGlobalMemoryStatus	include/Rapi.h	aa513374	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee496627.html	ee496627	twin-match	 | void CeGlobalMemoryStatus(LPMEMORYSTATUS)
