name	hdr	cited-pid	twin-path	twin-pid	status	diffs
ACCEL	include/Winuser.h	aa452837	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee505100.html	ee505100	twin-diff	membercount hdr=6 twin=4
BITMAP	include/Wingdi.h	aa452880	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee503208.html	ee503208	twin-match	
BITMAPCOREHEADER	include/Wingdi.h	aa452881	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee502290.html	ee502290	twin-match	
BITMAPCOREINFO	include/Wingdi.h	aa452882	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee505513.html	ee505513	twin-match	
BITMAPFILEHEADER	include/Wingdi.h	aa452883	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee500466.html	ee500466	twin-match	
BITMAPINFO	include/Wingdi.h	aa452884	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee500572.html	ee500572	twin-match	
BITMAPINFOHEADER	include/Wingdi.h	aa452885	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee499706.html	ee499706	twin-diff	membercount hdr=11 twin=10
BitmapData	include/Imaging.h	ms925969	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms925969.html		no-print-in-twin	
CANDIDATEFORM	include/Imm.h	ms904636	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-net-4x/ms919085.html	ms919085	twin-match	
CANDIDATELIST	include/Imm.h	ms904638	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-net-4x/ms919103.html	ms919103	twin-match	
CEGUID	include/Windbase.h	aa517295	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee496215(v=winembedded.60).html	ee496215	twin-match	
CERT_AUTHORITY_INFO_ACCESS	include/Wincrypt.h	ms937017	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms937026.html	ms937026	twin-diff	m1 hdr='DWORD' twin='DWORDcAccDescr'; m2 hdr='PCERT_ACCESS_DESCRIPTION' twin='PCERT_ACCESS_DESCRIPTIONrgAccDescr'
CERT_AUTHORITY_KEY_ID2_INFO	include/Wincrypt.h	ms937028	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms937027.html	ms937027	twin-match	
CERT_BASIC_CONSTRAINTS2_INFO	include/Wincrypt.h	ms937030	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms937029.html	ms937029	twin-diff	m1 hdr='BOOL' twin='BOOLfCA'; m2 hdr='BOOL' twin='BOOLfPathLenConstraint'; m3 hdr='DWORD' twin='DWORDdwPathLenConstraint'
CERT_NAME_INFO	include/Wincrypt.h	ms937692	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms937680.html	ms937680	twin-diff	m1 hdr='DWORD' twin='DWORDcRDN'; m2 hdr='PCERT_RDN' twin='PCERT_RDNrgRDN'
CERT_POLICIES_INFO	include/Wincrypt.h	ms937688	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms937685.html	ms937685	twin-diff	m1 hdr='DWORD' twin='DWORDcPolicyInfo'; m2 hdr='CERT_POLICY_INFO*rgPolicyInfo' twin='CERT_POLICY_INFO*'
CERT_POLICY_ID	include/Wincrypt.h	ms937688	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms937686.html	ms937686	twin-diff	m1 hdr='DWORD' twin='DWORDcCertPolicyElementId'; m2 hdr='LPSTR*rgpszCertPolicyElementId' twin='LPSTR*'
CERT_POLICY_INFO	include/Wincrypt.h	ms937688	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms937687.html	ms937687	twin-diff	m1 hdr='LPSTR' twin='LPSTRpszPolicyIdentifier'; m2 hdr='DWORD' twin='DWORDcPolicyQualifier'; m3 hdr='CERT_POLICY_QUALIFIER_INFO*rgPolicyQualifier' twin='CERT_POLICY_QUALIFIER_INFO*'
CERT_RDN	include/Wincrypt.h	ms937692	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms937691.html	ms937691	twin-match	
CERT_SIGNED_CONTENT_INFO	include/Wincrypt.h	ms937701	/home/user/wince-docs-corpus/docs/chm/windows-ce-3.0/_wcesdk_crypto2_CERT_SIGNED_CONTENT_INFO.html		no-print-in-twin	
CHANNEL_PDU_HEADER	include/Cchannel.h	aa513856	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/aa513859.html	aa513859	twin-diff	m1 hdr='UINT32' twin='UINT32length'; m2 hdr='UINT32' twin='UINT32flags'
CMSG_HASHED_ENCODE_INFO	include/Wincrypt.h	ms937719	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms937719.html		no-print-in-twin	
COMMANDBANDSRESTOREINFO	include/Commctrl.h	aa453639	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee505507.html	ee505507	twin-diff	membercount hdr=11 twin=5
COMPOSITIONFORM	include/Imm.h	ms904714	/home/user/wince-docs-corpus/docs/chm/windows-ce-3.0/_wcesdk_win32_COMPOSITIONFORM_str.html		no-print-in-twin	
CONTROLINFO	include/Objbase.h	ms886466	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms864020.html	ms864020	twin-match	
CREATE_THREAD_DEBUG_INFO	include/Winbase.h	ms885187	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee488441.html	ee488441	twin-match	
CREDENTIAL	include/Credmgr.h	ms937728	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee497996.html	ee497996	twin-match	
CUSTDATAITEM	include/Objbase.h	ms886959	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms864407.html	ms864407	twin-match	
CY	include/Objbase.h	ms886958			no-twin-page	
ContactsSearchCriteria	include/IExchangeClient.h	ms863932	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms863932.html		no-print-in-twin	
ContrastCmdInputParm	include/Pwingdi.h	aa447689	/home/user/wince-docs-corpus/docs/chm/windows-ce-3.0/wceddkContrastCmdInputParm.html		no-print-in-twin	
D3DMXVECTOR3FXD	include/D3dmx.h	ee491305	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee491659(v=winembedded.60).html	ee491659	twin-diff	membercount hdr=1 twin=21
D3DMXVECTOR4FXD	include/D3dmx.h	ee491659	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee491305(v=winembedded.60).html	ee491305	twin-diff	membercount hdr=1 twin=20
DEVMODE	include/Wingdi.h	aa452943	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee506078.html	ee506078	twin-match	
DEVNAMES	include/Commdlg.h	aa452944	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee501791.html	ee501791	twin-match	
DISPPARAMS	include/Objbase.h	ms886970	/home/user/wince-docs-corpus/docs/chm/windows-ce-3.0/_wcesdk_DISPPARAMS.html		no-print-in-twin	
DLGITEMTEMPLATEEX	include/Wingdi.h	aa452959	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee504110.html	ee504110	twin-diff	membercount hdr=8 twin=11
DLGTEMPLATEEX	include/Wingdi.h	aa452959	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee504551.html	ee504551	twin-diff	membercount hdr=10 twin=17
DOCINFO	include/Wingdi.h	aa452964	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-net-4x/ms924806.html	ms924806	twin-diff	membercount hdr=8 twin=5
DVASPECTINFO	include/Objbase.h	ms886467	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms864439.html		no-print-in-twin	
DVEXTENTINFO	include/Objbase.h	ms886978	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms864451.html	ms864451	twin-match	
ENUMLOGFONT	include/Wingdi.h	ms901128	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee489900.html	ee489900	twin-match	
EncoderParameter	include/Imaging.h	aa451679	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/aa451679.html		no-print-in-twin	
EncoderParameters	include/Imaging.h	aa451680	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/aa451680.html		no-print-in-twin	
FILECHANGEINFO	include/Extfile.h	ms889030	/home/user/wince-docs-corpus/docs/chm/windows-ce-3.0/wcesdkrFILECHANGEINFO.html		no-print-in-twin	
FORMATETC	include/Objbase.h	ms886985	/home/user/wince-docs-corpus/docs/chm/windows-ce-3.0/_wcesdk_com_FORMATETC.html		no-print-in-twin	
FreeBusyCriteria	include/IExchangeClient.h	aa515003	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/aa515003.html		no-print-in-twin	
GALSearchCriteria	include/IExchangeClient.h	aa515013	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/aa515013.html		no-print-in-twin	
HARDWAREINPUT	include/Winuser.h	ms909851			no-twin-page	
HD_HITTESTINFO	include/Commctrl.h	aa453620			no-twin-page	
