# header	name	reason
include/Dsound.h	DSCAPS	struct:no-exact
include/Fatui.h	UIPARAM	struct:no-exact
include/Fatui.h	FATUIDATA	struct:no-exact
include/Htmlctrl.h	NM_HTMLCONTEXT	struct:no-exact
include/Htmlctrl.h	NM_HTMLVIEW	struct:no-exact
include/Objbase.h	VARIANT	struct:no-exact
include/Objbase.h	POINTF	struct:no-exact
include/Ras.h	RASDIALEXTENSIONS	struct:no-exact
include/Sapi.h	SPEVENT	struct:no-exact
include/Sapi.h	SPPHRASEELEMENT	struct:no-exact
include/Sapi.h	SPPATHENTRY	struct:no-exact
include/Sapi.h	SPRECOCONTEXTSTATUS	struct:no-exact
include/Sapi.h	SPRULEENTRY	struct:no-exact
include/Sapi.h	SPSERIALIZEDEVENT	struct:no-exact
include/Sapi.h	SPSERIALIZEDEVENT64	struct:no-exact
include/Sapi.h	SPWORDPRONUNCIATION	struct:no-exact
include/Sapi.h	SPWORD	struct:no-exact
include/Sapi.h	SPTRANSITIONENTRY	struct:no-exact
include/Sapi.h	SPSTATEINFO	struct:no-exact
include/Sapi.h	SPTRANSITIONPROPERTY	struct:no-exact
include/Sapi.h	SPVCONTEXT	struct:no-exact
include/Sapi.h	SPVSTATE	struct:no-exact
include/Sapi.h	SPWORDENTRY	struct:no-exact
include/Sapi.h	SPAUDIOSTATUS	struct:no-exact
include/Sapi.h	SPPHRASERULE	struct:no-exact
include/Sockserv.h	PDCARD_ADAPTER_INFO	struct:no-exact
include/Sockserv.h	PDCARD_POWER_ENTRY	struct:no-exact
include/Sockserv.h	PDCARD_SOCKET_STATE	struct:no-exact
include/Sockserv.h	PDCARD_WINDOW_INFO	struct:no-exact
include/Sockserv.h	PDCARD_WINDOW_STATE	struct:no-exact
include/Sspi.h	SECURITY_INTEGER	struct:no-page-or-decl
include/Tchaud.h	TOUCHPANEL_POINT_SAMPLE	struct:no-exact
include/Winnt.h	ULARGE_INTEGER	struct:no-exact
include/Winnt.h	RTL_CRITICAL_SECTION	struct:no-page-or-decl
include/aygshell.h	NMRGINFO	struct:no-page-or-decl
include/oak/Battery.h	BATTERY_STATUS	struct:no-exact
include/oak/Halether.h	EDBG_ADAPTER	struct:no-exact
include/Imm.h	REGISTERWORDENUMPROC	fnptr:no-exact
include/Objbase.h	LPFNCONTINUE	fnptr:no-page-or-decl
include/Pimstore.h	PFNCEPIMCOMMAND	fnptr:no-page-or-decl
include/Ras.h	PFNRASRECEIVEBUFFER	fnptr:no-exact
include/Ras.h	PFNRASRETRIEVEBUFFER	fnptr:no-exact
include/Sspi.h	ENUMERATE_SECURITY_PACKAGES_FN_W	fnptr:no-exact
include/Sspi.h	QUERY_CREDENTIALS_ATTRIBUTES_FN_W	fnptr:no-exact
include/Sspi.h	ACQUIRE_CREDENTIALS_HANDLE_FN_W	fnptr:no-exact
include/Sspi.h	FREE_CREDENTIALS_HANDLE_FN	fnptr:no-exact
include/Sspi.h	INITIALIZE_SECURITY_CONTEXT_FN_W	fnptr:no-exact
include/Sspi.h	ACCEPT_SECURITY_CONTEXT_FN	fnptr:no-exact
include/Sspi.h	COMPLETE_AUTH_TOKEN_FN	fnptr:no-exact
include/Sspi.h	DELETE_SECURITY_CONTEXT_FN	fnptr:no-exact
include/Sspi.h	APPLY_CONTROL_TOKEN_FN	fnptr:no-exact
include/Sspi.h	QUERY_CONTEXT_ATTRIBUTES_FN_W	fnptr:no-exact
include/Sspi.h	IMPERSONATE_SECURITY_CONTEXT_FN	fnptr:no-exact
include/Sspi.h	REVERT_SECURITY_CONTEXT_FN	fnptr:no-exact
include/Sspi.h	MAKE_SIGNATURE_FN	fnptr:no-exact
include/Sspi.h	VERIFY_SIGNATURE_FN	fnptr:no-exact
include/Sspi.h	FREE_CONTEXT_BUFFER_FN	fnptr:no-exact
include/Sspi.h	QUERY_SECURITY_PACKAGE_INFO_FN_W	fnptr:no-exact
include/Sspi.h	QUERY_SECURITY_CONTEXT_TOKEN_FN	fnptr:no-exact
include/Sspi.h	ENCRYPT_MESSAGE_FN	fnptr:no-exact
include/Sspi.h	DECRYPT_MESSAGE_FN	fnptr:no-exact
include/Windef.h	FARPROC	fnptr:no-exact
include/Winnls.h	LOCALE_ENUMPROC	fnptr:no-exact
include/Winnls.h	DATEFMT_ENUMPROC	fnptr:no-exact
include/Winnls.h	TIMEFMT_ENUMPROC	fnptr:no-exact
include/Winnls.h	CALINFO_ENUMPROC	fnptr:no-exact
include/Winuser.h	WNDENUMPROC	fnptr:no-exact
include/Winuser.h	TIMERPROC	fnptr:no-exact
include/Winuser.h	DLGPROC	fnptr:no-exact
