name	missing_type	evidence
AddIPAddress	IPAddr	the corpus has no page defining IPAddr; it appears only as a member type inside other structures, so it cannot be declared from official material
CeGetDeviceId	DEVICEID	the corpus has no page defining DEVICEID; it appears only as a member type inside other structures, so it cannot be declared from official material
CeGetSelectedDeviceId	DEVICEID	the corpus has no page defining DEVICEID; it appears only as a member type inside other structures, so it cannot be declared from official material
CeGetVolumeInfo	WINBASEAPI BOOL	the corpus has no page defining WINBASEAPI BOOL; it appears only as a member type inside other structures, so it cannot be declared from official material
CeHeapCreate	PFN_AllocHeapMem	the corpus has no page defining PFN_AllocHeapMem; it appears only as a member type inside other structures, so it cannot be declared from official material
CeSvcClose	HCESVC	the corpus has no page defining HCESVC; it appears only as a member type inside other structures, so it cannot be declared from official material
CeSvcDelete	HCESVC	the corpus has no page defining HCESVC; it appears only as a member type inside other structures, so it cannot be declared from official material
CeSvcDeleteVal	HCESVC	the corpus has no page defining HCESVC; it appears only as a member type inside other structures, so it cannot be declared from official material
CeSvcEnumProfiles	PHCESVC	the corpus has no page defining PHCESVC; it appears only as a member type inside other structures, so it cannot be declared from official material
CeSvcGetBinary	HCESVC	the corpus has no page defining HCESVC; it appears only as a member type inside other structures, so it cannot be declared from official material
CeSvcGetDword	HCESVC	the corpus has no page defining HCESVC; it appears only as a member type inside other structures, so it cannot be declared from official material
CeSvcGetString	HCESVC	the corpus has no page defining HCESVC; it appears only as a member type inside other structures, so it cannot be declared from official material
CeSvcOpen	PHCESVC	the corpus has no page defining PHCESVC; it appears only as a member type inside other structures, so it cannot be declared from official material
CeSvcOpenEx	HCESVC	the corpus has no page defining HCESVC; it appears only as a member type inside other structures, so it cannot be declared from official material
CeSvcSetBinary	HCESVC	the corpus has no page defining HCESVC; it appears only as a member type inside other structures, so it cannot be declared from official material
CeSvcSetDword	HCESVC	the corpus has no page defining HCESVC; it appears only as a member type inside other structures, so it cannot be declared from official material
CeSvcSetString	HCESVC	the corpus has no page defining HCESVC; it appears only as a member type inside other structures, so it cannot be declared from official material
CloseThemeData	HTHEME	the corpus has no page defining HTHEME; it appears only as a member type inside other structures, so it cannot be declared from official material
ConnectionDialog	PADDCONNECT_DLGPARAMS	the corpus has no page defining PADDCONNECT_DLGPARAMS; it appears only as a member type inside other structures, so it cannot be declared from official material
CreatePartition	SECTORNUM	the corpus has no page defining SECTORNUM; it appears only as a member type inside other structures, so it cannot be declared from official material
CreatePartitionEx	SECTORNUM	the corpus has no page defining SECTORNUM; it appears only as a member type inside other structures, so it cannot be declared from official material
CreateUrlCacheGroup	GROUPID	the corpus has no page defining GROUPID; it appears only as a member type inside other structures, so it cannot be declared from official material
DeleteUrlCacheGroup	GROUPID	the corpus has no page defining GROUPID; it appears only as a member type inside other structures, so it cannot be declared from official material
DirectSoundCaptureEnumerate	LPDSENUMCALLBACK	the corpus has no page defining LPDSENUMCALLBACK; it appears only as a member type inside other structures, so it cannot be declared from official material
DirectSoundEnumerate	LPDSENUMCALLBACK	the corpus has no page defining LPDSENUMCALLBACK; it appears only as a member type inside other structures, so it cannot be declared from official material
DnsModifyRecordsInSet_W	DNS_STATUS	the corpus has no page defining DNS_STATUS; it appears only as a member type inside other structures, so it cannot be declared from official material
DnsQuery_W	DNS_STATUS	the corpus has no page defining DNS_STATUS; it appears only as a member type inside other structures, so it cannot be declared from official material
DnsRecordListFree	PDNS_RECORD	the corpus has no page defining PDNS_RECORD; it appears only as a member type inside other structures, so it cannot be declared from official material
DnsReplaceRecordSetW	DNS_STATUS	the corpus has no page defining DNS_STATUS; it appears only as a member type inside other structures, so it cannot be declared from official material
DrawThemeBackground	HTHEME	the corpus has no page defining HTHEME; it appears only as a member type inside other structures, so it cannot be declared from official material
EnumCalendarInfo	CALID, CALTYPE	the page prints the full prototype BOOL EnumCalendarInfo(CALINFO_ENUMPROC, LCID, CALID, CALTYPE) (ms904721; twins ms919176, ee491359) and CALINFO_ENUMPROC is now declared (M139), but no CE page of any documented generation defines the parameter types CALID or CALTYPE (catalog-verified CE 3.0/4.x/5.0/6.0; the CAL_* calendar identifiers and CALTYPE constants are printed name-only with no values), so the function cannot be declared from official material
FindFirstUrlCacheEntryEx	GROUPID	the corpus has no page defining GROUPID; it appears only as a member type inside other structures, so it cannot be declared from official material
FindFirstUrlCacheGroup	GROUPID	the corpus has no page defining GROUPID; it appears only as a member type inside other structures, so it cannot be declared from official material
FindNextUrlCacheGroup	GROUPID	the corpus has no page defining GROUPID; it appears only as a member type inside other structures, so it cannot be declared from official material
FirewallDeleteRule	HRULE	the corpus has no page defining HRULE; it appears only as a member type inside other structures, so it cannot be declared from official material
FirewallEnableRule	HRULE	the corpus has no page defining HRULE; it appears only as a member type inside other structures, so it cannot be declared from official material
FirewallGetRules	PFW RULE	the corpus has no page defining PFW RULE; it appears only as a member type inside other structures, so it cannot be declared from official material
FtpCommand	HINTERNET	the corpus has no page defining HINTERNET; it appears only as a member type inside other structures, so it cannot be declared from official material
FtpCreateDirectory	HINTERNET	the corpus has no page defining HINTERNET; it appears only as a member type inside other structures, so it cannot be declared from official material
FtpDeleteFile	HINTERNET	the corpus has no page defining HINTERNET; it appears only as a member type inside other structures, so it cannot be declared from official material
