name	page	os_versions	header	link_library	exported_by
DDKReg_GetIsrInfo	ms897699	Windows CE .NET 4.0 and later.	Ddkreg.h	Coredll.lib	coredll-doc.def
DDKReg_GetPciInfo	ms897705	Windows CE .NET 4.0 and later.	Ddkreg.h	Coredll.lib	coredll-doc.def
DDKReg_GetWindowInfo	ms897707	Windows CE .NET 4.0 and later.	Ddkreg.h	Coredll.lib	coredll-doc.def
DirectSoundCaptureEnumerate	ms897746	Windows CE 2.12 and later. Version 2.12 requires DXPAK 1.0 or later.	Dsound.h	Dsound.lib	dsound-doc.def
DirectSoundEnumerate	ms897753	Windows CE 2.12 and later. Version 2.12 requires DXPAK 1.0 or later.	Dsound.h	Dsound.lib	dsound-doc.def
ConnectionDialog	ms921394	Windows CE 2.10 and later.	Netui.h	Netui.lib	netui-doc.def
GetDriverName	ms921396	Windows CE 2.10 and later.	Netui.h	Netui.lib	netui-doc.def
GetNewPassword	aa453143(v=msdn.10)	Windows CE 5.0 and later.	Netui.h	Netui.lib	netui-doc.def
GetNewPasswordEx	aa453144(v=msdn.10)	Windows CE 5.0 and later.	Netui.h	Netui.lib	netui-doc.def
GetResourcePassword	ms921400	Windows CE 2.10 and later.	Netui.h	Netui.lib	netui-doc.def
GetUsernamePassword	ms921401	Windows CE 2.10 and later.	Netui.h	Netui.lib	netui-doc.def
GetUsernamePasswordEx	aa453177(v=msdn.10)	Windows CE 5.0.	Netui.h	Netui.lib	netui-doc.def
LineConfigEdit	ms921404	Windows CE 2.10 and later.	Netui.h	Netui.lib	netui-doc.def
CeSetPowerOnEvent	ms885153(v=msdn.10)	Windows CE .NET 4.1 and later.	Nkintr.h	Coredll.lib	coredll-doc.def
AllocPhysMem	aa450785(v=msdn.10)	Windows CE .NET 4.0 and later.	Pkfuncs.h	Coredll.lib	coredll-doc.def
CacheRangeFlush	aa450787(v=msdn.10)	Windows CE .NET 4.2 and later.	Pkfuncs.h	Coredll.lib	coredll-doc.def
CeVirtualSharedAlloc	ms885157(v=msdn.10)	Windows CE 5.0 and later.	Pkfuncs.h	Coredll.lib	coredll-doc.def
CreateStaticMapping	ms885185(v=msdn.10)	Windows CE .NET 4.0 and later.	Pkfuncs.h	Coredll.lib	coredll-doc.def
CreateWatchDogTimer	ms885190(v=msdn.10)	Windows CE 5.0 and later.	Pkfuncs.h	Coredll.lib	coredll-doc.def
FreePhysMem	ms885603(v=msdn.10)	Windows CE .NET 4.0 and later.	Pkfuncs.h	Coredll.lib	coredll-doc.def
GetCallerProcess	ms885604(v=msdn.10)	Windows CE 2.10 and later.	Pkfuncs.h	Coredll.lib	coredll-doc.def
GetEventData	ms885619(v=msdn.10)	Windows CE .NET 4.0 and later.	Pkfuncs.h	Coredll.lib	coredll-doc.def
GetStdioPathW	ms885637(v=msdn.10)	Windows CE .NET 4.2 and later.	Pkfuncs.h	Coredll.lib	coredll-doc.def
GetThreadCallStack	ms885641(v=msdn.10)	Windows CE 5.0 and later.	Pkfuncs.h	Coredll.lib	coredll-doc.def
InterruptMask	ms885678(v=msdn.10)	Windows CE .NET 4.2 and later.	Pkfuncs.h	Coredll.lib	coredll-doc.def
IsNamedEventSignaled	ms886725(v=msdn.10)	Windows CE 5.0 and later.	Pkfuncs.h	Coredll.lib	coredll-doc.def
KernelLibIoControl	ms886730(v=msdn.10)	Windows CE .NET 4.0 and later.	Pkfuncs.h	Coredll.lib	coredll-doc.def
LoadIntChainHandler	ms904854(v=msdn.10)	Windows CE .NET 4.0 and later.	Pkfuncs.h	Coredll.lib	coredll-doc.def
MapCallerPtr	ms886749(v=msdn.10)	Windows CE .NET 4.0 and later.	Pkfuncs.h	Coredll.lib	coredll-doc.def
OpenWatchDogTimer	ms886767(v=msdn.10)	Windows CE 5.0 and later.	Pkfuncs.h	Coredll.lib	coredll-doc.def
PageOutModule	ms886771(v=msdn.10)	Windows CE .NET 4.2 and later.	Pkfuncs.h	Coredll.lib	coredll-doc.def
RefreshWatchDogTimer	ms886795(v=msdn.10)	Windows CE 5.0 and later.	Pkfuncs.h	Coredll.lib	coredll-doc.def
SetDbgZone	ms886809(v=msdn.10)	Windows CE 2.0 and later.	Pkfuncs.h	Coredll.lib	coredll-doc.def
SetStdioPathW	ms886820(v=msdn.10)	Windows CE .NET 4.2 and later.	Pkfuncs.h	Coredll.lib	coredll-doc.def
SleepTillTick	aa450901(v=msdn.10)	Windows CE .NET 4.0 and later.	Pkfuncs.h	Coredll.lib	coredll-doc.def
StartWatchDogTimer	aa450903(v=msdn.10)	Windows CE 5.0 and later.	Pkfuncs.h	Coredll.lib	coredll-doc.def
StopWatchDogTimer	aa450905(v=msdn.10)	Windows CE 5.0 and later.	Pkfuncs.h	Coredll.lib	coredll-doc.def
VirtualSetAttributes	aa450982(v=msdn.10)	Windows CE .NET 4.1 and later.	Pkfuncs.h	Coredll.lib	coredll-doc.def
ProfileCaptureStatus	ms886776(v=msdn.10)	Windows CE 5.0 and later.	Profiler.h	Coredll.lib	coredll-doc.def
ProfileStartEx	ms886782(v=msdn.10)	Windows CE 5.0 and later.	Profiler.h	Coredll.lib	coredll-doc.def
RasIOControl	aa450852	Windows CE .NET 4.0 and later.	Ras.h	Coredll.lib	coredll-doc.def
_ISpPrivateEngineCall	ms897368	Windows CE .NET 4.1 and later.	Sapiddk.h	Sapilib.lib	sapilib-doc.def
CreatePartition	aa517334	Windows CE .NET 4.0 and later.	Storemgr.h	Storeapi.lib	coredll-doc.def
CreatePartitionEx	aa517335	Windows CE .NET 4.0 and later.	Storemgr.h	Storeapi.lib	coredll-doc.def
UfnGetRegistryInfo	aa448328	Windows CE 5.0 and later.	Usbfntypes.h	UfnClientLibBase.lib	ufnclientlibbase-doc.def
